	Code	PEG
7680	BOX	-124.38
3400	LPSN	-9.63
1000	EVC	-1.57
2800	JMP	-1.19
6200	SUPV	-0.54
1001	EVER	-0.47
7681	BPMC	-0.31
4000	NEOS	-0.19
4001	NEON	-0.18
7400	WIFI	-0.14
5773	SCACU	0.0
5774	SCHM	0.0
5775	SCHK	0.0
5776	SCAP	0.0
5770	SCM	0.0
5769	SCL	0.0
5777	SCC	0.0
5768	SCKT	0.0
5772	SCHN	0.0
5771	SCO	0.0
0	ADRD	0.0
5767	SCJ	0.0
5766	SCIX	0.0
5765	SCIU	0.0
5764	SCIN	0.0
5763	SCIJ	0.0
5762	SCIF	0.0
5761	SCID	0.0
5760	SCI	0.0
5759	SCHZ	0.0
5758	SCHX	0.0
5757	SCHW$D	0.0
5756	SCHW$C	0.0
5778	SCCO	0.0
5779	SCD	0.0
5781	SCE$C	0.0
5755	SCHW	0.0
5814	SNBR	0.0
5813	SNAP	0.0
5812	SNA	0.0
5811	SMTX	0.0
5810	SMTS	0.0
5809	SMTC	0.0
5808	SMTA	0.0
5807	SMSI	0.0
5806	SMRT	0.0
5805	SMPL	0.0
5804	SMP	0.0
5803	SMN	0.0
5802	SMMV	0.0
5801	SMMU	0.0
5800	SHI	0.0
5797	SCE$J	0.0
5796	SCHH	0.0
5782	SCE$D	0.0
5783	SCE$E	0.0
5784	SCE$G	0.0
5785	SCHL	0.0
5786	SCE$H	0.0
5787	SCE$K	0.0
5780	SCE$B	0.0
5788	SCE$L	0.0
5790	SCHB	0.0
5791	SCHC	0.0
5792	SCHD	0.0
5793	SCHE	0.0
5794	SCHF	0.0
5795	SCHG	0.0
5789	SCHA	0.0
5754	SCHV	0.0
5752	SCHP	0.0
5815	SNCR	0.0
5716	SBRA	0.0
5715	SBR	0.0
5714	SBPH	0.0
5713	SBOW	0.0
5712	SBOT	0.0
5711	SBNY	0.0
5710	SBNA	0.0
5709	SBM	0.0
5708	SBLKZ	0.0
5707	SBLK	0.0
5706	SBIO	0.0
5705	SBI	0.0
5704	SBH	0.0
5703	SBGL	0.0
5717	SBS	0.0
5702	SBGI	0.0
5700	SCOM	0.0
5699	SHG	0.0
5698	SCOR	0.0
5697	SGB	0.0
5696	SG	0.0
5695	SFUN	0.0
5694	SFST	0.0
5693	SFS	0.0
5692	SFNC	0.0
5691	SFM	0.0
5690	SFLY	0.0
5689	SFL	0.0
5688	SFIX	0.0
5687	SFIG	0.0
5701	SBFGP	0.0
5718	SBSI	0.0
5719	SBT	0.0
5720	SBUX	0.0
5751	SCHO	0.0
5750	SCACW	0.0
5749	SCAC	0.0
5748	SHEN	0.0
5747	SBBX	0.0
5746	SBB	0.0
5745	SBAC	0.0
5744	SB$D	0.0
5743	SB$C	0.0
5742	SB	0.0
5741	SAVE	0.0
5740	SAUC	0.0
5739	SATS	0.0
5738	SASR	0.0
5737	SAR	0.0
5736	SAP	0.0
5735	SANW	0.0
5721	SC	0.0
5722	SBFG	0.0
5723	SCA	0.0
5724	SBCF	0.0
5725	SBBP	0.0
5726	SALT	0.0
5753	SCHR	0.0
5727	SAMA	0.0
5729	SAMAW	0.0
5730	SAMG	0.0
5731	SAN	0.0
5732	SAN$B	0.0
5733	SAND	0.0
5734	SANM	0.0
5728	SAMAU	0.0
5816	SND	0.0
5819	SNDX	0.0
5818	SNDR	0.0
5915	SINT	0.0
5914	SINO	0.0
5913	SINA	0.0
5912	SIMO	0.0
5911	SIM	0.0
5910	SILV	0.0
5909	SILJ	0.0
5908	SILC	0.0
5907	SIL	0.0
5906	SIJ	0.0
5905	SIGI	0.0
5904	SIGA	0.0
5903	SIG	0.0
5902	SIFY	0.0
5901	SIFI	0.0
5900	SLYG	0.0
5899	SLYV	0.0
5898	SM	0.0
5897	SOHOB	0.0
5896	SOGO	0.0
5895	SOCL	0.0
5894	SO	0.0
5893	SNY	0.0
5892	SNX	0.0
5891	SNV$D	0.0
5890	SNV	0.0
5889	SNSS	0.0
5888	SNSR	0.0
5887	SNR	0.0
5916	SIRI	0.0
5917	SITC	0.0
5918	SITC$A	0.0
5919	SITC$J	0.0
5949	SIVR	0.0
5948	SIVB	0.0
5947	SIEB	0.0
5946	SIC	0.0
5945	SIBN	0.0
5944	SHYL	0.0
5943	SHYG	0.0
5942	SHYD	0.0
5941	SHY	0.0
5940	SHW	0.0
5939	SHV	0.0
5938	SHSP	0.0
5937	SHOS	0.0
5936	SHOP	0.0
5886	SNPS	0.0
5935	SHOO	0.0
5933	SHO$E	0.0
5932	SHO	0.0
5931	SHM	0.0
5930	SHLX	0.0
5929	SHLO	0.0
5928	SHLL.U	0.0
5927	SHIPW	0.0
5926	SHIP	0.0
5925	SID	0.0
5924	SIEN	0.0
5923	SITO	0.0
5922	SIF	0.0
5921	SITE	0.0
5920	SITC$K	0.0
5934	SHO$F	0.0
5885	SNP	0.0
5884	SNOAW	0.0
5883	SNOA	0.0
5848	SMAR	0.0
5847	SMMD	0.0
5846	SMLV	0.0
5845	SMLP	0.0
5844	SMLL	0.0
5843	SMLF	0.0
5842	SMIT	0.0
5841	SMIN	0.0
5840	SMI	0.0
5839	SMHI	0.0
5838	SMHD	0.0
5837	SMHB	0.0
5836	SMH	0.0
5835	SMG	0.0
5849	SNGX	0.0
5834	SMFG	0.0
5832	SMED	0.0
5831	SMDV	0.0
5830	SMDD	0.0
5829	SMCP	0.0
5828	SMBK	0.0
5827	SMBC	0.0
5826	SMB	0.0
5825	SMM	0.0
5824	SMMF	0.0
5823	SNFCA	0.0
5822	SMMT	0.0
5821	SNES	0.0
5820	SNE	0.0
5686	SFHY	0.0
5833	SMEZ	0.0
5817	SNDE	0.0
5850	SNH	0.0
5852	SOI	0.0
5882	SNNA	0.0
5881	SNN	0.0
5880	SNMP	0.0
5879	SNLN	0.0
5878	SNHY	0.0
5877	SNHNL	0.0
5876	SNHNI	0.0
5875	SOHO	0.0
5874	SOHOK	0.0
5873	SNGXW	0.0
5872	SOHOO	0.0
5871	SP	0.0
5870	SOYB	0.0
5869	SOXX	0.0
5851	SOHU	0.0
5868	SOXS	0.0
5866	SOVB	0.0
5865	SORL	0.0
5864	SOR	0.0
5863	SONO	0.0
5862	SONA	0.0
5861	SON	0.0
5860	SOLY	0.0
5859	SOLOW	0.0
5858	SOLO	0.0
5857	SOL	0.0
5856	SOJC	0.0
5855	SOJB	0.0
5854	SOJA	0.0
5853	SOIL	0.0
5867	SOXL	0.0
5685	SFET	0.0
5681	SFB	0.0
5683	SFBS	0.0
5513	RMPL$	0.0
5512	RMNI	0.0
5511	RMI	0.0
5510	RMG.U	0.0
5509	RMED	0.0
5508	RMD	0.0
5507	RMCF	0.0
5506	RMBS	0.0
5505	RMBL	0.0
5504	RMAX	0.0
5503	RM	0.0
5502	RLY	0.0
5501	RLM	0.0
5500	RRD	0.0
5499	RRGB	0.0
5498	RRR	0.0
5497	RYT	0.0
5496	RYJ	0.0
5495	RYI	0.0
5494	RYH	0.0
5493	RYF	0.0
5492	RYE	0.0
5491	RYB	0.0
5490	RYAM$A	0.0
5489	RYAM	0.0
5488	RYAAY	0.0
5487	RY$T	0.0
5486	RY	0.0
5485	RXN$A	0.0
5514	RMR	0.0
5515	RMT	0.0
5516	RMTI	0.0
5517	RNDB	0.0
5547	RLI	0.0
5546	RLGY	0.0
5545	RLGT	0.0
5544	RL	0.0
5543	RKDA	0.0
5542	RJZ	0.0
5541	RJN	0.0
5540	RJI	0.0
5539	RJF	0.0
5538	RJA	0.0
5537	RIVE	0.0
5536	RIV	0.0
5535	RISE	0.0
5534	RIOT	0.0
5484	RXN	0.0
5533	RIO	0.0
5531	RINF	0.0
5530	RILYZ	0.0
5529	RILYL	0.0
5528	RILYI	0.0
5527	RILYH	0.0
5526	RILYG	0.0
5525	RLH	0.0
5524	RLJ	0.0
5523	RNG	0.0
5522	RLJ$A	0.0
5521	RNET	0.0
5520	RNEM	0.0
5519	RNDV	0.0
5518	RNDM	0.0
5532	RING	0.0
5483	RXL	0.0
5482	RXI	0.0
5481	RXD	0.0
5446	RUSL	0.0
5445	RUSHB	0.0
5444	RUSHA	0.0
5443	RUN	0.0
5442	RUBY	0.0
5441	RUBI	0.0
5440	RTW	0.0
5439	RTTR	0.0
5438	RTRX	0.0
5437	RTN	0.0
5436	RTM	0.0
5435	RTL	0.0
5434	RTIX	0.0
5433	RTH	0.0
5447	RUTH	0.0
5432	RTEC	0.0
5430	RSX	0.0
5429	RST	0.0
5428	RSP	0.0
5427	RSG	0.0
5426	RS	0.0
5425	RUSS	0.0
5424	RVEN	0.0
5423	RWM	0.0
5422	RVI	0.0
5421	RWLS	0.0
5420	RWLK	0.0
5419	RWL	0.0
5418	RWK	0.0
5417	RWJ	0.0
5431	RSXJ	0.0
5548	RNGR	0.0
5448	RRTS	0.0
5450	RWSL	0.0
5480	RWX	0.0
5479	RWW	0.0
5478	RWVG	0.0
5477	RWUI	0.0
5476	RWT	0.0
5475	RYN	0.0
5474	RYTM	0.0
5473	RWR	0.0
5472	RYU	0.0
5471	SAIC	0.0
5470	SAIA	0.0
5469	SAH	0.0
5468	SAGG	0.0
5467	SAGE	0.0
5449	RWO	0.0
5466	SAFT	0.0
5464	SAFE	0.0
5463	SAF	0.0
5462	SAEX	0.0
5461	SACH	0.0
5460	SABR	0.0
5459	SAB	0.0
5458	SAA	0.0
5457	SA	0.0
5456	S	0.0
5455	RZV	0.0
5454	RZG	0.0
5453	RZB	0.0
5452	RZA	0.0
5451	RYZZ	0.0
5465	SAFM	0.0
5684	SFE	0.0
5549	RNLC	0.0
5551	ROP	0.0
5648	SCPH	0.0
5647	SDR	0.0
5646	SDP	0.0
5645	SDOW	0.0
5644	SDOG	0.0
5643	SDLP	0.0
5642	SDIV	0.0
5641	SDI	0.0
5640	SDGA	0.0
5639	SDG	0.0
5638	SDEM	0.0
5637	SDD	0.0
5636	SDCI	0.0
5635	SDAG	0.0
5634	SD	0.0
5633	SCZ	0.0
5632	SCYX	0.0
5631	SCX	0.0
5630	SCWX	0.0
5629	SCVL	0.0
5628	SCTO	0.0
5627	SCSC	0.0
5626	SCS	0.0
5625	SDPI	0.0
5624	SDRL	0.0
5623	SENEA	0.0
5622	SDS	0.0
5621	SEMG	0.0
5620	SEM	0.0
5649	SENEB	0.0
5650	SERV	0.0
5651	SGDJ	0.0
5652	SGDM	0.0
5682	SFBC	0.0
5950	SIX	0.0
5680	SF$B	0.0
5679	SF$A	0.0
5678	SF	0.0
5677	SESN	0.0
5676	SES	0.0
5675	SGA	0.0
5674	SGBX	0.0
5673	SENS	0.0
5672	SGC	0.0
5671	SHE	0.0
5670	SHBI	0.0
5669	SHAK	0.0
5619	SELF	0.0
5668	SHAG	0.0
5666	SGZA	0.0
5665	SGU	0.0
5664	SGRY	0.0
5663	SGRP	0.0
5662	SGOL	0.0
5661	SGOC	0.0
5660	SGMS	0.0
5659	SGMO	0.0
5658	SGMA	0.0
5657	SGLBW	0.0
5656	SGLB	0.0
5655	SGH	0.0
5654	SGG	0.0
5653	SGEN	0.0
5667	SH	0.0
5618	SELB	0.0
5617	SEIC	0.0
5616	SEF	0.0
5581	RNR$F	0.0
5580	RNR$E	0.0
5579	RNR$C	0.0
5578	RNR	0.0
5577	RNP	0.0
5576	RNN	0.0
5575	ROL	0.0
5574	ROLL	0.0
5573	ROM	0.0
5572	ROOF	0.0
5571	RRC	0.0
5570	RQI	0.0
5569	RPV	0.0
5568	RPUT	0.0
5582	RNSC	0.0
5567	RPT$D	0.0
5565	RPM	0.0
5564	RPIBC	0.0
5563	RPG	0.0
5562	RPD	0.0
5561	RPAI	0.0
5560	RP	0.0
5559	ROYT	0.0
5558	ROX	0.0
5557	ROUS	0.0
5556	ROST	0.0
5555	ROSEW	0.0
5554	ROSEU	0.0
5553	ROSE	0.0
5552	RORE	0.0
5566	RPT	0.0
5550	RNMC	0.0
5583	RNST	0.0
5585	ROAD	0.0
5615	SEEL	0.0
5614	SEED	0.0
5613	SEE	0.0
5612	SEDG	0.0
5611	SECT	0.0
5610	SECO	0.0
5609	SEB	0.0
5608	SEAS	0.0
5607	SEAC	0.0
5606	SEA	0.0
5605	SE	0.0
5604	SDYL	0.0
5603	SDY	0.0
5602	SDVY	0.0
5584	RNWK	0.0
5601	SDT	0.0
5599	SAL	0.0
5598	ROAN	0.0
5597	ROKU	0.0
5596	ROK	0.0
5595	ROIC	0.0
5594	ROGS	0.0
5593	ROG	0.0
5592	RODM	0.0
5591	RODI	0.0
5590	ROCK	0.0
5589	ROBT	0.0
5588	ROBO	0.0
5587	ROAM	0.0
5586	SAIL	0.0
5600	SCON	0.0
5951	SLG	0.0
5953	SLGG	0.0
5416	RWIU	0.0
6323	SWX	0.0
6322	SYPR	0.0
6321	SYNL	0.0
6320	SYNH	0.0
6319	SYNC	0.0
6318	SYNA	0.0
6317	SYN	0.0
6316	SYMC	0.0
6315	SYLD	0.0
6314	SYKE	0.0
6313	SYK	0.0
6312	SYG	0.0
6311	SYF	0.0
6310	SYE	0.0
6309	SYBX	0.0
6308	SYBT	0.0
6307	SXTC	0.0
6306	SXT	0.0
6305	SXI	0.0
6304	SXCP	0.0
6303	SXC	0.0
6302	SWZ	0.0
6301	TBPH	0.0
6300	TH	0.0
6299	TBRGU	0.0
6298	TEX	0.0
6297	TEUM	0.0
6296	TETF	0.0
6295	TESS	0.0
6324	SYRS	0.0
6325	SWP	0.0
6326	SWM	0.0
6327	SURF	0.0
6357	TATT	0.0
6356	TAT	0.0
6355	TAST	0.0
6354	TARO	0.0
6353	TAPR	0.0
6352	TAP.A	0.0
