	Code	PEG
32	NVUS	0.01
56	MGNX	0.01
44	SPN	0.01
58	RYAM	0.02
48	FOMX	0.02
47	FPRX	0.02
0	QHC	0.02
53	APRN	0.05
11	XYF	0.07
27	AXNX	0.08
42	CHU	0.1
50	VNDA	0.1
49	GOL	0.12
1	REI	0.12
31	HTZ	0.13
59	RMAX	0.14
51	VRCA	0.15
28	AVP	0.16
34	COOP	0.17
22	AIG	0.17
23	AKCA	0.19
2	QRTEA	0.21
4	NEXA	0.21
33	OPRA	0.22
40	TIGO	0.23
24	YTRA	0.24
17	SBOW	0.24
54	ATUS	0.24
29	AVYA	0.24
12	WOW	0.24
35	CONN	0.24
52	VNO	0.25
5	NTGR	0.25
64	TUP	0.25
30	BCEI	0.26
19	TGA	0.27
43	CISN	0.28
7	LPTX	0.3
6	DISCA	0.3
20	SUPN	0.31
36	CPE	0.31
45	STNG	0.32
13	WLL	0.32
41	TILE	0.33
37	CONE	0.34
60	RM	0.35
14	WOR	0.36
55	APLS	0.37
8	MESA	0.39
18	GLIBA	0.39
25	YMAB	0.39
21	BP	0.41
61	RLGT	0.41
62	RMNI	0.42
38	CPAC	0.43
3	PFSI	0.44
26	FG	0.45
46	NAVI	0.45
15	BRY	0.45
9	LTM	0.46
16	HOLI	0.48
57	MPAA	0.48
39	CVGI	0.48
10	MCY	0.5
63	RLGY	0.5
