	Code	PEG
54	HOS	0.01
230	BRS	0.01
100	MGNX	0.02
121	NVLN	0.02
37	FOMX	0.02
92	MCRB	0.03
148	PRTK	0.03
122	NVUS	0.04
42	GLNG	0.04
109	NAO	0.04
38	FRED	0.04
190	BBU	0.04
191	BAS	0.05
240	CMLS	0.05
78	KPTI	0.05
101	MNTA	0.06
39	FPRX	0.06
159	RYI	0.07
222	BLRX	0.07
223	BLUE	0.07
166	SGH	0.08
165	SFUN	0.08
152	QHC	0.08
129	APRN	0.08
49	GOL	0.08
76	JCP	0.08
231	CBIO	0.09
0	ADES	0.09
20	ERIC	0.09
160	RMR	0.09
79	KEG	0.1
102	MGTX	0.1
204	VAPO	0.1
55	HHS	0.1
198	UPL	0.1
43	GHL	0.1
249	CSTM	0.1
93	MDR	0.1
172	SRLP	0.1
130	ARAY	0.1
12	DNR	0.11
173	SPWR	0.11
161	RMAX	0.11
232	CBB	0.11
192	AXNX	0.11
241	CHU	0.12
205	VCTR	0.12
21	ESV	0.12
206	VICI	0.13
174	SUN	0.13
235	CEPU	0.13
22	ERF	0.13
219	YRCW	0.14
56	HK	0.14
210	VRCA	0.14
50	HBM	0.14
123	ONDK	0.14
224	BFR	0.15
250	CSIQ	0.15
193	AVDL	0.15
5	CZR	0.15
144	PES	0.15
87	LGCY	0.15
153	RE	0.16
64	AMAG	0.16
132	ARLO	0.17
6	CVI	0.17
179	TGP	0.17
131	ATI	0.17
175	SPN	0.17
44	GEC	0.17
213	WOW	0.17
220	YTRA	0.18
207	USX	0.18
251	CURO	0.19
133	ATNX	0.19
176	SQBG	0.19
110	NCS	0.19
45	GNMK	0.2
252	CRZO	0.2
27	FCAU	0.21
65	AIG	0.21
94	MESA	0.21
46	GMS	0.21
32	FG	0.21
134	ASRT	0.21
170	SOI	0.22
111	MTW	0.22
114	NINE	0.23
253	CPE	0.23
225	BMA	0.23
88	LILAK	0.24
214	XYF	0.24
135	ATUS	0.24
115	NMM	0.24
154	RICK	0.24
140	PBF	0.25
89	LCI	0.25
103	MPO	0.25
66	AL	0.25
1	AGS	0.25
28	FBM	0.25
23	EOG	0.26
104	MLHR	0.26
145	PNR	0.26
51	GVP	0.26
52	GTX	0.27
116	NMIH	0.27
177	STM	0.27
236	CHRA	0.27
33	FLY	0.27
13	DO	0.27
67	AM	0.27
185	THC	0.27
180	TGA	0.27
14	DOOR	0.27
208	USAK	0.27
221	ZEUS	0.28
77	JAG	0.28
124	OMF	0.29
215	WPX	0.29
117	NRG	0.29
95	LPLA	0.29
254	COOP	0.29
24	ESTE	0.29
2	AAL	0.29
186	TILE	0.3
211	VOYA	0.3
136	ASX	0.3
40	FTAI	0.3
34	FNHC	0.3
112	MTOR	0.3
105	MNK	0.3
57	HLX	0.31
41	FTSI	0.31
216	WOR	0.31
194	AVH	0.31
58	HOV	0.31
59	HRI	0.31
237	CF	0.31
162	RM	0.32
195	BCEI	0.32
242	CMC	0.32
178	SSW	0.32
71	HTZ	0.33
255	CUI	0.33
60	HPR	0.33
68	AKS	0.33
243	COG	0.33
15	DLHC	0.33
72	HZO	0.33
181	TDS	0.34
256	CQP	0.34
226	BHGE	0.34
257	CPSS	0.34
238	CFMS	0.34
16	DISCA	0.34
137	AUO	0.34
17	EDN	0.34
199	TWI	0.35
73	IGT	0.35
80	KOF	0.35
155	RH	0.35
90	LKQ	0.35
146	PGTI	0.35
147	PNFP	0.35
141	PE	0.36
53	GWPH	0.36
61	HP	0.36
171	SLM	0.36
96	LPTX	0.36
167	SAVE	0.36
106	MPLX	0.37
62	HFC	0.37
138	ATRO	0.37
244	CISN	0.37
97	MCY	0.38
47	GM	0.38
118	NR	0.38
187	TPRE	0.38
245	CLR	0.38
163	RRR	0.38
63	HCI	0.38
74	INVA	0.39
182	SYF	0.39
3	ADNT	0.39
200	UNT	0.39
107	MOS	0.39
125	OLN	0.4
81	KBH	0.4
91	LBRT	0.4
29	FBP	0.4
142	PDCE	0.4
227	BP	0.41
126	OMP	0.42
217	WTW	0.42
35	FI	0.42
209	VLO	0.42
246	CNX	0.42
258	CRK	0.42
201	UFAB	0.42
119	NNBR	0.43
259	CONN	0.43
233	CAT	0.43
149	PXD	0.43
247	CKH	0.43
228	BHF	0.43
83	KEM	0.43
18	ECPG	0.43
202	URI	0.43
82	KRA	0.43
150	PRTY	0.44
156	QRTEA	0.44
168	SB	0.44
75	IOVA	0.44
139	ATH	0.44
260	CTEK	0.44
183	SUPN	0.44
127	NWHM	0.44
7	CVIA	0.45
164	RLGY	0.45
188	TSQ	0.45
19	EGHT	0.45
25	ET	0.45
69	AMP	0.45
248	CNXM	0.46
84	KOP	0.46
70	AMX	0.46
48	GLOG	0.46
151	PTR	0.46
212	WERN	0.46
261	CPAC	0.46
189	TPIC	0.46
143	PCRX	0.47
8	CXO	0.47
30	FANG	0.47
157	REI	0.47
239	CELG	0.47
128	OEC	0.47
196	AVYA	0.48
9	CVX	0.48
85	KFRC	0.48
120	NS	0.48
4	ABG	0.48
169	SGMO	0.48
158	QDEL	0.48
10	CVGI	0.48
99	LYTS	0.49
98	MEOH	0.49
86	KRP	0.49
234	CAR	0.49
218	XPO	0.5
26	ENLC	0.5
184	TEX	0.5
108	MPAA	0.5
36	FLR	0.5
197	BAC	0.5
229	BNED	0.5
31	EXEL	0.5
203	UIHC	0.5
11	DFS	0.5
113	NAVI	0.5
