	Code	PEG
97	FNB	1.01
533	RS	1.01
206	AN	1.01
730	VSH	1.01
731	WBA	1.01
401	NTRS	1.01
514	RBC	1.01
850	CIB	1.02
712	UTSI	1.02
290	LITE	1.02
317	MED	1.02
849	CHTR	1.02
732	WHR	1.02
181	HHC	1.03
122	FSTR	1.03
657	BAP	1.03
207	ALB	1.03
496	QCOM	1.03
476	POST	1.03
851	CIT	1.04
635	TROX	1.04
318	MATX	1.04
402	NOC	1.04
454	PACW	1.04
586	SPR	1.04
534	RTW	1.04
292	LOW	1.05
291	LNG	1.05
275	KN	1.05
563	SHLX	1.05
806	BRFS	1.05
233	IBTX	1.05
64	EPRT	1.05
830	CHK	1.05
515	RBA	1.05
688	URBN	1.05
689	UNP	1.05
831	CECE	1.05
607	TEN	1.05
588	STRL	1.05
805	BSET	1.05
780	BMCH	1.05
587	SUM	1.05
606	TBI	1.05
378	MTDR	1.06
433	ARNC	1.06
377	NCLH	1.06
832	CCL	1.06
852	CNTY	1.06
208	AIT	1.06
267	JEC	1.06
40	DHI	1.06
39	DLX	1.06
434	ARES	1.06
497	PRAA	1.06
853	CMCSA	1.07
733	VST	1.07
833	CDW	1.07
713	VALE	1.07
24	DFIN	1.07
589	STMP	1.07
658	BCBP	1.07
47	EBMT	1.07
417	OPBK	1.07
547	SCHN	1.08
608	TCFC	1.08
157	HAYN	1.08
517	REGI	1.08
516	RGA	1.08
42	DOV	1.08
41	DLTH	1.08
734	WEX	1.08
418	NXPI	1.08
773	ZIXI	1.09
753	XOG	1.09
498	PWR	1.09
659	BCML	1.09
209	ALV	1.09
690	UMPQ	1.09
549	SEMG	1.09
319	MCHP	1.09
636	TRVG	1.09
590	SSB	1.09
548	SEE	1.09
403	NOMD	1.09
564	SIG	1.09
518	RF	1.09
637	TREX	1.09
0	ABM	1.09
48	EBSB	1.09
347	MOH	1.1
78	FDX	1.1
141	GHC	1.1
234	ICBK	1.1
781	BKNG	1.1
691	TYPE	1.1
276	KEYS	1.1
124	FSB	1.1
123	FSCT	1.1
