	Code	PEG
0	AFK	999.0
4382	TMUS	999.0
4381	TMST	999.0
4380	TMSR	999.0
4379	TMQ	999.0
4378	TMP	999.0
4377	TMO	999.0
4376	TMK$C	999.0
4375	TMHC	999.0
4374	TM	999.0
4373	TMFC	999.0
4372	TMF	999.0
4371	TME	999.0
4370	TMDI	999.0
4369	TMCXW	999.0
4368	TMCXU	999.0
4367	TMCX	999.0
4366	TPH	999.0
4365	TOO$B	999.0
4364	TPIC	999.0
4363	TSC	999.0
4362	TS	999.0
4383	TMK	999.0
4384	TMV	999.0
4385	TLYS	999.0
4386	TLTD	999.0
4408	TOTA	999.0
4407	TOT	999.0
4406	TNC	999.0
4405	TNA	999.0
4404	TPHS	999.0
4403	TLI	999.0
4402	TLT	999.0
4401	TLSA	999.0
4400	TLRY	999.0
4399	TLRD	999.0
4361	TRXC	999.0
4398	TLRA	999.0
4396	TLK	999.0
4395	TLH	999.0
4394	TLTE	999.0
4393	TLGT	999.0
4392	TLF	999.0
4391	TLEH	999.0
4390	TLDH	999.0
4389	TLC	999.0
4388	TKR	999.0
4387	TKKSW	999.0
4397	TLND	999.0
4409	TOTAR	999.0
4360	TRX	999.0
4358	TRVG	999.0
4331	TSG	999.0
4330	TSEM	999.0
4329	TSE	999.0
4328	TROX	999.0
4327	TSCAP	999.0
4326	TROV	999.0
4325	TRHC	999.0
4324	TREX	999.0
4323	TREE	999.0
4322	TREC	999.0
4321	TRCO	999.0
4320	TRCH	999.0
4319	TRCB	999.0
4318	TRC	999.0
4317	TQQQ	999.0
4316	TPZ	999.0
4315	TPYP	999.0
4314	TPRE	999.0
4313	TPR	999.0
4312	TPOR	999.0
4311	TPNL	999.0
4332	TSI	999.0
4333	TSLA	999.0
4334	TSLF	999.0
4335	TSLX	999.0
4357	TRV	999.0
4356	TRUP	999.0
4355	TRTN$A	999.0
4354	TRTN	999.0
4353	TRT	999.0
4352	TRST	999.0
4351	TRS	999.0
4350	TRQ	999.0
4349	TRPX	999.0
4348	TRP	999.0
4359	TRVN	999.0
4347	TSBK	999.0
4345	TROW	999.0
4344	TSCO	999.0
4343	TTAC	999.0
4342	TSU	999.0
4341	TST	999.0
4340	TSS	999.0
4339	TSRI	999.0
4338	TSQ	999.0
4337	TSN	999.0
4336	TSM	999.0
4346	TPL	999.0
4410	TOTAU	999.0
4411	TOTAW	999.0
4412	TOTL	999.0
4485	CHL	999.0
4484	CHKR	999.0
4483	CHKP	999.0
4482	CHKE	999.0
4481	CHK$D	999.0
4480	CHEK	999.0
4479	CHIS	999.0
4478	CHE	999.0
4477	CGNX	999.0
4476	CGEN	999.0
4475	CGC	999.0
4474	CGBD	999.0
4473	CGA	999.0
4472	CG	999.0
4471	CFXA	999.0
4470	CFX	999.0
4469	CFRX	999.0
4468	CFR$A	999.0
4467	CFR	999.0
4466	CFO	999.0
4465	CFMS	999.0
4486	CHMA	999.0
4487	CHMG	999.0
4488	CHK	999.0
4489	CHMI	999.0
4511	CHII	999.0
4510	CHIH	999.0
4509	CHIC	999.0
4508	CHIU	999.0
4507	CHGX	999.0
4506	CHGG	999.0
4505	CHFS	999.0
4504	CHFC	999.0
4503	CHEP	999.0
4502	CHEKZ	999.0
4464	CFG$D	999.0
4501	CHEKW	999.0
4499	CHIX	999.0
4498	CHEF	999.0
4497	CHMI$A	999.0
4496	CHRW	999.0
4495	CHRS	999.0
4494	CHRA	999.0
4493	CHNR	999.0
4492	CHNA	999.0
4491	CHN	999.0
4490	CHMI$B	999.0
4500	CFBK	999.0
4463	CHDN	999.0
4462	CFFA	999.0
4461	CGIX	999.0
4434	TOO$E	999.0
4433	TNP$D	999.0
4432	TNP$C	999.0
4431	TNP$B	999.0
4430	TNP	999.0
4429	TNK	999.0
4428	TNET	999.0
4427	TNDM	999.0
4426	TTAI	999.0
4425	TOPS	999.0
4435	TNP$E	999.0
4424	TNAV	999.0
4422	TPGH.W	999.0
4421	TPGH.U	999.0
4420	TPGH	999.0
4419	TPCO	999.0
4418	TPC	999.0
4417	TPB	999.0
4416	TPAY	999.0
4415	TOWN	999.0
4414	TORC	999.0
4413	TOUR	999.0
4423	TOWR	999.0
4310	TRNX	999.0
4436	TNXP	999.0
4438	TOK	999.0
4460	CFFAU	999.0
4459	CGO	999.0
4458	CHAP	999.0
4457	CHD	999.0
4456	CGVIC	999.0
4455	CHCT	999.0
4454	CHCO	999.0
4453	CHCI	999.0
4452	CHAU	999.0
4451	CBL$D	999.0
4437	TOCA	999.0
4450	CHAD	999.0
4448	CHAC.U	999.0
4447	CGW	999.0
4446	CHAC	999.0
4445	CHA	999.0
4444	TTC	999.0
4443	TNP$F	999.0
4442	TOO$A	999.0
4441	TOO	999.0
4440	TOLZ	999.0
4439	TOL	999.0
4449	CHAC.W	999.0
4512	CHIK	999.0
4309	TRGP	999.0
4307	TRI	999.0
4177	DFVS	999.0
4176	DESP	999.0
4175	DDP	999.0
4174	DDMXU	999.0
4173	DDMX	999.0
4172	DDM	999.0
4171	DDLS	999.0
4170	DDJP	999.0
4169	DDIV	999.0
4168	DDG	999.0
4167	DDF	999.0
4166	DDEZ	999.0
4165	DDE	999.0
4164	DDD	999.0
4163	DD$B	999.0
4162	DD$A	999.0
4161	DCUD	999.0
4160	DCPH	999.0
4159	DESC	999.0
4158	DDMXW	999.0
4157	DDS	999.0
4178	DEUR	999.0
4179	DFVL	999.0
4180	DCP$C	999.0
4181	DG	999.0
4203	DF	999.0
4202	DEZU	999.0
4201	DEX	999.0
4200	DEWJ	999.0
4199	DEW	999.0
4198	DEUS	999.0
4197	DFNL	999.0
4196	DFRG	999.0
4195	DEST	999.0
4194	DFS	999.0
4156	DEF	999.0
4193	DGSE	999.0
4191	DGRW	999.0
4190	DGRS	999.0
4189	DGLY	999.0
4188	DGLD	999.0
4187	DGL	999.0
4186	DGII	999.0
4185	DGICB	999.0
4184	DGICA	999.0
4183	DGBP	999.0
4182	DGAZ	999.0
4192	DGS	999.0
4204	DFBH	999.0
4155	DEMG	999.0
4153	DDT	999.0
4126	SLYG	999.0
4125	SM	999.0
4124	SLGL	999.0
4123	SMFG	999.0
4122	SMIN	999.0
4121	SMI	999.0
4120	SMHI	999.0
4119	SMHD	999.0
4118	SMHB	999.0
4117	SMH	999.0
4116	SMG	999.0
4115	SMEZ	999.0
4114	SMAR	999.0
4113	SMED	999.0
4112	SMDV	999.0
4111	SMDD	999.0
4110	SMCP	999.0
4109	SMBK	999.0
4108	SMBC	999.0
4107	SMB	999.0
4106	SLGN	999.0
4127	SLIM	999.0
4128	SLM	999.0
4129	SLMBP	999.0
4130	SLNO	999.0
4152	DEI	999.0
4151	DEFA	999.0
4150	DELL	999.0
4149	DEEF	999.0
4148	DECK	999.0
4147	DEA	999.0
4146	DE	999.0
4145	DDWM	999.0
4144	SPAQ	999.0
4143	SLS	999.0
4154	DEM	999.0
4142	SLY	999.0
4140	SLVP	999.0
4139	SLVO	999.0
4138	SLV	999.0
4137	SLTB	999.0
4136	SLT	999.0
4135	SLRC	999.0
4134	SPAB	999.0
4133	SLQD	999.0
4132	SLP	999.0
4131	SLNOW	999.0
4141	SLX	999.0
4205	DFBHU	999.0
4206	DFBHW	999.0
4207	DFE	999.0
4280	DAUD	999.0
4279	DATA	999.0
4278	DARE	999.0
4277	DAR	999.0
4276	DGT	999.0
4275	DBGR	999.0
4274	DALT	999.0
4273	DBVT	999.0
4272	DCO	999.0
4271	DCIX	999.0
4270	DCI	999.0
4269	DCHF	999.0
4268	DCF	999.0
4267	DCAR	999.0
4266	DBX	999.0
4265	DBV	999.0
4264	DBJP	999.0
4263	DBUK	999.0
4262	DBS	999.0
4261	DBP	999.0
4260	DBO	999.0
4281	DAVA	999.0
4282	DAVE	999.0
4283	DAX	999.0
4284	DBEZ	999.0
4306	TRMD	999.0
4305	TRNS	999.0
4304	TRIB	999.0
4303	TRNE.U	999.0
4302	TRN	999.0
4301	TRMT	999.0
4300	TRMK	999.0
4299	TRNO	999.0
4298	TRK	999.0
4297	TRIP	999.0
4259	DBLV	999.0
4296	TRIL	999.0
4294	DGX	999.0
4293	DBA	999.0
4292	DBEM	999.0
4291	DBEF	999.0
4290	DBE	999.0
4289	DBD	999.0
4288	DBC	999.0
4287	DBB	999.0
4286	DBAW	999.0
4285	DB	999.0
4295	TRMB	999.0
4258	DBL	999.0
4257	DBKO	999.0
4256	DAN	999.0
4229	DAC	999.0
4228	D	999.0
4227	CZZ	999.0
4226	CZWI	999.0
4225	CZNC	999.0
4224	CYRX	999.0
4223	CZFC	999.0
4222	CZA	999.0
4221	CYTXZ	999.0
4220	CYTX	999.0
4230	DAG	999.0
4219	CYTR	999.0
4217	CYRXW	999.0
4216	DCOM	999.0
4215	DBEU	999.0
4214	DCP$B	999.0
4213	DFP	999.0
4212	DFND	999.0
4211	DFJ	999.0
4210	DFIN	999.0
4209	DFFN	999.0
4208	DFEN	999.0
4218	CYTK	999.0
4308	TR	999.0
4231	DAIO	999.0
4233	CZR	999.0
4255	DALI	999.0
4254	DCP	999.0
4253	CYAN	999.0
4252	CYD	999.0
4251	CYCNV	999.0
4250	CYCCP	999.0
4249	CYCC	999.0
4248	CYBR	999.0
4247	CYBE	999.0
4246	CYB	999.0
4232	DAKT	999.0
4245	CYAD	999.0
4243	CY	999.0
4242	CXW	999.0
4241	CXSE	999.0
4240	CXP	999.0
4239	CXO	999.0
4238	CXH	999.0
4237	CXE	999.0
4236	CYH	999.0
4235	CYRN	999.0
4234	DAL	999.0
4244	CYOU	999.0
4105	SLGG	999.0
4513	CHIL	999.0
4515	CHIQ	999.0
4792	IRWDV	999.0
4791	IRWD	999.0
4790	IRTC	999.0
4789	IRT	999.0
4788	IRS	999.0
4787	IRR	999.0
4786	IROQ	999.0
4785	IRMD	999.0
4784	IPOA.U	999.0
4783	IRET$C	999.0
4782	IPO	999.0
4781	IPAR	999.0
4780	IP	999.0
4779	IOVA	999.0
4778	IOTS	999.0
4777	IOSP	999.0
4776	IOR	999.0
4775	IONS	999.0
4774	IO	999.0
4773	INVE	999.0
4772	INVA	999.0
4793	ISBC	999.0
4794	ISCA	999.0
4795	ISCF	999.0
4796	ISD	999.0
