	Code	PEG
7927	MGNX	0.01
6749	SPN	0.01
4597	NVUS	0.01
7144	FOMX	0.02
197	QHC	0.02
8119	RYAM	0.02
7143	FPRX	0.02
7729	APRN	0.05
1182	XYF	0.07
4202	AXNX	0.08
7535	VNDA	0.1
5963	CHU	0.1
7343	GOL	0.12
198	REI	0.12
4397	HTZ	0.13
8120	RMAX	0.14
7536	VRCA	0.15
4203	AVP	0.16
3730	AIG	0.17
4789	COOP	0.17
3731	AKCA	0.19
199	QRTEA	0.21
594	NEXA	0.21
4598	OPRA	0.22
5568	TIGO	0.23
7730	ATUS	0.24
2164	SBOW	0.24
4204	AVYA	0.24
3928	YTRA	0.24
4790	CONN	0.24
1183	WOW	0.24
7537	VNO	0.25
8312	TUP	0.25
595	NTGR	0.25
4205	BCEI	0.26
2551	TGA	0.27
5964	CISN	0.28
789	DISCA	0.3
986	LPTX	0.3
4791	CPE	0.31
2552	SUPN	0.31
6750	STNG	0.32
1184	WLL	0.32
5569	TILE	0.33
4792	CONE	0.34
8121	RM	0.35
1185	WOR	0.36
7731	APLS	0.37
3929	YMAB	0.39
2357	GLIBA	0.39
987	MESA	0.39
8122	RLGT	0.41
3339	BP	0.41
8123	RMNI	0.42
4793	CPAC	0.43
396	PFSI	0.44
6947	NAVI	0.45
4004	FG	0.45
1772	BRY	0.45
988	LTM	0.46
7928	MPAA	0.48
5374	CVGI	0.48
1968	HOLI	0.48
989	MCY	0.5
8124	RLGY	0.5
7344	GPP	0.53
6948	MSGN	0.54
3535	PRAA	0.57
7345	GPMT	0.58
1186	WNC	0.58
2165	SAMG	0.59
1577	EVC	0.59
3340	BHF	0.6
7145	FOCS	0.6
0	AAL	0.6
7538	VOYA	0.61
1	AAWW	0.61
5181	SIBN	0.62
5570	TPX	0.62
5375	CVE	0.62
5571	THC	0.63
5965	CIB	0.63
2	ABG	0.65
4794	COWN	0.66
1969	HOME	0.67
7929	MHO	0.67
4398	HTH	0.68
1970	HCI	0.68
3536	PRCP	0.69
6555	PCRX	0.69
2553	SYF	0.71
790	DHI	0.71
2942	KREF	0.71
8125	RYB	0.71
5765	CBS	0.72
5572	TITN	0.73
3141	USM	0.74
1773	BSBR	0.75
7732	AOSL	0.75
4599	NVEE	0.76
7733	AOBC	0.76
397	PFIE	0.78
5573	TIVO	0.78
4399	HTLD	0.78
3341	BGCP	0.78
5376	CVCO	0.78
3732	AIZ	0.79
398	PPC	0.8
6359	LAD	0.8
3342	BGSF	0.81
2746	DXPE	0.82
6160	IIVI	0.82
3	AAN	0.83
399	PETQ	0.83
5182	SIG	0.83
7346	GNW	0.84
7734	ANTM	0.85
791	DHX	0.85
3733	AIMC	0.85
2166	SAVE	0.86
5966	CIGI	0.86
4795	CPA	0.87
4206	AVDL	0.87
792	DIN	0.87
990	LPLA	0.87
7539	VRA	0.9
5574	THRM	0.9
200	QNST	0.9
4005	FFG	0.91
5967	CI	0.91
4207	AVNW	0.92
5968	CIT	0.93
5575	TPVG	0.94
8313	TVTY	0.95
6751	SPR	0.98
991	LTRX	0.98
7735	APOG	0.99
4208	AX	1.0
6161	IRBT	1.01
2167	SB	1.01
1380	EME	1.01
6752	SPAR	1.02
4	AEM	1.02
5377	CVU	1.03
4209	AVID	1.03
3734	AIR	1.04
1971	HEAR	1.04
793	DISCK	1.05
4210	AVGO	1.05
2168	SBBX	1.05
2169	SBNY	1.05
2554	SWI	1.06
596	NTIC	1.06
4982	ITRI	1.07
5	AER	1.09
2358	GCO	1.1
5969	CIEN	1.1
1972	HEES	1.11
8126	RYAAY	1.12
2943	JOUT	1.12
7347	GPK	1.12
2747	DZSI	1.13
4400	HUBG	1.16
5183	SHLX	1.17
400	PFBC	1.18
4006	FFBC	1.19
5970	CNK	1.19
1973	HCKT	1.2
1187	WLH	1.2
7348	GNTX	1.2
1188	WLKP	1.21
6	ABM	1.21
4401	HTLF	1.22
7930	MGPI	1.23
6360	L	1.23
6556	OSIS	1.24
7540	VPG	1.24
6162	INWK	1.24
6557	ORI	1.25
3537	PRT	1.25
6163	IIIV	1.25
2170	SEDG	1.27
3735	AIT	1.28
7541	WES	1.29
1974	HDB	1.29
4600	NWHM	1.31
7	AAP	1.31
6558	OSUR	1.31
2555	SYNA	1.31
4211	AVAV	1.32
794	DIOD	1.32
2359	GBLI	1.32
4402	HVT	1.33
3930	ZAGG	1.33
2556	SWKS	1.34
2748	DY	1.34
3538	PRIM	1.35
5766	CBT	1.36
