	Code	PEG
841	BHR	-76.54
816	BGFV	-5.76
4	AAC	-3.3
642	AXL	-3.24
58	ACIA	-3.05
553	AT	-2.47
10	AAOI	-2.17
156	AGFS	-1.17
539	ASND	-1.17
362	AMSC	-0.95
42	ACAD	-0.94
288	ALLT	-0.89
448	AQ	-0.8
447	APYX	-0.75
440	APTS	-0.73
552	ASYS	-0.47
821	BGNE	-0.42
299	ALRN	-0.42
636	AXDX	-0.4
712	BBGI	-0.39
556	ATEC	-0.34
56	ACHN	-0.29
536	ASMB	-0.27
542	ASPU	-0.27
817	BGG	-0.26
300	ALSK	-0.24
292	ALNY	-0.23
450	AQMS	-0.23
561	ATHX	-0.16
216	AIMT	-0.15
67	ACOR	-0.14
538	ASNA	-0.11
920	BLPH	-0.01
70	ACRS	-0.01
709	BBDO	0.0
657	AYTU	0.0
658	AYX	0.0
659	AZN	0.0
660	AZO	0.0
661	AZPN	0.0
662	AZRE	0.0
663	AZRX	0.0
664	AZUL	0.0
665	AZZ	0.0
732	BBW	0.0
656	AYR	0.0
667	BA	0.0
668	BAB	0.0
669	BABA	0.0
731	BBVA	0.0
730	BBUS	0.0
670	BABY	0.0
671	BAC	0.0
672	BAC$A	0.0
666	B	0.0
653	AXU	0.0
736	BC$A	0.0
737	BC$B	0.0
615	AVLR	0.0
616	AVNS	0.0
617	AVNW	0.0
619	AVRO	0.0
622	AVXL	0.0
625	AWF	0.0
628	AWP	0.0
630	AWRE	0.0
631	AWSM	0.0
632	AWTM	0.0
673	BAC$B	0.0
633	AWX	0.0
638	AXGN	0.0
639	AXGT	0.0
640	AXJL	0.0
641	AXJV	0.0
738	BC$C	0.0
644	AXO	0.0
646	AXR	0.0
648	AXS$D	0.0
649	AXS$E	0.0
650	AXSM	0.0
739	BCAC	0.0
674	BAC$C	0.0
728	BBT$H	0.0
706	BBCP	0.0
714	BBJP	0.0
689	BANF	0.0
690	BANFP	0.0
691	BANR	0.0
713	BBH	0.0
692	BANX	0.0
693	BAP	0.0
694	BAR	0.0
695	BAS	0.0
696	BASI	0.0
697	BATRA	0.0
711	BBF	0.0
698	BATRK	0.0
699	BATT	0.0
700	BAX	0.0
710	BBEU	0.0
701	BB	0.0
702	BBAX	0.0
703	BBBY	0.0
704	BBC	0.0
705	BBCA	0.0
688	BAND	0.0
675	BAC$E	0.0
687	BANC$E	0.0
686	BANC$D	0.0
727	BBT$G	0.0
676	BAC$K	0.0
677	BAC$L	0.0
726	BBT$F	0.0
725	BBT$E	0.0
678	BAC$W	0.0
679	BAC$Y	0.0
680	BAF	0.0
724	BBT$D	0.0
681	BAH	0.0
682	BAK	0.0
721	BBSA	0.0
720	BBRE	0.0
614	AVK	0.0
719	BBRC	0.0
718	BBP	0.0
717	BBN	0.0
683	BAL	0.0
684	BAM	0.0
685	BANC	0.0
716	BBL	0.0
715	BBK	0.0
613	AVID	0.0
499	AROC	0.0
611	AVGR	0.0
509	ARTW	0.0
510	ARTX	0.0
511	ARVN	0.0
512	ARW	0.0
513	ARWR	0.0
514	ARYA	0.0
515	ARYAU	0.0
516	ARYAW	0.0
517	ASA	0.0
518	ASB	0.0
519	ASB$C	0.0
508	ARTNA	0.0
520	ASB$D	0.0
522	ASC	0.0
523	ASCMA	0.0
524	ASEA	0.0
525	ASET	0.0
526	ASFI	0.0
527	ASG	0.0
528	ASGN	0.0
529	ASH	0.0
530	ASHR	0.0
531	ASHS	0.0
532	ASHX	0.0
521	ASB$E	0.0
534	ASLN	0.0
507	ARRY	0.0
505	ARR$B	0.0
481	ARGO	0.0
482	ARGT	0.0
483	ARGX	0.0
484	ARI	0.0
485	ARI$C	0.0
486	ARKF	0.0
487	ARKG	0.0
488	ARKK	0.0
489	ARKQ	0.0
490	ARKR	0.0
491	ARKW	0.0
506	ARRS	0.0
492	ARL	0.0
494	ARLP	0.0
495	ARMK	0.0
496	ARNA	0.0
497	ARNC	0.0
498	ARNC$	0.0
998	BRACR	0.0
500	AROW	0.0
501	ARPO	0.0
502	ARQL	0.0
503	ARR	0.0
504	ARR$A	0.0
493	ARLO	0.0
535	ASM	0.0
540	ASPN	0.0
541	ASPS	0.0
588	ATXI	0.0
589	AU	0.0
590	AUBN	0.0
591	AUDC	0.0
592	AUG	0.0
593	AUGR	0.0
594	AUMN	0.0
595	AUO	0.0
596	AUPH	0.0
597	AUSF	0.0
598	AUTL	0.0
587	ATVI	0.0
599	AUTO	0.0
601	AVA	0.0
602	AVAL	0.0
603	AVAV	0.0
740	BCACR	0.0
604	AVB	0.0
605	AVCO	0.0
606	AVD	0.0
607	AVDL	0.0
608	AVDR	0.0
609	AVEO	0.0
610	AVGO	0.0
600	AUY	0.0
586	ATV	0.0
585	ATUS	0.0
584	ATU	0.0
545	ASRV	0.0
546	ASRVP	0.0
547	ASTC	0.0
554	ATAI	0.0
555	ATAX	0.0
563	ATIS	0.0
564	ATISW	0.0
566	ATLC	0.0
567	ATLO	0.0
568	ATMP	0.0
569	ATNI	0.0
570	ATNM	0.0
571	ATNX	0.0
572	ATO	0.0
573	ATOM	0.0
574	ATOS	0.0
575	ATR	0.0
576	ATRA	0.0
577	ATRC	0.0
578	ATRI	0.0
579	ATRO	0.0
580	ATRS	0.0
581	ATSG	0.0
582	ATTO	0.0
583	ATTU	0.0
612	AVH	0.0
741	BCACU	0.0
749	BCI	0.0
743	BCBP	0.0
906	BLDR	0.0
907	BLE	0.0
908	BLES	0.0
909	BLFS	0.0
910	BLHY	0.0
911	BLIN	0.0
912	BLK	0.0
913	BLKB	0.0
914	BLL	0.0
915	BLMN	0.0
916	BLMT	0.0
917	BLNK	0.0
918	BLNKW	0.0
919	BLOK	0.0
923	BLV	0.0
924	BLW	0.0
928	BME	0.0
930	BML$G	0.0
931	BML$H	0.0
932	BML$J	0.0
933	BML$L	0.0
934	BMLP	0.0
936	BMRA	0.0
937	BMRC	0.0
938	BMRN	0.0
905	BLDP	0.0
939	BMS	0.0
904	BLD	0.0
902	BLCM	0.0
877	BJUL	0.0
878	BK	0.0
879	BK$C	0.0
880	BKCC	0.0
881	BKCH	0.0
882	BKD	0.0
883	BKE	0.0
884	BKEP	0.0
885	BKEPP	0.0
886	BKF	0.0
887	BKH	0.0
888	BKI	0.0
889	BKJ	0.0
890	BKK	0.0
891	BKLN	0.0
892	BKN	0.0
893	BKNG	0.0
894	BKS	0.0
895	BKSC	0.0
896	BKT	0.0
897	BKTI	0.0
898	BKU	0.0
899	BKYI	0.0
900	BL	0.0
901	BLBD	0.0
903	BLCN	0.0
876	BJRI	0.0
940	BMTC	0.0
942	BND	0.0
972	BOSC	0.0
973	BOSS	0.0
974	BOTJ	0.0
975	BOTZ	0.0
976	BOUT	0.0
977	BOX	0.0
978	BOXL	0.0
979	BP	0.0
980	BPFH	0.0
981	BPI	0.0
982	BPL	0.0
983	BPMC	0.0
984	BPMP	0.0
985	BPMX	0.0
986	BPOP	0.0
987	BPOPM	0.0
988	BPOPN	0.0
989	BPR	0.0
990	BPRAP	0.0
991	BPRN	0.0
992	BPT	0.0
993	BPTH	0.0
994	BPY	0.0
995	BQH	0.0
997	BRAC	0.0
971	BOS	0.0
941	BMY	0.0
970	BORN	0.0
968	BOON	0.0
943	BNDC	0.0
944	BNDW	0.0
945	BNDX	0.0
946	BNED	0.0
947	BNFT	0.0
948	BNGO	0.0
949	BNGOW	0.0
950	BNO	0.0
951	BNS	0.0
952	BNSO	0.0
953	BNTC	0.0
954	BNTCW	0.0
955	BNY	0.0
956	BOCH	0.0
957	BOCT	0.0
958	BOE	0.0
959	BOH	0.0
960	BOIL	0.0
961	BOKF	0.0
962	BOKFL	0.0
963	BOLD	0.0
964	BOM	0.0
965	BOMN	0.0
966	BOND	0.0
967	BOOM	0.0
969	BOOT	0.0
875	BJK	0.0
874	BJAN	0.0
873	BJ	0.0
773	BDD	0.0
774	BDGE	0.0
775	BDJ	0.0
776	BDL	0.0
777	BDN	0.0
778	BDR	0.0
779	BDRY	0.0
780	BDSI	0.0
781	BDX	0.0
782	BDXA	0.0
783	BE	0.0
784	BEAT	0.0
785	BECN	0.0
786	BEDU	0.0
787	BEL	0.0
788	BELFA	0.0
789	BELFB	0.0
790	BEMO	0.0
791	BEN	0.0
792	BEP	0.0
793	BERN	0.0
794	BERY	0.0
795	BEST	0.0
796	BF.A	0.0
797	BF.B	0.0
772	BDCZ	0.0
799	BFC	0.0
771	BDCS	0.0
769	BDC$B	0.0
744	BCC	0.0
745	BCD	0.0
746	BCE	0.0
747	BCEI	0.0
748	BCH	0.0
480	ARGD	0.0
750	BCLI	0.0
751	BCM	0.0
752	BCML	0.0
753	BCNA	0.0
