	Code	PEG
61	GPP	0.53
59	MSGN	0.54
27	PRAA	0.57
13	WNC	0.58
62	GPMT	0.58
18	SAMG	0.59
14	EVC	0.59
24	BHF	0.6
60	FOCS	0.6
0	AAL	0.6
64	VOYA	0.61
1	AAWW	0.61
42	CVE	0.62
40	SIBN	0.62
44	TPX	0.62
51	CIB	0.63
45	THC	0.63
2	ABG	0.65
38	COWN	0.66
16	HOME	0.67
70	MHO	0.67
17	HCI	0.68
35	HTH	0.68
57	PCRX	0.69
28	PRCP	0.69
71	RYB	0.71
22	KREF	0.71
8	DHI	0.71
20	SYF	0.71
50	CBS	0.72
46	TITN	0.73
23	USM	0.74
15	BSBR	0.75
66	AOSL	0.75
67	AOBC	0.76
37	NVEE	0.76
47	TIVO	0.78
43	CVCO	0.78
36	HTLD	0.78
25	BGCP	0.78
5	PFIE	0.78
29	AIZ	0.79
6	PPC	0.8
56	LAD	0.8
26	BGSF	0.81
21	DXPE	0.82
55	IIVI	0.82
41	SIG	0.83
3	AAN	0.83
7	PETQ	0.83
63	GNW	0.84
68	ANTM	0.85
9	DHX	0.85
30	AIMC	0.85
19	SAVE	0.86
52	CIGI	0.86
10	DIN	0.87
11	LPLA	0.87
39	CPA	0.87
32	AVDL	0.87
48	THRM	0.9
65	VRA	0.9
4	QNST	0.9
53	CI	0.91
31	FFG	0.91
33	AVNW	0.92
54	CIT	0.93
49	TPVG	0.94
72	TVTY	0.95
12	LTRX	0.98
58	SPR	0.98
69	APOG	0.99
34	AX	1.0
