	Code	PEG
45	SB	1.01
145	IRBT	1.01
35	EME	1.01
158	SPAR	1.02
0	AEM	1.02
91	AVID	1.03
125	CVU	1.03
83	AIR	1.04
40	HEAR	1.04
47	SBNY	1.05
92	AVGO	1.05
22	DISCK	1.05
46	SBBX	1.05
58	SWI	1.06
18	NTIC	1.06
117	ITRI	1.07
1	AER	1.09
140	CIEN	1.1
53	GCO	1.1
41	HEES	1.11
181	RYAAY	1.12
67	JOUT	1.12
169	GPK	1.12
65	DZSI	1.13
100	HUBG	1.16
121	SHLX	1.17
13	PFBC	1.18
90	FFBC	1.19
141	CNK	1.19
170	GNTX	1.2
28	WLH	1.2
42	HCKT	1.2
2	ABM	1.21
29	WLKP	1.21
101	HTLF	1.22
148	L	1.23
178	MGPI	1.23
151	OSIS	1.24
173	VPG	1.24
146	INWK	1.24
75	PRT	1.25
147	IIIV	1.25
152	ORI	1.25
48	SEDG	1.27
84	AIT	1.28
43	HDB	1.29
174	WES	1.29
153	OSUR	1.31
3	AAP	1.31
109	NWHM	1.31
59	SYNA	1.31
23	DIOD	1.32
54	GBLI	1.32
93	AVAV	1.32
88	ZAGG	1.33
102	HVT	1.33
60	SWKS	1.34
66	DY	1.34
76	PRIM	1.35
134	CBT	1.36
36	EWBC	1.37
4	ABR	1.37
71	BHLB	1.37
154	ORCL	1.38
110	NWPX	1.38
103	HWC	1.38
55	GBDC	1.38
179	MGIC	1.39
5	ABCB	1.4
165	FORM	1.4
122	SHO	1.41
77	PRI	1.41
118	ITUB	1.42
123	SILC	1.42
68	USCR	1.42
69	USFD	1.43
61	SYBT	1.44
135	CBZ	1.45
24	LRCX	1.45
38	CACI	1.45
159	STN	1.46
14	PFSW	1.46
126	CVBF	1.46
25	MCS	1.47
162	MSA	1.47
78	PRLB	1.47
19	NR	1.48
155	PCOM	1.48
156	OSBC	1.49
149	LKFN	1.49
142	CIVB	1.5
79	PRAH	1.51
150	KSU	1.53
160	SPNS	1.53
104	HY	1.53
80	PRPL	1.54
26	LRN	1.54
171	GPN	1.54
175	APPS	1.54
163	MTH	1.55
166	FULT	1.55
105	HUM	1.55
6	ABC	1.55
132	THS	1.55
172	GOLD	1.56
94	AUY	1.56
95	AXP	1.57
7	ACA	1.57
81	PRGS	1.59
136	CCEP	1.6
111	NVR	1.6
143	CHTR	1.6
82	PRFT	1.61
185	TTWO	1.61
8	ABMD	1.62
9	AA	1.62
15	PPBI	1.62
186	TTMI	1.64
157	ORLY	1.64
56	GBX	1.65
49	SASR	1.65
112	OPRX	1.66
85	AKAM	1.66
72	BHC	1.67
167	FUL	1.67
16	PFG	1.67
187	TTEK	1.67
96	AWI	1.68
182	RMBS	1.68
127	CVCY	1.69
20	NFG	1.69
119	ITT	1.69
144	CHUY	1.71
137	CBRE	1.71
12	QRVO	1.71
30	WMC	1.72
164	MSBI	1.72
50	SAP	1.73
97	AXE	1.73
17	PFS	1.73
31	WIT	1.74
62	SXI	1.74
128	CWK	1.75
168	FOXF	1.76
133	THR	1.77
120	ITGR	1.78
63	SYKE	1.78
129	CVI	1.78
32	WIRE	1.78
176	APO	1.81
130	CVGW	1.81
51	SBCF	1.81
10	ABB	1.81
37	EVRI	1.82
27	LQDT	1.83
114	CPF	1.83
33	WLTW	1.83
161	SPSC	1.84
188	TWNK	1.84
73	BMRC	1.84
44	HRZN	1.85
183	RMD	1.86
98	AVY	1.86
138	CFG	1.87
64	SXC	1.88
89	YUM	1.89
184	RL	1.9
115	COLB	1.9
52	SAM	1.91
177	AON	1.91
74	BHE	1.92
34	WNEB	1.92
39	BRC	1.93
113	NVS	1.93
116	COLM	1.93
124	SHW	1.93
180	MG	1.94
70	USNA	1.95
57	GBCI	1.95
99	AVT	1.96
106	HURN	1.97
86	AIRG	1.98
107	HUBB	1.98
11	AB	1.99
131	CVX	1.99
139	CBPX	1.99
108	HXL	1.99
87	AIN	1.99
21	NEP	2.0
