	Code	PEG
0	AAAU	888.0
468	ISRA	888.0
469	JJS	888.0
470	SHO$F	888.0
471	SHOS	888.0
472	SHV	888.0
473	SHY	888.0
474	SHYD	888.0
475	SHYG	888.0
467	ITE	888.0
476	SHYL	888.0
478	SIFI	888.0
479	SIL	888.0
480	SIJ	888.0
481	SHM	888.0
482	SHO$E	888.0
483	DGP	888.0
484	DGRE	888.0
485	DGRO	888.0
477	SILJ	888.0
486	DES	888.0
466	ITEQ	888.0
464	ISZE	888.0
446	CORN	888.0
447	CORP	888.0
448	CPER	888.0
449	COPX	888.0
450	COW	888.0
451	JJN	888.0
452	JJM	888.0
453	ISHG	888.0
465	ITA	888.0
454	JETS	888.0
456	IUS	888.0
457	ISMD	888.0
458	JJP	888.0
459	ITB	888.0
460	ISRL	888.0
461	ITOT	888.0
462	ISTB	888.0
463	ITM	888.0
455	IUSB	888.0
487	CUT	888.0
488	CWS	888.0
489	CVRS	888.0
513	CBON	888.0
514	CBND	888.0
515	CBLK	888.0
516	CCH.U	888.0
517	CCA	888.0
518	CIG.C	888.0
519	CMSS	888.0
520	CIZ	888.0
512	CBS.A	888.0
521	CHSP	888.0
523	CIBR	888.0
524	CIC	888.0
525	CIC.U	888.0
526	CNHX	888.0
527	CIM$C	888.0
528	CIM$B	888.0
529	CIM$A	888.0
530	CID	888.0
522	CIVEC	888.0
511	CCC.U	888.0
510	CCC.W	888.0
509	CCH.W	888.0
490	CVY	888.0
491	CWAI	888.0
492	CWB	888.0
493	CWI	888.0
494	CWEN.A	888.0
495	CWEB	888.0
496	TI.A	888.0
497	TRTY	888.0
498	THD	888.0
499	TILT	888.0
500	TPVY	888.0
501	TIP	888.0
502	TIER	888.0
503	TIPX	888.0
504	TIPZ	888.0
505	TIS	888.0
506	TISA	888.0
507	TI	888.0
508	CCIH	888.0
445	CTZ	888.0
531	CIL	888.0
444	COMT	888.0
442	COMB	888.0
379	FHLC	888.0
380	FNDB	888.0
381	FNDA	888.0
382	FLQM	888.0
383	FLQL	888.0
384	FLQH	888.0
385	FHK	888.0
386	FHL	888.0
378	FEP	888.0
387	FNDC	888.0
389	FEUZ	888.0
390	FEUL	888.0
391	FEU	888.0
392	FEX	888.0
393	FG.W	888.0
394	FFEU	888.0
395	FEZ	888.0
396	FFSG	888.0
388	FFTY	888.0
397	FFIU	888.0
377	FGD	888.0
375	YXI	888.0
357	AIIQ	888.0
358	AIRR	888.0
359	AIQ	888.0
360	AIPT	888.0
361	YYY	888.0
362	ZB$A	888.0
363	ZB$H	888.0
364	ZBK	888.0
376	FGM	888.0
365	YCL	888.0
367	YCS	888.0
368	YMLP	888.0
369	YMLI	888.0
370	YLDE	888.0
371	YLD	888.0
372	YLCO	888.0
373	YINN	888.0
374	YCOM	888.0
366	ZBIO	888.0
398	FFR	888.0
399	FFTI	888.0
400	FFHG	888.0
424	HUNT	888.0
425	HUNTU	888.0
426	HYD	888.0
427	HYDB	888.0
428	OMAD	888.0
429	NUEM	888.0
430	NVLN	888.0
431	NUMG	888.0
423	HVT.A	888.0
432	NULV	888.0
434	NUGT	888.0
435	NULG	888.0
436	NURE	888.0
437	NUSC	888.0
438	NUMV	888.0
439	NUSA	888.0
440	COWZ	888.0
441	COM	888.0
433	NVMM	888.0
422	HUSV	888.0
421	HUSE	888.0
420	HUNTW	888.0
401	FFTG	888.0
402	AWTM	888.0
403	AXJV	888.0
404	AXJL	888.0
405	BCI	888.0
406	IDEV	888.0
407	HYG	888.0
408	IDHD	888.0
409	IEV	888.0
410	IEUS	888.0
411	IEUR	888.0
412	HYGV	888.0
413	HYGS	888.0
414	HYEM	888.0
415	HYGH	888.0
416	HYDD	888.0
417	HTUS	888.0
418	HYDW	888.0
419	HTRB	888.0
443	COMG	888.0
356	AI$B	888.0
532	CIO$A	888.0
534	IJJ	888.0
646	VQT	888.0
647	VNQ	888.0
648	VPL	888.0
649	VONE	888.0
650	VONG	888.0
651	VPU	888.0
652	VOO	888.0
653	VOOG	888.0
645	VRAI	888.0
654	VOOV	888.0
656	VOT	888.0
657	VOX	888.0
658	VPC	888.0
659	VO	888.0
660	AOR	888.0
661	ATTU	888.0
662	ATU	888.0
663	AOA	888.0
655	VONV	888.0
664	AOM	888.0
644	VNQI	888.0
642	VNO$M	888.0
624	FPEI	888.0
625	FPXE	888.0
626	HAUZ	888.0
627	GVAL	888.0
628	GUT$C	888.0
629	GNRX	888.0
630	HAUD	888.0
631	GOODP	888.0
643	VRIG	888.0
632	GOVT	888.0
634	GOAT	888.0
635	GOAU	888.0
636	GOEX	888.0
637	GPJA	888.0
638	GOODO	888.0
639	VOE	888.0
640	VNM	888.0
641	VNLA	888.0
633	GPIC	888.0
665	AOIL	888.0
666	APO$A	888.0
667	APC	888.0
691	RJN	888.0
692	RJZ	888.0
693	RLY	888.0
694	RMPL$	888.0
695	UGBP	888.0
696	UGE	888.0
697	UGL	888.0
698	TWM	888.0
690	RJI	888.0
699	TWNKW	888.0
701	TWLVW	888.0
702	TUSA	888.0
703	TUZ	888.0
704	TVIX	888.0
705	TUR	888.0
706	TWLVR	888.0
707	TVPT	888.0
708	TTT	888.0
700	TWLVU	888.0
689	RJA	888.0
688	RISE	888.0
687	RMG.U	888.0
668	APO$B	888.0
669	APHB	888.0
670	APF	888.0
671	AOK	888.0
672	MGV	888.0
673	MH$D	888.0
674	MH$C	888.0
675	MH$A	888.0
676	MHLA	888.0
677	MGC	888.0
678	MGK	888.0
679	MFUS	888.0
680	RLM	888.0
681	RVRS	888.0
682	RVNU	888.0
683	RY$T	888.0
684	RILYI	888.0
685	RINF	888.0
686	RING	888.0
623	FPX	888.0
533	CIC.W	888.0
622	FQAL	888.0
620	FONE	888.0
557	IHDG	888.0
558	IGOV	888.0
559	LKOR	888.0
560	KSA	888.0
561	LACK	888.0
562	KSU$	888.0
563	KURE	888.0
564	KWEB	888.0
556	IHYV	888.0
565	LABD	888.0
