	Code	PEG
228	UAL	0.51
281	CRK	0.51
57	HST	0.51
166	RCMT	0.52
23	EGHT	0.52
84	IMAX	0.52
43	FWONA	0.52
0	AEL	0.53
186	STM	0.53
51	GPP	0.53
122	MSGN	0.54
67	ALK	0.54
269	CHRS	0.54
44	FWONK	0.55
282	CPSS	0.55
283	CRS	0.55
134	ATH	0.55
68	AM	0.55
69	ALGT	0.55
70	ALLY	0.55
113	MRO	0.55
135	ATRO	0.56
95	KFRC	0.56
160	PRAA	0.57
29	ET	0.57
52	GPMT	0.58
130	ODP	0.58
154	PLT	0.58
32	EXTR	0.58
245	WNC	0.58
193	TCPC	0.58
33	EVC	0.59
176	SAMG	0.59
81	IBP	0.59
37	FLEX	0.59
136	ARNC	0.59
229	UIS	0.59
53	GTLS	0.6
1	AAL	0.6
105	MCFT	0.6
9	CVE	0.6
251	BHF	0.6
96	KOP	0.6
270	CF	0.6
45	FOCS	0.6
2	AAWW	0.61
131	OMF	0.61
239	VOYA	0.61
260	BV	0.61
187	SRC	0.61
137	AU	0.61
194	TH	0.62
261	CARS	0.62
15	DLTH	0.62
85	INCY	0.62
177	SEAS	0.62
201	TPX	0.62
24	ELY	0.62
181	SIBN	0.62
155	PKOH	0.63
138	ASPS	0.63
202	THC	0.63
262	CACC	0.63
16	DVA	0.63
167	RH	0.63
252	BOOM	0.63
274	CIB	0.63
161	PTSI	0.63
188	SPWH	0.64
38	FNHC	0.64
71	ALXN	0.64
214	AZUL	0.64
271	CDE	0.65
90	JAG	0.65
168	REDU	0.65
3	ABG	0.65
34	EXPR	0.65
146	PE	0.66
215	BCOR	0.66
25	ECA	0.66
195	TCS	0.66
284	COWN	0.66
58	HOME	0.67
147	PAAS	0.67
86	IONS	0.67
263	CAL	0.67
114	MHO	0.67
285	CPTA	0.67
82	HTH	0.68
139	ASX	0.68
275	CMCO	0.68
253	BLD	0.68
240	WBS	0.68
59	HCI	0.68
216	BBD	0.68
217	AXS	0.69
148	PCRX	0.69
162	PRCP	0.69
91	JCI	0.69
72	AL	0.69
46	FSLR	0.69
92	JILL	0.69
237	VAC	0.7
106	MBUU	0.7
73	AMBC	0.71
196	SYF	0.71
169	RC	0.71
127	NNBR	0.71
98	KELYA	0.71
171	RYB	0.71
10	DELL	0.71
101	LGIH	0.71
97	KREF	0.71
17	DHI	0.71
123	NBIX	0.71
54	GTS	0.72
11	DAL	0.72
276	CO	0.72
163	PXD	0.72
39	FMNB	0.72
203	TITN	0.73
286	CPIX	0.73
132	OPB	0.73
26	EHTH	0.73
246	WYND	0.74
