	Code	PEG
139	SPN	0.01
91	NVUS	0.01
76	MGNX	0.01
32	GLNG	0.02
121	RYAM	0.02
113	QHC	0.02
25	FOMX	0.02
67	MCRB	0.02
26	FPRX	0.02
81	NBR	0.03
108	PRTK	0.03
181	BLUE	0.03
61	LKSD	0.04
182	BLRX	0.04
77	MNTA	0.05
55	JCP	0.05
96	APRN	0.05
97	ASRT	0.06
136	SLCA	0.06
185	CBIO	0.07
170	XYF	0.07
42	HHS	0.07
188	CEPU	0.07
98	ARAY	0.07
68	LXRX	0.08
33	GGAL	0.08
157	AXNX	0.08
0	ADES	0.09
190	CHU	0.1
164	VNDA	0.1
27	FTSI	0.1
99	AR	0.11
12	ETRN	0.11
5	DNR	0.11
114	REI	0.12
131	SGRY	0.12
141	SUN	0.12
38	GOL	0.12
140	SRLP	0.12
92	ONDK	0.12
13	ERF	0.13
50	HTZ	0.13
46	AMAG	0.13
78	MR	0.13
34	GNMK	0.13
39	HBM	0.14
183	BMA	0.14
146	TGP	0.14
122	RMAX	0.14
165	VRCA	0.15
69	MDWD	0.15
6	DPLO	0.15
115	RE	0.16
158	AVP	0.16
47	AIG	0.17
147	TEO	0.17
100	ARLO	0.17
196	COOP	0.17
124	SAFM	0.18
2	CZR	0.18
123	S	0.18
21	FLY	0.19
48	AKCA	0.19
197	CURO	0.19
62	LOPE	0.19
70	MDP	0.19
85	NMM	0.2
59	KPTI	0.2
116	RICK	0.2
7	DLHC	0.21
117	QRTEA	0.21
86	NEXA	0.21
162	VCTR	0.22
189	CFMS	0.22
82	MTW	0.22
93	OPRA	0.22
94	OMP	0.23
142	STRO	0.23
152	TIGO	0.23
132	SBOW	0.24
159	AVYA	0.24
171	WOW	0.24
198	CONN	0.24
178	YTRA	0.24
101	ATUS	0.24
14	ESTE	0.24
15	ENPH	0.24
87	NTGR	0.25
49	AKRX	0.25
79	MLHR	0.25
137	SMLP	0.25
179	ZG	0.25
161	TUP	0.25
166	VNO	0.25
8	DO	0.26
28	FTCH	0.26
22	FI	0.26
160	BCEI	0.26
40	GTX	0.27
148	TGA	0.27
109	PRTY	0.27
191	CISN	0.28
43	HLX	0.28
102	ATNX	0.29
88	NTNX	0.29
29	FTAI	0.29
9	DISCA	0.3
149	TDS	0.3
71	LPTX	0.3
60	KOF	0.3
192	COG	0.31
35	GMS	0.31
199	CPE	0.31
150	SUPN	0.31
63	LAUR	0.31
172	WLL	0.32
143	STNG	0.32
51	IBN	0.32
154	TPRE	0.33
153	TILE	0.33
173	WPX	0.33
16	ERIC	0.33
89	NRG	0.34
200	CONE	0.34
52	HZO	0.34
36	GHL	0.35
186	CAAP	0.35
19	FBM	0.35
110	PS	0.35
125	RM	0.35
53	IRWD	0.36
174	WOR	0.36
95	OESX	0.36
3	DAC	0.36
201	CSTM	0.36
106	PNFP	0.37
103	APLS	0.37
56	JKS	0.37
133	SGMO	0.37
193	CNX	0.38
126	RRTS	0.38
127	RYI	0.38
111	PVAC	0.38
37	GLIBA	0.39
180	YMAB	0.39
163	VHI	0.39
72	MESA	0.39
151	TCF	0.39
155	TRIB	0.4
10	DOOR	0.4
83	MYOK	0.41
128	RLGT	0.41
184	BP	0.41
20	EXEL	0.41
129	RMNI	0.42
54	INVA	0.42
90	NMIH	0.42
175	XPER	0.42
73	MEET	0.43
202	CPAC	0.43
167	VRRM	0.43
23	FLDM	0.44
44	HIIQ	0.44
107	PFSI	0.44
112	PTR	0.44
41	GSL	0.44
84	NAVI	0.45
176	Y	0.45
64	LPG	0.45
24	FG	0.45
187	BRY	0.45
1	ADNT	0.45
57	JEF	0.45
65	LKQ	0.46
58	JBLU	0.46
118	RES	0.46
74	LTM	0.46
30	FSCT	0.46
11	ECPG	0.47
104	PENN	0.47
17	EQH	0.47
4	CVGI	0.48
195	CKH	0.48
194	CMLS	0.48
144	SUM	0.48
45	HOLI	0.48
80	MPAA	0.48
66	LCI	0.48
156	TLRD	0.48
138	SLM	0.48
119	RBBN	0.49
134	SEAC	0.49
18	ESI	0.49
145	SQBG	0.49
168	VST	0.49
177	XELB	0.5
130	RLGY	0.5
120	REVG	0.5
31	FTI	0.5
105	PCG	0.5
75	MCY	0.5
169	VSLR	0.5
135	SGMS	0.5
203	CSIQ	0.5
