	Code	PEG
677	CTG	1.01
354	PACW	1.01
25	DFIN	1.01
195	IRBT	1.01
432	SB	1.01
160	ALL	1.01
660	CNO	1.01
483	TBBK	1.01
59	EME	1.01
46	EBAY	1.02
0	AEM	1.02
467	SPAR	1.02
213	KEM	1.02
47	EFC	1.02
661	CNHI	1.03
26	CVU	1.03
522	AVID	1.03
295	NBLX	1.03
1	AEHR	1.03
140	HOFT	1.04
161	AIR	1.04
569	WCG	1.04
138	HPE	1.04
139	HEAR	1.04
79	FLIR	1.05
39	DISCK	1.05
80	FL	1.05
434	SBNY	1.05
226	LM	1.05
324	NX	1.05
433	SBBX	1.05
523	AVGO	1.05
484	SYX	1.06
268	MITK	1.06
485	SWI	1.06
141	HI	1.06
621	CAAS	1.06
311	NTIC	1.06
142	HIG	1.07
206	ITRI	1.07
269	MOD	1.07
417	ROG	1.07
162	AMRB	1.07
82	FHN	1.08
81	FNB	1.08
163	ALB	1.08
296	MYE	1.09
325	OPBK	1.09
371	PII	1.09
545	TZOO	1.09
297	MYL	1.09
2	AER	1.09
418	RUTH	1.1
405	RDN	1.1
111	GCO	1.1
662	CIEN	1.1
312	NKTR	1.1
248	MDC	1.1
622	BYD	1.1
227	LBTYA	1.1
386	PTC	1.11
486	TCBI	1.11
640	CECE	1.11
570	VRTS	1.11
143	HEES	1.11
355	PAA	1.11
123	GPK	1.12
214	JOUT	1.12
419	RYAAY	1.12
112	GHC	1.12
387	PRTA	1.12
48	DZSI	1.13
228	LDL	1.13
326	OFS	1.13
584	XRX	1.13
249	LXFR	1.13
546	UMC	1.13
663	CNOB	1.13
40	DLA	1.13
124	GRPN	1.13
3	AGCO	1.14
547	UMPQ	1.14
508	TLYS	1.14
509	TSC	1.14
215	KLIC	1.14
468	STMP	1.15
27	DECK	1.15
298	MTOR	1.15
585	WTFC	1.15
524	BCBP	1.15
678	CUBI	1.16
113	GEF	1.16
487	TBI	1.16
250	LUV	1.16
175	HUBG	1.16
144	HGV	1.16
196	IMO	1.16
83	FITB	1.16
216	KMX	1.16
450	SHLX	1.17
145	HMLP	1.17
114	GLRE	1.17
49	EBMT	1.17
164	ALTM	1.17
97	FSS	1.17
313	NOG	1.17
525	BDC	1.17
488	TDY	1.18
251	MBI	1.18
406	RBCAA	1.18
372	PFBC	1.18
679	CPLP	1.18
604	BLX	1.18
176	IBTX	1.19
388	PRU	1.19
641	CG	1.19
489	TCP	1.19
571	WD	1.19
84	FFBC	1.19
664	CNK	1.19
623	CAMT	1.2
344	AUDC	1.2
4	AEGN	1.2
642	CDAY	1.2
586	WLH	1.2
146	HCKT	1.2
469	SPXC	1.2
60	EPRT	1.2
125	GNTX	1.2
587	WLKP	1.21
345	ATI	1.21
197	INTT	1.21
451	SOGO	1.21
6	ACM	1.21
588	WUBA	1.21
229	LITE	1.21
470	STNE	1.21
5	ABM	1.21
327	OCFC	1.21
126	GSKY	1.21
217	KGC	1.21
127	GPRO	1.22
7	ADT	1.22
177	HTLF	1.22
389	QCRH	1.23
680	CSTE	1.23
270	MGPI	1.23
510	TTC	1.23
230	L	1.23
471	STRL	1.23
356	OSIS	1.24
572	VPG	1.24
85	FLWS	1.24
421	RNST	1.24
681	CSOD	1.24
407	RBA	1.24
420	SAFT	1.24
198	INWK	1.24
600	ZNGA	1.24
357	ORI	1.25
252	MAXR	1.25
624	BY	1.25
573	WAAS	1.25
199	IIIV	1.25
390	PRT	1.25
373	POST	1.25
218	KMPR	1.25
271	MODN	1.25
41	DLB	1.25
374	PJC	1.26
50	EIG	1.26
589	WSBC	1.26
548	UCTT	1.26
682	CSV	1.26
452	SNV	1.26
605	BPFH	1.27
435	SEDG	1.27
314	NOK	1.27
606	BOOT	1.28
219	KN	1.28
490	TCFC	1.28
165	AIT	1.28
69	FBIZ	1.28
574	WES	1.29
607	BKU	1.29
51	EBSB	1.29
147	HDB	1.29
436	SCVL	1.29
178	ICPT	1.29
166	ALKS	1.29
422	RP	1.29
148	HP	1.3
272	MIME	1.3
472	SSB	1.3
61	ETH	1.3
328	NWHM	1.31
511	TSN	1.31
346	ASIX	1.31
358	OSUR	1.31
491	SYNA	1.31
179	IBKC	1.31
8	AAP	1.31
253	MFNC	1.31
625	CBFV	1.32
180	ICBK	1.32
231	LL	1.32
42	DIOD	1.32
683	CTL	1.32
526	AVAV	1.32
453	SIVB	1.32
437	SHBI	1.32
115	GBLI	1.32
52	EFSC	1.33
232	LOW	1.33
601	ZAGG	1.33
181	HVT	1.33
233	LE	1.34
9	ADS	1.34
549	TXT	1.34
98	GATX	1.34
359	OXSQ	1.34
53	DY	1.34
254	MCK	1.34
492	SWKS	1.34
454	SMPL	1.34
455	SOL	1.34
438	SC	1.35
473	STBA	1.35
220	KLAC	1.35
408	RF	1.35
391	PRIM	1.35
456	SMMF	1.35
527	BCPC	1.35
10	ACGL	1.36
643	CBT	1.36
234	LBAI	1.36
235	LMT	1.36
28	DE	1.36
684	CSL	1.36
273	MRC	1.37
255	MFC	1.37
626	CATY	1.37
149	HSII	1.37
70	EWBC	1.37
11	ABR	1.37
86	FMBH	1.37
608	BHLB	1.37
71	FCN	1.37
236	LOCO	1.37
62	ENSG	1.37
116	GBDC	1.38
274	MN	1.38
457	SKX	1.38
182	HWC	1.38
256	MET	1.38
609	BJ	1.38
360	ORCL	1.38
409	RCL	1.38
329	NWPX	1.38
221	KBR	1.38
257	MATX	1.39
275	MGIC	1.39
410	RCKY	1.4
99	FORM	1.4
550	UMBF	1.4
551	UHAL	1.4
222	KRA	1.4
493	TCRD	1.4
12	ABCB	1.4
183	IBKR	1.4
411	RDWR	1.41
458	SHO	1.41
392	PRI	1.41
315	NSP	1.41
276	MS	1.41
277	MINI	1.41
150	HOPE	1.41
560	USCR	1.42
627	CAMP	1.42
439	SCS	1.42
459	SILC	1.42
347	ARES	1.42
72	FAST	1.42
54	EDU	1.42
207	ITUB	1.42
128	HCA	1.42
561	USFD	1.43
316	NGVT	1.43
423	SAIA	1.43
644	CFR	1.43
512	TMHC	1.43
73	FDEF	1.43
474	SRCE	1.43
393	PTCT	1.43
87	FISI	1.44
237	LEN	1.44
494	TBK	1.44
29	DGII	1.44
495	SYBT	1.44
151	HLT	1.44
258	LRCX	1.45
184	IBCP	1.45
628	CACI	1.45
645	CBZ	1.45
299	NBHC	1.46
562	VIAV	1.46
88	FISV	1.46
552	UNH	1.46
424	RTN	1.46
30	CVBF	1.46
440	SEE	1.46
475	STN	1.46
375	PFSW	1.46
665	CNXM	1.46
100	GARS	1.46
300	MSA	1.47
394	PRLB	1.47
152	HMSY	1.47
259	MCS	1.47
117	GHM	1.47
13	AES	1.48
185	ICUI	1.48
317	NR	1.48
496	TACO	1.48
361	PCOM	1.48
441	SHEN	1.49
442	SFST	1.49
118	GLAD	1.49
425	RUN	1.49
362	OSBC	1.49
238	LKFN	1.49
686	CPRT	1.5
685	CSFL	1.5
647	CCL	1.5
63	EQNR	1.5
646	CEVA	1.5
363	PBFX	1.5
666	CIVB	1.5
129	GPX	1.5
119	GLUU	1.5
575	WAL	1.5
278	MMS	1.5
514	TRV	1.5
513	TREX	1.5
200	ISBC	1.51
395	PRAH	1.51
201	IPHS	1.51
55	EEFT	1.51
330	OLED	1.51
64	ENS	1.51
186	IAC	1.52
223	KDP	1.52
188	HY	1.53
376	PQG	1.53
426	RPM	1.53
476	SPNS	1.53
301	NEM	1.53
56	ELP	1.53
348	ASGN	1.53
239	KSU	1.53
260	MCBC	1.53
460	SP	1.53
187	HZNP	1.53
576	WFC	1.53
577	VRTX	1.54
261	LRN	1.54
130	GPN	1.54
396	PRPL	1.54
349	APPS	1.54
443	SEM	1.54
31	DAN	1.54
515	THS	1.55
648	CCMP	1.55
302	MTH	1.55
101	FULT	1.55
461	SKYW	1.55
189	HUM	1.55
350	ARCO	1.55
14	ABC	1.55
279	MOFG	1.55
528	AUY	1.56
131	GOLD	1.56
412	RGA	1.56
120	GFN	1.56
280	MRCC	1.57
15	ACA	1.57
331	OKE	1.57
377	PLOW	1.57
578	VRNT	1.57
629	CARG	1.57
529	AXP	1.57
530	AYI	1.57
553	UA	1.58
281	MRCY	1.58
667	CMTL	1.58
304	MWA	1.59
413	RDY	1.59
303	MTRN	1.59
262	MBWM	1.59
630	BSRR	1.59
516	TRIP	1.59
332	NYMT	1.59
333	ONB	1.59
531	AZN	1.59
397	PRGS	1.59
190	IAG	1.59
334	NVR	1.6
563	VMC	1.6
191	IART	1.6
610	BLL	1.6
649	CCEP	1.6
532	BCML	1.6
668	CHTR	1.6
132	HBIO	1.6
57	ELMD	1.61
153	HMN	1.61
554	TTWO	1.61
590	WWD	1.61
497	SYNH	1.61
462	SNBR	1.61
463	SKT	1.61
533	BCO	1.61
398	PRFT	1.61
224	KBH	1.61
43	DKS	1.62
17	AA	1.62
16	ABMD	1.62
477	STRA	1.62
427	ROAD	1.62
378	PPBI	1.62
534	AZZ	1.62
74	EZPW	1.63
154	HOG	1.63
650	CDK	1.63
18	ACU	1.63
282	MRBK	1.63
379	PINC	1.63
202	IRCP	1.63
335	OC	1.63
336	OHI	1.64
399	PSMT	1.64
555	TTMI	1.64
400	PUB	1.64
364	ORLY	1.64
669	CMCSA	1.64
208	JACK	1.65
121	GBX	1.65
283	MNTX	1.65
535	AZO	1.65
155	HNI	1.65
365	PAM	1.65
75	FCF	1.65
90	FNF	1.65
89	FLT	1.65
444	SASR	1.65
91	FMBI	1.66
401	PSA	1.66
337	OPRX	1.66
284	MLM	1.66
167	AKAM	1.66
367	PB	1.66
366	PEBO	1.66
380	PFG	1.67
556	TTEK	1.67
611	BHC	1.67
102	FUL	1.67
464	SMSI	1.67
687	CRUS	1.67
103	G	1.68
536	AWI	1.68
428	RMBS	1.68
368	PAG	1.68
209	ITT	1.69
32	CVCY	1.69
33	DGICA	1.69
318	NFG	1.69
93	FIX	1.69
429	RXN	1.69
92	FLS	1.69
104	GABC	1.69
579	WEX	1.69
285	MPX	1.69
168	AMH	1.69
203	IQV	1.69
105	FWRD	1.69
76	FCCY	1.7
106	FSBW	1.7
34	DBX	1.7
478	STX	1.7
445	SEIC	1.7
210	JCOM	1.7
612	BOKF	1.7
369	PCYG	1.7
651	CBRE	1.71
670	CHUY	1.71
240	LNN	1.71
613	BKNG	1.71
498	TCX	1.71
631	BUD	1.71
414	QRVO	1.71
305	MSBI	1.72
446	SERV	1.72
614	BIIB	1.72
591	WMC	1.72
107	FSB	1.72
447	SAP	1.73
499	TAST	1.73
65	EPD	1.73
537	AXE	1.73
133	GRA	1.73
381	PFS	1.73
66	ERI	1.74
592	WIT	1.74
652	CCU	1.74
500	SXI	1.74
286	MLI	1.74
170	AMWD	1.75
632	CBD	1.75
169	AMSF	1.75
593	XRAY	1.75
287	MIDD	1.75
263	LZB	1.75
615	BPOP	1.75
35	CWK	1.75
156	HTBK	1.76
338	NXPI	1.76
108	FOXF	1.76
671	CMG	1.76
370	OXM	1.76
288	MNRO	1.77
319	NSIT	1.77
204	IRMD	1.77
19	ADBE	1.77
211	JELD	1.77
580	VSTO	1.77
538	BAC	1.77
581	WHF	1.77
517	THR	1.77
634	BX	1.78
633	CAG	1.78
212	ITGR	1.78
594	WIRE	1.78
264	MDRX	1.78
44	DORM	1.78
36	CVI	1.78
501	SYKE	1.78
502	TDC	1.79
109	FRGI	1.79
653	CDW	1.79
289	MRK	1.79
688	CRAI	1.79
306	MTRX	1.8
135	HAFC	1.8
689	CRMT	1.8
134	GSAT	1.8
402	PSEC	1.8
518	TRN	1.8
654	CHEF	1.8
241	LINC	1.8
37	CVGW	1.81
672	CMC	1.81
20	ABB	1.81
448	SBCF	1.81
136	GRC	1.81
351	APO	1.81
382	PLAB	1.81
565	VIVO	1.82
582	VSH	1.82
636	BVN	1.82
519	TSCO	1.82
557	UAA	1.82
503	TEL	1.82
520	TNC	1.82
635	CAKE	1.82
465	SMTC	1.82
564	VBTX	1.82
77	EVRI	1.82
595	WSO	1.83
596	WLTW	1.83
265	LQDT	1.83
583	WBT	1.83
690	CPF	1.83
266	MAS	1.83
479	SPSC	1.84
655	CHGG	1.84
242	LFVN	1.84
616	BMRC	1.84
558	TWNK	1.84
383	PKI	1.85
157	HRZN	1.85
94	FIBK	1.85
110	FRME	1.86
21	ADP	1.86
320	NTAP	1.86
430	RMD	1.86
566	VGR	1.86
539	AVY	1.86
137	GRFS	1.86
158	HRC	1.86
290	MPWR	1.86
656	CFG	1.87
159	HLI	1.87
243	LDOS	1.87
205	INTC	1.87
521	TRS	1.87
307	MXL	1.87
673	COF	1.87
321	NTB	1.87
540	BAK	1.88
504	SXC	1.88
597	WRI	1.88
637	BZH	1.88
617	BOH	1.89
244	LBC	1.89
602	YUM	1.89
291	MO	1.9
541	BANR	1.9
618	BMTC	1.9
559	UBSI	1.9
45	DOV	1.9
505	TER	1.9
431	RL	1.9
480	ST	1.9
691	COLB	1.9
415	REGN	1.91
67	EQBK	1.91
449	SAM	1.91
308	NCLH	1.91
352	AON	1.91
309	NCBS	1.91
353	ASB	1.91
542	BAH	1.91
506	TGT	1.91
657	CHCO	1.92
481	SU	1.92
619	BHE	1.92
322	NSC	1.92
598	WNEB	1.92
674	CMP	1.92
675	CMO	1.92
692	COLM	1.93
78	EXLS	1.93
245	LLY	1.93
340	NVS	1.93
68	ESE	1.93
466	SHW	1.93
22	ACRE	1.93
638	BRC	1.93
658	CEQP	1.93
339	OMCL	1.93
693	CTS	1.93
292	MG	1.94
171	AMAT	1.94
341	OLLI	1.94
403	PSXP	1.94
310	MYRG	1.94
694	CPRI	1.95
293	MRTN	1.95
567	USNA	1.95
482	STC	1.95
122	GBCI	1.95
384	PK	1.96
267	MCRI	1.96
507	TCBK	1.96
58	EBS	1.96
225	KRNT	1.96
404	PYPL	1.96
543	AVT	1.96
676	CLGX	1.96
23	AG	1.96
96	FN	1.97
192	HURN	1.97
95	FIVE	1.97
639	BSM	1.97
599	X	1.97
246	LHCG	1.97
172	AIRG	1.98
544	B	1.98
416	RECN	1.98
193	HUBB	1.98
385	POOL	1.98
568	VMW	1.98
620	BOCH	1.98
173	ALRM	1.99
174	AIN	1.99
38	CVX	1.99
194	HXL	1.99
247	LII	1.99
659	CBPX	1.99
24	AB	1.99
603	ZBRA	1.99
342	NXRT	1.99
294	MMSI	2.0
323	NEP	2.0
343	OCSL	2.0
