	Code	PEG
0	ACBI	2.01
479	NKE	2.01
903	WNS	2.01
53	DRI	2.01
449	MSI	2.02
623	PRA	2.02
678	SCHN	2.02
693	SNPS	2.02
229	HTGC	2.02
161	FRO	2.02
829	TTGT	2.02
141	FFWM	2.02
857	V	2.02
116	FELE	2.02
1024	CLAR	2.02
430	MGRC	2.02
534	ARMK	2.03
998	CERN	2.03
722	SQ	2.03
451	MTSC	2.03
746	TDG	2.03
799	BBY	2.03
1047	CSWI	2.03
450	NDSN	2.03
636	QTS	2.03
94	EPAM	2.04
305	IR	2.04
452	NDLS	2.04
694	SNA	2.04
71	DXCM	2.04
1048	CRL	2.04
637	RHP	2.04
879	VVI	2.04
230	HTBI	2.04
341	KMDA	2.05
142	FLIC	2.05
858	VMI	2.05
200	GSBC	2.05
1025	CNXN	2.05
800	AXTA	2.05
638	RGLD	2.05
970	BSMX	2.06
453	MSFT	2.06
695	SNY	2.06
696	SLF	2.06
257	AMGN	2.07
723	STL	2.07
258	ALSN	2.07
1049	CSX	2.07
564	PCTI	2.07
769	TRMK	2.07
830	UHS	2.08
947	BG	2.08
880	WELL	2.08
201	GWW	2.08
181	GLPI	2.08
117	EXPE	2.08
1050	CRCM	2.08
747	TD	2.08
480	NGS	2.08
289	ICLR	2.08
95	ENR	2.09
535	APD	2.09
231	HLNE	2.1
508	OMN	2.1
679	SBH	2.1
904	XAN	2.11
202	GTN	2.11
680	SFNC	2.11
859	UTX	2.11
697	SMG	2.11
881	WAFD	2.11
366	LH	2.12
831	UNP	2.12
591	PHM	2.13
143	FFNW	2.13
118	EXP	2.13
342	JPM	2.13
144	FMC	2.14
1051	CSCO	2.14
592	POL	2.14
182	GIL	2.16
393	MD	2.16
999	CHKP	2.16
28	DG	2.17
481	NHI	2.17
259	AMD	2.17
1026	CODI	2.17
162	GAIN	2.17
343	KEX	2.17
971	BSET	2.17
119	EVTC	2.17
509	NWBI	2.18
1052	COTY	2.18
801	AXAS	2.18
536	ATGE	2.19
1053	CRWS	2.19
905	WMB	2.19
698	SIGI	2.19
203	HBAN	2.19
232	HCCI	2.19
510	OFG	2.19
72	EAT	2.19
