	Code	PEG
3878	NVUS	0.01
5515	SPN	0.01
3328	MGNX	0.01
1489	GLNG	0.02
4790	QHC	0.02
3144	MCRB	0.02
1294	FOMX	0.02
4967	RYAM	0.02
1295	FPRX	0.02
4603	PRTK	0.03
3508	NBR	0.03
7049	BLUE	0.03
7050	BLRX	0.04
2968	LKSD	0.04
4056	APRN	0.05
2587	JCP	0.05
3329	MNTA	0.05
4057	ASRT	0.06
5332	SLCA	0.06
6787	XYF	0.07
1847	HHS	0.07
7233	CBIO	0.07
7417	CEPU	0.07
4058	ARAY	0.07
3145	LXRX	0.08
1490	GGAL	0.08
6058	AXNX	0.08
0	ADES	0.09
6606	VNDA	0.1
1296	FTSI	0.1
7603	CHU	0.1
737	ETRN	0.11
4059	AR	0.11
362	DNR	0.11
1670	GOL	0.12
5516	SRLP	0.12
5517	SUN	0.12
3879	ONDK	0.12
5147	SGRY	0.12
4791	REI	0.12
1491	GNMK	0.13
2032	AMAG	0.13
738	ERF	0.13
3330	MR	0.13
2213	HTZ	0.13
4968	RMAX	0.14
7051	BMA	0.14
1671	HBM	0.14
5693	TGP	0.14
363	DPLO	0.15
3146	MDWD	0.15
6607	VRCA	0.15
6059	AVP	0.16
4792	RE	0.16
7785	COOP	0.17
4060	ARLO	0.17
2033	AIG	0.17
5694	TEO	0.17
4969	S	0.18
4970	SAFM	0.18
179	CZR	0.18
1102	FLY	0.19
2034	AKCA	0.19
3147	MDP	0.19
7786	CURO	0.19
2969	LOPE	0.19
2781	KPTI	0.2
4793	RICK	0.2
3696	NMM	0.2
4794	QRTEA	0.21
364	DLHC	0.21
3697	NEXA	0.21
3880	OPRA	0.22
6422	VCTR	0.22
3509	MTW	0.22
7418	CFMS	0.22
5518	STRO	0.23
3881	OMP	0.23
5874	TIGO	0.23
6788	WOW	0.24
5148	SBOW	0.24
6974	YTRA	0.24
7787	CONN	0.24
4061	ATUS	0.24
6060	AVYA	0.24
740	ENPH	0.24
739	ESTE	0.24
3331	MLHR	0.25
2035	AKRX	0.25
3698	NTGR	0.25
6608	VNO	0.25
5333	SMLP	0.25
6240	TUP	0.25
6975	ZG	0.25
365	DO	0.26
6061	BCEI	0.26
1103	FI	0.26
1297	FTCH	0.26
4604	PRTY	0.27
1672	GTX	0.27
5695	TGA	0.27
1848	HLX	0.28
7604	CISN	0.28
3699	NTNX	0.29
4062	ATNX	0.29
1298	FTAI	0.29
366	DISCA	0.3
5696	TDS	0.3
3148	LPTX	0.3
2782	KOF	0.3
7605	COG	0.31
1492	GMS	0.31
7788	CPE	0.31
5697	SUPN	0.31
2970	LAUR	0.31
6789	WLL	0.32
2214	IBN	0.32
5519	STNG	0.32
5876	TPRE	0.33
5875	TILE	0.33
6790	WPX	0.33
741	ERIC	0.33
2215	HZO	0.34
7789	CONE	0.34
3700	NRG	0.34
4605	PS	0.35
4971	RM	0.35
1493	GHL	0.35
917	FBM	0.35
7234	CAAP	0.35
2406	IRWD	0.36
6791	WOR	0.36
3882	OESX	0.36
7790	CSTM	0.36
180	DAC	0.36
4413	PNFP	0.37
4063	APLS	0.37
5149	SGMO	0.37
2588	JKS	0.37
4606	PVAC	0.38
4972	RRTS	0.38
7606	CNX	0.38
4973	RYI	0.38
6976	YMAB	0.39
5698	TCF	0.39
3149	MESA	0.39
6423	VHI	0.39
1494	GLIBA	0.39
5877	TRIB	0.4
367	DOOR	0.4
918	EXEL	0.41
4974	RLGT	0.41
3510	MYOK	0.41
7052	BP	0.41
2407	INVA	0.42
4975	RMNI	0.42
6792	XPER	0.42
3701	NMIH	0.42
3150	MEET	0.43
6609	VRRM	0.43
7791	CPAC	0.43
4414	PFSI	0.44
4607	PTR	0.44
1104	FLDM	0.44
1673	GSL	0.44
1849	HIIQ	0.44
1	ADNT	0.45
1105	FG	0.45
7235	BRY	0.45
6793	Y	0.45
2589	JEF	0.45
3511	NAVI	0.45
2971	LPG	0.45
1299	FSCT	0.46
3151	LTM	0.46
2590	JBLU	0.46
4795	RES	0.46
2972	LKQ	0.46
4233	PENN	0.47
742	EQH	0.47
552	ECPG	0.47
2973	LCI	0.48
181	CVGI	0.48
5878	TLRD	0.48
3332	MPAA	0.48
5334	SLM	0.48
7607	CMLS	0.48
7608	CKH	0.48
1850	HOLI	0.48
5520	SUM	0.48
4796	RBBN	0.49
5150	SEAC	0.49
6610	VST	0.49
743	ESI	0.49
5521	SQBG	0.49
4234	PCG	0.5
6794	XELB	0.5
1300	FTI	0.5
4797	REVG	0.5
5151	SGMS	0.5
7792	CSIQ	0.5
3152	MCY	0.5
6611	VSLR	0.5
4976	RLGY	0.5
6241	UAL	0.51
7793	CRK	0.51
1851	HST	0.51
1301	FWONA	0.52
2408	IMAX	0.52
553	EGHT	0.52
4798	RCMT	0.52
2	AEL	0.53
5522	STM	0.53
1674	GPP	0.53
3512	MSGN	0.54
2036	ALK	0.54
7419	CHRS	0.54
7794	CPSS	0.55
7795	CRS	0.55
2038	ALGT	0.55
2039	ALLY	0.55
4064	ATH	0.55
1302	FWONK	0.55
2037	AM	0.55
3333	MRO	0.55
2783	KFRC	0.56
4065	ATRO	0.56
744	ET	0.57
4608	PRAA	0.57
4415	PLT	0.58
5699	TCPC	0.58
919	EXTR	0.58
6795	WNC	0.58
1675	GPMT	0.58
3883	ODP	0.58
5152	SAMG	0.59
920	EVC	0.59
4066	ARNC	0.59
6242	UIS	0.59
2216	IBP	0.59
1106	FLEX	0.59
3	AAL	0.6
182	CVE	0.6
7053	BHF	0.6
1676	GTLS	0.6
1303	FOCS	0.6
2784	KOP	0.6
7420	CF	0.6
3153	MCFT	0.6
4	AAWW	0.61
6612	VOYA	0.61
3884	OMF	0.61
5523	SRC	0.61
4067	AU	0.61
7236	BV	0.61
7237	CARS	0.62
2409	INCY	0.62
5335	SIBN	0.62
554	ELY	0.62
368	DLTH	0.62
5153	SEAS	0.62
5879	TPX	0.62
5700	TH	0.62
4416	PKOH	0.63
369	DVA	0.63
7609	CIB	0.63
7054	BOOM	0.63
4609	PTSI	0.63
4068	ASPS	0.63
4799	RH	0.63
7238	CACC	0.63
5880	THC	0.63
2040	ALXN	0.64
1107	FNHC	0.64
5524	SPWH	0.64
6062	AZUL	0.64
921	EXPR	0.65
4800	REDU	0.65
7421	CDE	0.65
2591	JAG	0.65
5	ABG	0.65
7796	COWN	0.66
6063	BCOR	0.66
555	ECA	0.66
4235	PE	0.66
5701	TCS	0.66
7239	CAL	0.67
2410	IONS	0.67
7797	CPTA	0.67
1852	HOME	0.67
3334	MHO	0.67
4236	PAAS	0.67
7610	CMCO	0.68
7055	BLD	0.68
2217	HTH	0.68
1853	HCI	0.68
4069	ASX	0.68
6064	BBD	0.68
6613	WBS	0.68
2041	AL	0.69
6065	AXS	0.69
1304	FSLR	0.69
2592	JCI	0.69
4610	PRCP	0.69
2593	JILL	0.69
4237	PCRX	0.69
6424	VAC	0.7
3154	MBUU	0.7
4801	RC	0.71
2042	AMBC	0.71
2786	KELYA	0.71
3513	NBIX	0.71
5702	SYF	0.71
370	DHI	0.71
183	DELL	0.71
3702	NNBR	0.71
2974	LGIH	0.71
4977	RYB	0.71
2785	KREF	0.71
184	DAL	0.72
1677	GTS	0.72
4611	PXD	0.72
1108	FMNB	0.72
7611	CO	0.72
7798	CPIX	0.73
3885	OPB	0.73
556	EHTH	0.73
5881	TITN	0.73
6243	UPLD	0.74
