	Code	PEG
172	RFP	-72.29
65	RAD	-10.63
182	RGNX	-8.15
105	RDFN	-4.75
7	QEP	-3.4
61	R	-3.34
69	RAMP	-3.23
149	REV	-1.46
104	RDCM	-1.29
94	RCKT	-1.28
51	QUOT	-1.19
197	RIG	-1.12
144	RESI	-0.65
129	REGI	-0.6
71	RARE	-0.35
50	QUMU	-0.34
67	RAIL	-0.23
114	RDUS	-0.21
49	QUIK	-0.18
123	REED	-0.1
193	RIBT	-0.09
198	RIGL	-0.07
181	RGLS	-0.02
13	QHC	0.02
132	REI	0.12
119	RE	0.16
194	RICK	0.2
31	QRTEA	0.21
143	RES	0.46
78	RBBN	0.49
150	REVG	0.5
98	RCMT	0.52
186	RH	0.63
121	REDU	0.65
88	RC	0.71
24	QNST	0.9
110	RDN	1.1
80	RBCAA	1.18
76	RBA	1.24
158	RF	1.35
96	RCL	1.38
95	RCKY	1.4
117	RDWR	1.41
175	RGA	1.56
118	RDY	1.59
33	QRVO	1.71
131	REGN	1.91
120	RECN	1.98
41	QTS	2.03
190	RHP	2.04
180	RGLD	2.05
79	RBC	2.29
97	RCM	2.35
75	RAVN	2.42
64	RACE	2.44
93	RCII	2.55
134	RELL	2.61
92	RCI	2.72
189	RHI	2.76
184	RGS	2.78
10	QGEN	3.05
0	QDEL	3.78
177	RGEN	3.79
47	QUAD	4.15
128	REG	4.29
21	QLYS	4.62
111	RDNT	6.12
153	REXR	12.55
46	QTWO	34.51
196	RIF	777.0
187	RHE	777.0
185	RGT	777.0
183	RGR	777.0
176	RGCO	777.0
101	RCS	777.0
102	RCUS	777.0
171	RFL	777.0
170	RFIL	777.0
106	RDHL	777.0
169	RFI	777.0
136	RELX	777.0
127	REFR	777.0
107	RDI	777.0
152	REX	777.0
148	RETO	777.0
108	RDIB	777.0
146	RETA	777.0
145	RESN	777.0
112	RDS.A	777.0
142	REPL	777.0
141	REPH	777.0
140	RENN	777.0
115	RDVT	777.0
135	RELV	777.0
157	REZI	777.0
99	RCON	777.0
28	QQQX	777.0
44	QTT	777.0
40	QTRX	777.0
39	QTRH	777.0
38	QTNT	777.0
9	QFIN	777.0
8	QES	777.0
62	RA	777.0
66	RADA	777.0
70	RAND	777.0
72	RARX	777.0
73	RAVE	777.0
34	QSR	777.0
91	RCG	777.0
77	RBB	777.0
89	RCA	777.0
87	RBZ	777.0
32	QRTEB	777.0
85	RBS	777.0
84	RBNC	777.0
30	QRHC	777.0
52	QURE	777.0
83	RBKB	777.0
81	RBCN	777.0
164	RFDI	888.0
22	QMN	888.0
163	RFDA	888.0
159	RF$A	888.0
162	RFCI	888.0
166	RFEU	888.0
167	RFFC	888.0
168	RFG	888.0
26	QQQ	888.0
25	QQEW	888.0
23	QMOM	888.0
165	RFEM	888.0
161	RFAP	888.0
90	RCD	888.0
174	RFV	888.0
1	QDF	888.0
2	QDIV	888.0
195	RIDV	888.0
3	QDYN	888.0
4	QED	888.0
192	RHT	888.0
191	RHS	888.0
5	QEFA	888.0
6	QEMM	888.0
173	RFUN	888.0
188	RHE$A	888.0
12	QGTA	888.0
14	QID	888.0
15	QINT	888.0
17	QLC	888.0
27	QQQE	888.0
178	RGI	888.0
18	QLD	888.0
19	QLS	888.0
20	QLTA	888.0
11	QGRO	888.0
179	RGLB	888.0
147	RETL	888.0
56	QVM	888.0
125	REET	888.0
124	REEM	888.0
57	QWLD	888.0
122	REDV	888.0
58	QXGG	888.0
59	QXTR	888.0
60	QYLD	888.0
63	RAAX	888.0
116	RDVY	888.0
68	RALS	888.0
113	RDS.B	888.0
109	RDIV	888.0
74	RAVI	888.0
82	RBIN	888.0
103	RDC	888.0
100	RCP	888.0
86	RBUS	888.0
126	REFA	888.0
156	REZ	888.0
199	RIGS	888.0
54	QVAL	888.0
35	QSY	888.0
36	QTEC	888.0
37	QTNA	888.0
55	QVCD	888.0
139	REMX	888.0
151	REW	888.0
138	REML	888.0
45	QTUM	888.0
48	QUAL	888.0
133	REK	888.0
53	QUS	888.0
130	REGL	888.0
137	REM	888.0
29	QQXT	888.0
160	RF$B	999.0
154	REXR$A	999.0
43	QTS$B	999.0
16	QIWI	999.0
42	QTS$A	999.0
155	REXR$B	999.0
