	Code	PEG	Current	Mean	Increase(%)
66	CVI	0.17	41.86	41.4	-1.1
157	AUO	0.34	3.69	3.3	-10.6
92	XYF	0.24	6.0	5.35	-10.8
30	KEG	0.1	4.32	3.65	-15.5
189	KBH	0.4	24.08	23.53	-2.3
106	GTX	0.27	15.2	14.8	-2.6
10	FRED	0.04	2.63	2.0	-24.0
219	CVIA	0.45	5.99	5.75	-4.0
242	NS	0.48	26.93	25.71	-4.5
25	JCP	0.08	1.52	1.45	-4.6
152	CQP	0.34	42.64	40.0	-6.2
9	NAO	0.04	2.57	1.0	-61.1
155	CFMS	0.34	2.76	2.5	-9.4
49	SUN	0.13	30.85	31.27	1.4
143	SSW	0.32	8.28	8.44	1.9
63	RE	0.16	215.48	237.7	10.3
260	DFS	0.5	70.58	77.95	10.4
248	MEOH	0.49	56.89	63.0	10.7
240	CVX	0.48	124.13	137.54	10.8
249	KRP	0.49	18.39	20.4	10.9
48	VICI	0.13	22.09	24.5	10.9
201	NNBR	0.43	7.74	15.57	101.2
16	FPRX	0.06	12.97	26.17	101.8
20	SGH	0.08	23.39	47.33	102.4
75	ATNX	0.19	12.8	25.93	102.6
5	MCRB	0.03	6.35	13.0	104.7
74	CURO	0.19	9.64	19.75	104.9
94	NMM	0.24	0.8165	1.71	109.4
135	WOR	0.31	35.56	39.5	11.1
193	BP	0.41	43.82	48.75	11.3
108	STM	0.27	15.93	17.73	11.3
134	FTSI	0.31	10.09	11.23	11.3
21	SFUN	0.08	1.25	2.63	110.4
127	VOYA	0.3	49.31	55.29	12.1
182	HCI	0.38	42.79	48.0	12.2
91	LILAK	0.24	19.3	21.67	12.3
161	KOF	0.35	65.17	73.4	12.6
167	GWPH	0.36	166.96	188.17	12.7
158	EDN	0.34	20.25	44.57	120.1
181	RRR	0.38	26.16	29.6	13.1
243	ABG	0.48	68.57	77.75	13.4
58	CSIQ	0.15	18.2	20.66	13.5
224	AMP	0.45	125.87	142.9	13.5
247	LYTS	0.49	2.54	5.88	131.5
54	VRCA	0.14	11.09	26.25	136.7
230	WERN	0.46	33.7	38.41	14.0
111	DO	0.27	10.4	11.91	14.5
191	FBP	0.4	11.1	12.75	14.9
0	HOS	0.01	1.39	3.43	146.8
7	NVUS	0.04	4.07	10.13	148.9
19	BLUE	0.07	152.81	175.89	15.1
153	BHGE	0.34	27.68	31.89	15.2
176	MCY	0.38	49.9	57.5	15.2
103	MLHR	0.26	35.07	40.5	15.5
38	SRLP	0.1	17.32	20.0	15.5
42	RMAX	0.11	37.84	43.79	15.7
206	BHF	0.43	35.99	41.69	15.8
184	SYF	0.39	31.77	36.89	16.1
67	TGP	0.17	14.86	17.29	16.4
81	AIG	0.21	43.05	50.2	16.6
146	HPR	0.33	2.39	6.26	161.9
214	IOVA	0.44	9.55	25.29	164.8
73	USX	0.18	6.46	17.2	166.3
53	HK	0.14	1.31	3.5	167.2
168	HP	0.36	55.63	65.38	17.5
172	MPLX	0.37	33.26	39.17	17.8
90	BMA	0.23	46.0	54.2	17.8
252	ENLC	0.5	12.32	14.54	18.0
149	DLHC	0.33	6.45	7.63	18.3
165	PNFP	0.35	54.4	64.35	18.3
151	TDS	0.34	31.7	37.6	18.6
14	KPTI	0.05	5.51	15.67	184.4
70	GEC	0.17	4.18	12.0	187.1
33	HHS	0.1	3.79	11.0	190.2
22	QHC	0.08	1.55	4.5	190.3
128	ASX	0.3	4.37	4.48	2.5
43	CBB	0.11	9.99	10.25	2.6
110	FLY	0.27	13.49	16.2	20.1
142	CMC	0.32	16.75	20.2	20.6
26	CBIO	0.09	8.4	25.38	202.1
227	AMX	0.46	14.61	17.73	21.4
129	FTAI	0.3	17.04	20.71	21.5
115	DOOR	0.27	49.97	60.8	21.7
11	BBU	0.04	37.25	45.4	21.9
122	LPLA	0.29	68.84	84.0	22.0
173	HFC	0.37	51.26	62.57	22.1
84	FG	0.21	7.98	9.75	22.2
259	UIHC	0.5	15.8	19.33	22.3
97	LCI	0.25	7.09	8.67	22.3
175	CISN	0.37	13.74	16.8	22.3
256	BAC	0.5	27.21	33.33	22.5
246	CVGI	0.48	7.755	9.5	22.5
253	TEX	0.5	31.74	38.94	22.7
24	GOL	0.08	14.18	17.4	22.7
93	ATUS	0.24	21.2	26.04	22.8
197	VLO	0.42	87.0	106.82	22.8
231	CPAC	0.46	10.0001	12.34	23.4
52	YRCW	0.14	6.8	8.4	23.5
162	RH	0.35	130.55	161.59	23.8
205	CKH	0.43	42.76	53.0	23.9
114	TGA	0.27	1.75	2.17	24.0
61	PES	0.15	1.91	2.37	24.1
117	ZEUS	0.28	16.21	20.13	24.2
178	NR	0.38	8.97	11.17	24.5
118	JAG	0.28	10.6	13.25	25.0
156	DISCA	0.34	27.64	34.65	25.4
71	WOW	0.17	9.41	11.81	25.5
188	OLN	0.4	23.25	29.31	26.1
98	MPO	0.25	10.29	13.0	26.3
102	EOG	0.26	94.77	119.78	26.4
174	ATRO	0.37	30.87	39.05	26.5
179	TPRE	0.38	10.51	13.33	26.8
250	CAR	0.49	34.0	43.13	26.9
64	AMAG	0.16	12.44	15.8	27.0
232	TPIC	0.46	28.72	36.63	27.5
239	AVYA	0.48	17.75	22.63	27.5
177	GM	0.38	36.87	47.14	27.9
131	MTOR	0.3	20.11	25.88	28.7
57	BFR	0.15	9.63	12.4	28.8
190	LBRT	0.4	14.68	18.91	28.8
119	OMF	0.29	31.58	40.69	28.8
192	PDCE	0.4	42.65	55.09	29.2
88	NINE	0.23	22.85	29.57	29.4
86	SOI	0.22	16.26	21.05	29.5
194	OMP	0.42	20.32	26.33	29.6
220	RLGY	0.45	11.79	15.32	29.9
196	FI	0.42	6.16	6.35	3.1
104	PNR	0.26	43.3	44.73	3.3
241	KFRC	0.48	34.42	35.67	3.6
46	VCTR	0.12	14.55	15.1	3.8
76	SQBG	0.19	1.15	1.5	30.4
62	LGCY	0.15	0.4993	2.0	300.6
6	PRTK	0.03	5.53	22.44	305.8
4	FOMX	0.02	3.79	15.5	309.0
261	NAVI	0.5	11.62	15.22	31.0
139	CF	0.31	39.73	52.17	31.3
258	EXEL	0.5	23.6	31.0	31.4
87	MTW	0.22	16.25	21.45	32.0
60	CZR	0.15	8.45	11.16	32.1
229	PTR	0.46	65.31	86.26	32.1
255	FLR	0.5	35.96	47.57	32.3
96	PBF	0.25	32.4	42.87	32.3
101	FBM	0.25	9.64	12.78	32.6
133	HLX	0.31	7.72	10.25	32.8
163	LKQ	0.35	28.32	37.83	33.6
32	VAPO	0.1	19.65	26.33	34.0
186	UNT	0.39	14.93	20.0	34.0
59	AVDL	0.15	1.49	2.0	34.2
137	HOV	0.31	0.5204	0.7	34.5
210	KRA	0.43	30.77	41.4	34.5
144	HTZ	0.33	17.0	22.88	34.6
226	KOP	0.46	25.26	34.0	34.6
141	BCEI	0.32	21.71	29.25	34.7
