	Code	PEG	Current	Mean	Increase
4	VRCA	0.14	11.09	26.25	136.7
3	EDN	0.34	20.25	44.57	120.1
2	ATNX	0.19	12.8	25.93	102.6
1	SGH	0.08	23.39	47.33	102.4
0	FPRX	0.06	12.97	26.17	101.8
22	MNTA	0.06	13.56	25.75	89.9
21	USAK	0.27	14.57	27.0	85.3
20	MGNX	0.02	19.94	35.0	75.5
19	RICK	0.24	22.04	38.0	72.4
18	FNHC	0.3	16.1	27.5	70.8
17	SUPN	0.44	34.21	58.38	70.7
16	IGT	0.35	13.01	21.94	68.6
15	CRZO	0.2	12.04	19.4	61.1
14	XPO	0.5	51.34	80.63	57.1
13	OEC	0.47	18.48	29.0	56.9
12	QRTEA	0.44	16.44	25.58	55.6
11	AL	0.25	33.45	52.0	55.5
10	FCAU	0.21	14.84	22.98	54.9
9	MPAA	0.5	18.85	29.0	53.8
8	ADES	0.09	11.74	18.0	53.3
7	ECPG	0.43	26.99	41.14	52.4
6	GLNG	0.04	21.64	32.97	52.4
5	CNX	0.42	10.35	15.6	50.7
