Symbol	,Name
BAX	,"999.0"
PFG	,"999.0"
MSFT	,"999.0"
MTD	,"999.0"
MU	,"999.0"
MXIM	,"999.0"
MYL	,"999.0"
OXY	,"999.0"
NBL	,"999.0"
NDAQ	,"999.0"
NVDA	,"999.0"
NVR	,"999.0"
NWL	,"999.0"
NWS	,"999.0"
NWSA	,"999.0"
NCLH	,"999.0"
PGR	,"999.0"
PSX	,"999.0"
QRVO	,"999.0"
PHM	,"999.0"
PNC	,"999.0"
PSA	,"999.0"
PYPL	,"999.0"
PVH	,"999.0"
PWR	,"999.0"
PXD	,"999.0"
RE	,"999.0"
QCOM	,"999.0"
RJF	,"999.0"
PH	,"999.0"
RHI	,"999.0"
RF	,"999.0"
REGN	,"999.0"
REG	,"999.0"
O	,"999.0"
ODFL	,"999.0"
OKE	,"999.0"
OMC	,"999.0"
LRCX	,"999.0"
MDLZ	,"999.0"
LMT	,"999.0"
MCK	,"999.0"
MCHP	,"999.0"
LYV	,"999.0"
VIAC	,"999.0"
VFC	,"999.0"
VAR	,"999.0"
DRI	,"999.0"
DOW	,"999.0"
DLTR	,"999.0"
CDW	,"999.0"
CCL	,"999.0"
CBOE	,"999.0"
IRM	,"999.0"
PKG	,"999.0"
HOG	,"999.0"
GIS	,"999.0"
ORCL	,"999.0"
ORLY	,"999.0"
RL	,"999.0"
PAYX	,"999.0"
PBCT	,"999.0"
PCAR	,"999.0"
PEAK	,"999.0"
PEG	,"999.0"
PEP	,"999.0"
PFE	,"999.0"
PG	,"999.0"
RMD	,"999.0"
HOLX	,"999.0"
HLT	,"999.0"
IEX	,"999.0"
GL	,"999.0"
DRE	,"999.0"
PKI	,"999.0"
PRU	,"999.0"
BMY	,"999.0"
BR	,"999.0"
BRK.B	,"999.0"
BSX	,"999.0"
BWA	,"999.0"
BEN	,"999.0"
BLL	,"999.0"
ATVI	,"999.0"
ARNC	,"999.0"
AAL	,"999.0"
ADM	,"999.0"
ADP	,"999.0"
ADS	,"999.0"
ADSK	,"999.0"
ANET	,"999.0"
BLK	,"999.0"
BKR	,"999.0"
BKNG	,"999.0"
BBY	,"999.0"
BDX	,"999.0"
C	,"999.0"
BA	,"999.0"
AZO	,"999.0"
AXP	,"999.0"
AWK	,"999.0"
AVY	,"999.0"
AVGO	,"999.0"
BAC	,"999.0"
BXP	,"999.0"
AVB	,"999.0"
BF.B	,"999.0"
BIIB	,"999.0"
BK	,"999.0"
AEE	,"999.0"
AEP	,"999.0"
AES	,"999.0"
AFL	,"999.0"
WHR	,"999.0"
XRAY	,"999.0"
XRX	,"999.0"
XYL	,"999.0"
YUM	,"999.0"
ZBH	,"999.0"
ZBRA	,"999.0"
WRB	,"999.0"
PRGO	,"999.0"
PPL	,"999.0"
PPG	,"999.0"
PNW	,"999.0"
PNR	,"999.0"
RCL	,"999.0"
PM	,"999.0"
ZION	,"999.0"
PLD	,"999.0"
CAH	,"999.0"
ARE	,"999.0"
AGN	,"999.0"
AIG	,"999.0"
AIV	,"999.0"
AIZ	,"999.0"
AJG	,"999.0"
ALK	,"999.0"
CAG	,"999.0"
ANSS	,"999.0"
ANTM	,"999.0"
AON	,"999.0"
AOS	,"999.0"
APA	,"999.0"
APD	,"999.0"
APH	,"999.0"
APTV	,"999.0"
ATO	,"999.0"
DOV	,"999.0"
