	Code	PEG
86	ADC	-45.14
172	AGNC	-36.45
183	AGRO	-32.82
189	AGYS	-4.13
4	AAC	-3.3
84	ADAP	-3.21
58	ACIA	-3.05
10	AAOI	-2.17
162	AGI	-1.46
91	ADM	-1.37
156	AGFS	-1.17
42	ACAD	-0.94
197	AHT	-0.72
120	AEHR	-0.41
56	ACHN	-0.29
67	ACOR	-0.14
94	ADMS	-0.1
70	ACRS	-0.01
130	AETI	0.0
131	AEY	0.0
132	AEYE	0.0
99	ADRD	0.0
134	AFB	0.0
135	AFC	0.0
137	AFGB	0.0
138	AFGE	0.0
139	AFGH	0.0
140	AFH	0.0
133	AEZS	0.0
128	AERI	0.0
116	AEF	0.0
119	AEH	0.0
92	ADMA	0.0
93	ADMP	0.0
96	ADOM	0.0
98	ADRA	0.0
198	AHT$D	0.0
100	ADRE	0.0
102	ADRU	0.0
109	ADVM	0.0
110	ADX	0.0
111	ADXS	0.0
112	AE	0.0
113	AEB	0.0
114	AED	0.0
141	AFHBL	0.0
117	AEG	0.0
124	AEMD	0.0
143	AFIF	0.0
149	AFTY	0.0
145	AFK	0.0
174	AGNCM	0.0
175	AGNCN	0.0
176	AGND	0.0
178	AGO$B	0.0
179	AGO$E	0.0
180	AGO$F	0.0
181	AGQ	0.0
173	AGNCB	0.0
184	AGRX	0.0
187	AGTC	0.0
190	AGZ	0.0
191	AGZD	0.0
192	AHC	0.0
194	AHL$C	0.0
195	AHL$D	0.0
196	AHPI	0.0
186	AGT	0.0
144	AFIN	0.0
170	AGMH	0.0
168	AGM$C	0.0
147	AFMD	0.0
148	AFT	0.0
150	AG	0.0
152	AGD	0.0
153	AGE	0.0
154	AGEN	0.0
155	AGF	0.0
169	AGM.A	0.0
157	AGFSW	0.0
159	AGGE	0.0
160	AGGP	0.0
161	AGGY	0.0
163	AGIO	0.0
164	AGLE	0.0
166	AGM$A	0.0
167	AGM$B	0.0
158	AGG	0.0
90	ADILW	0.0
199	AHT$F	0.0
48	ACER	0.0
8	AAME	0.0
60	ACIU	0.0
17	AAXJ	0.0
57	ACHV	0.0
54	ACH	0.0
53	ACGLP	0.0
52	ACGLO	0.0
50	ACET	0.0
49	ACES	0.0
89	ADIL	0.0
44	ACB	0.0
