	Code	PEG
512	HOS	0.01
2249	BRS	0.01
361	FOMX	0.02
1159	NVLN	0.02
976	MGNX	0.02
1398	PRTK	0.03
893	MCRB	0.03
1044	NAO	0.04
1865	BBU	0.04
362	FRED	0.04
1160	NVUS	0.04
407	GLNG	0.04
2374	CMLS	0.05
1866	BAS	0.05
772	KPTI	0.05
977	MNTA	0.06
363	FPRX	0.06
2192	BLUE	0.07
2191	BLRX	0.07
1501	RYI	0.07
1556	SFUN	0.08
1557	SGH	0.08
745	JCP	0.08
1445	QHC	0.08
453	GOL	0.08
1213	APRN	0.08
212	ERIC	0.09
2250	CBIO	0.09
1502	RMR	0.09
0	ADES	0.09
894	MDR	0.1
1214	ARAY	0.1
773	KEG	0.1
2436	CSTM	0.1
513	HHS	0.1
978	MGTX	0.1
408	GHL	0.1
1663	SRLP	0.1
1942	UPL	0.1
2010	VAPO	0.1
1867	AXNX	0.11
2251	CBB	0.11
1664	SPWR	0.11
1503	RMAX	0.11
125	DNR	0.11
213	ESV	0.12
2011	VCTR	0.12
2375	CHU	0.12
2314	CEPU	0.13
214	ERF	0.13
2012	VICI	0.13
1665	SUN	0.13
2169	YRCW	0.14
1161	ONDK	0.14
514	HK	0.14
454	HBM	0.14
2051	VRCA	0.14
1341	PES	0.15
825	LGCY	0.15
1868	AVDL	0.15
2193	BFR	0.15
2437	CSIQ	0.15
66	CZR	0.15
1446	RE	0.16
588	AMAG	0.16
67	CVI	0.17
1726	TGP	0.17
1215	ATI	0.17
1666	SPN	0.17
2108	WOW	0.17
1216	ARLO	0.17
409	GEC	0.17
2013	USX	0.18
2170	YTRA	0.18
2438	CURO	0.19
1217	ATNX	0.19
1667	SQBG	0.19
1045	NCS	0.19
410	GNMK	0.2
2439	CRZO	0.2
589	AIG	0.21
1218	ASRT	0.21
411	GMS	0.21
309	FG	0.21
261	FCAU	0.21
895	MESA	0.21
1046	MTW	0.22
1606	SOI	0.22
2440	CPE	0.23
1106	NINE	0.23
2194	BMA	0.23
1219	ATUS	0.24
2109	XYF	0.24
1107	NMM	0.24
826	LILAK	0.24
1447	RICK	0.24
590	AL	0.25
827	LCI	0.25
979	MPO	0.25
1281	PBF	0.25
1	AGS	0.25
262	FBM	0.25
215	EOG	0.26
980	MLHR	0.26
455	GVP	0.26
1342	PNR	0.26
310	FLY	0.27
1727	TGA	0.27
1668	STM	0.27
2315	CHRA	0.27
1794	THC	0.27
1108	NMIH	0.27
127	DOOR	0.27
126	DO	0.27
2014	USAK	0.27
591	AM	0.27
456	GTX	0.27
2171	ZEUS	0.28
746	JAG	0.28
216	ESTE	0.29
896	LPLA	0.29
1162	OMF	0.29
2441	COOP	0.29
1109	NRG	0.29
2110	WPX	0.29
2	AAL	0.29
981	MNK	0.3
2052	VOYA	0.3
311	FNHC	0.3
1220	ASX	0.3
364	FTAI	0.3
1795	TILE	0.3
1047	MTOR	0.3
2316	CF	0.31
2111	WOR	0.31
1869	AVH	0.31
365	FTSI	0.31
515	HLX	0.31
516	HOV	0.31
517	HRI	0.31
1669	SSW	0.32
1870	BCEI	0.32
1504	RM	0.32
2376	CMC	0.32
592	AKS	0.33
2442	CUI	0.33
660	HZO	0.33
2377	COG	0.33
128	DLHC	0.33
659	HTZ	0.33
518	HPR	0.33
2317	CFMS	0.34
163	EDN	0.34
1728	TDS	0.34
2195	BHGE	0.34
2444	CPSS	0.34
2443	CQP	0.34
1221	AUO	0.34
129	DISCA	0.34
704	IGT	0.35
1943	TWI	0.35
1448	RH	0.35
1344	PNFP	0.35
1343	PGTI	0.35
774	KOF	0.35
828	LKQ	0.35
897	LPTX	0.36
519	HP	0.36
1607	SLM	0.36
457	GWPH	0.36
1558	SAVE	0.36
1282	PE	0.36
520	HFC	0.37
2378	CISN	0.37
1222	ATRO	0.37
982	MPLX	0.37
1110	NR	0.38
2379	CLR	0.38
1796	TPRE	0.38
898	MCY	0.38
521	HCI	0.38
412	GM	0.38
1505	RRR	0.38
1729	SYF	0.39
1944	UNT	0.39
705	INVA	0.39
983	MOS	0.39
3	ADNT	0.39
1163	OLN	0.4
775	KBH	0.4
829	LBRT	0.4
263	FBP	0.4
1283	PDCE	0.4
2196	BP	0.41
1164	OMP	0.42
2112	WTW	0.42
1945	UFAB	0.42
2380	CNX	0.42
2015	VLO	0.42
312	FI	0.42
2445	CRK	0.42
2446	CONN	0.43
2381	CKH	0.43
1946	URI	0.43
164	ECPG	0.43
1111	NNBR	0.43
2197	BHF	0.43
776	KRA	0.43
777	KEM	0.43
1399	PXD	0.43
2252	CAT	0.43
1223	ATH	0.44
1165	NWHM	0.44
1400	PRTY	0.44
1449	QRTEA	0.44
2447	CTEK	0.44
706	IOVA	0.44
1730	SUPN	0.44
1559	SB	0.44
1797	TSQ	0.45
593	AMP	0.45
165	EGHT	0.45
68	CVIA	0.45
1506	RLGY	0.45
217	ET	0.45
594	AMX	0.46
778	KOP	0.46
1401	PTR	0.46
1798	TPIC	0.46
2448	CPAC	0.46
2053	WERN	0.46
413	GLOG	0.46
2382	CNXM	0.46
1166	OEC	0.47
69	CXO	0.47
1284	PCRX	0.47
2318	CELG	0.47
1450	REI	0.47
264	FANG	0.47
4	ABG	0.48
1112	NS	0.48
779	KFRC	0.48
70	CVX	0.48
1871	AVYA	0.48
71	CVGI	0.48
1560	SGMO	0.48
1451	QDEL	0.48
2253	CAR	0.49
780	KRP	0.49
900	LYTS	0.49
899	MEOH	0.49
2113	XPO	0.5
313	FLR	0.5
265	EXEL	0.5
2198	BNED	0.5
1872	BAC	0.5
72	DFS	0.5
1048	NAVI	0.5
218	ENLC	0.5
984	MPAA	0.5
1947	UIHC	0.5
1731	TEX	0.5
1224	APU	0.51
414	GIII	0.51
458	GPMT	0.51
1732	SXCP	0.51
1948	UAL	0.51
661	IEA	0.51
1873	AXS	0.52
2255	C	0.52
2319	CCOI	0.52
1507	RLGT	0.52
73	DCP	0.52
2254	CARB	0.52
1345	PFSW	0.53
130	DVN	0.53
2114	WIX	0.53
1452	REVG	0.53
2256	BRY	0.54
74	DAC	0.54
2115	X	0.54
2320	CFG	0.54
985	MNTX	0.54
522	HLTH	0.54
166	ELY	0.54
2449	COWN	0.54
131	DISCK	0.55
986	MGM	0.55
2321	CBS	0.55
1949	TUP	0.55
830	LGIH	0.55
314	FLEX	0.55
781	KNX	0.55
901	MDP	0.55
415	GGAL	0.55
523	HOFT	0.55
132	DHX	0.56
902	MDCA	0.56
1225	AOSL	0.56
2116	WUBA	0.56
1508	RUN	0.56
1346	PFIE	0.56
1113	NMRK	0.56
219	EPAY	0.56
1347	PKOH	0.57
2450	CPTA	0.57
903	MFIN	0.57
831	LEA	0.57
1670	STNG	0.57
315	FMC	0.57
987	MOMO	0.57
5	ADT	0.57
2054	WGO	0.57
1402	PVAC	0.58
1453	RC	0.58
2383	CNHI	0.58
988	MHO	0.58
1950	UCTT	0.58
2016	VAC	0.58
832	LAD	0.58
707	INTT	0.58
1561	SBOW	0.58
2117	WNC	0.58
904	MEET	0.59
1454	QTNA	0.59
1671	SPWH	0.59
989	MIK	0.59
1348	PPC	0.59
1799	TLRD	0.59
708	IMAX	0.59
2257	BV	0.59
1226	ASUR	0.59
133	DVA	0.6
595	AIZ	0.6
1227	ATTO	0.6
2322	CBPX	0.6
1228	ATKR	0.6
75	CVE	0.6
1509	RTN	0.61
1874	AZUL	0.61
1800	TRCO	0.61
709	IP	0.61
1510	RUBI	0.61
905	LUV	0.61
76	CVCO	0.61
990	MLNX	0.61
1285	PATK	0.61
2199	BLDR	0.61
1114	NGHC	0.61
2172	YETI	0.61
1403	PRCP	0.61
416	GEL	0.62
2118	WRK	0.62
1049	MT	0.62
220	ETFC	0.62
1608	SNX	0.63
2451	CRS	0.63
1801	TRIB	0.63
782	KELYA	0.63
1286	PCMI	0.63
2384	CMCO	0.63
596	ALGT	0.64
833	LDL	0.64
417	GG	0.64
1875	BBD	0.64
1511	RNR	0.64
316	FMNB	0.64
834	LNC	0.64
835	LPI	0.64
2323	CDEV	0.64
836	LL	0.65
2200	BGCP	0.65
1167	OAS	0.65
1733	TGH	0.65
747	JELD	0.65
2119	WLH	0.65
6	AAWW	0.65
2452	CREE	0.65
1287	PEGI	0.66
837	L	0.66
597	AIMC	0.66
1168	OPB	0.66
459	GNW	0.66
460	GSKY	0.66
2324	CCS	0.66
524	HIG	0.66
1512	RYAAY	0.67
1404	PZN	0.67
1050	NATI	0.67
525	HOLI	0.67
783	KREF	0.67
2201	BGSF	0.67
1802	THO	0.67
1803	TRTN	0.67
838	LCII	0.67
134	DKL	0.67
1609	SNP	0.68
1563	SGRY	0.68
2453	CRMT	0.68
748	JAZZ	0.68
1229	ARNA	0.68
1455	RCMT	0.68
1562	SEDG	0.68
1876	BCOR	0.68
1564	SCHW	0.68
2055	WBS	0.68
2120	XPER	0.68
1230	AUDC	0.68
1051	NBLX	0.68
1349	PJT	0.68
1350	PLT	0.68
77	DAL	0.69
1513	RYAM	0.69
2202	BLBD	0.69
1457	R	0.69
1456	RBBN	0.69
1115	NTNX	0.69
1804	THRM	0.69
167	EC	0.69
2121	WLK	0.7
2385	CIGI	0.7
1877	AVID	0.7
1610	SKYW	0.7
1351	PFSI	0.7
2455	CPLP	0.7
2454	CTG	0.7
2325	CBT	0.7
418	GLRE	0.7
2456	CTRL	0.7
2258	CAI	0.7
1169	NVEE	0.71
221	EQH	0.71
1734	TCS	0.71
