	Code	PEG
114	IEA	0.51
343	UAL	0.51
68	GIII	0.51
203	APU	0.51
78	GPMT	0.51
301	SXCP	0.51
392	CARB	0.52
330	AXS	0.52
393	C	0.52
255	RLGT	0.52
404	CCOI	0.52
12	DCP	0.52
369	WIX	0.53
222	PFSW	0.53
244	REVG	0.53
25	DVN	0.53
13	DAC	0.54
169	MNTX	0.54
370	X	0.54
405	CFG	0.54
422	COWN	0.54
394	BRY	0.54
86	HLTH	0.54
33	ELY	0.54
26	DISCK	0.55
344	TUP	0.55
69	GGAL	0.55
170	MGM	0.55
406	CBS	0.55
154	MDP	0.55
53	FLEX	0.55
143	LGIH	0.55
133	KNX	0.55
87	HOFT	0.55
188	NMRK	0.56
41	EPAY	0.56
204	AOSL	0.56
371	WUBA	0.56
155	MDCA	0.56
256	RUN	0.56
223	PFIE	0.56
27	DHX	0.56
294	STNG	0.57
0	ADT	0.57
359	WGO	0.57
54	FMC	0.57
171	MOMO	0.57
156	MFIN	0.57
144	LEA	0.57
423	CPTA	0.57
224	PKOH	0.57
233	PVAC	0.58
172	MHO	0.58
245	RC	0.58
145	LAD	0.58
271	SBOW	0.58
121	INTT	0.58
345	UCTT	0.58
414	CNHI	0.58
372	WNC	0.58
356	VAC	0.58
157	MEET	0.59
122	IMAX	0.59
295	SPWH	0.59
246	QTNA	0.59
312	TLRD	0.59
225	PPC	0.59
173	MIK	0.59
395	BV	0.59
205	ASUR	0.59
28	DVA	0.6
207	ATKR	0.6
99	AIZ	0.6
407	CBPX	0.6
206	ATTO	0.6
14	CVE	0.6
189	NGHC	0.61
380	YETI	0.61
174	MLNX	0.61
158	LUV	0.61
123	IP	0.61
384	BLDR	0.61
15	CVCO	0.61
258	RUBI	0.61
215	PATK	0.61
313	TRCO	0.61
234	PRCP	0.61
257	RTN	0.61
331	AZUL	0.61
373	WRK	0.62
180	MT	0.62
42	ETFC	0.62
70	GEL	0.62
314	TRIB	0.63
424	CRS	0.63
134	KELYA	0.63
415	CMCO	0.63
216	PCMI	0.63
281	SNX	0.63
71	GG	0.64
100	ALGT	0.64
408	CDEV	0.64
259	RNR	0.64
148	LPI	0.64
147	LNC	0.64
146	LDL	0.64
332	BBD	0.64
55	FMNB	0.64
128	JELD	0.65
1	AAWW	0.65
425	CREE	0.65
302	TGH	0.65
374	WLH	0.65
385	BGCP	0.65
196	OAS	0.65
149	LL	0.65
150	L	0.66
409	CCS	0.66
197	OPB	0.66
217	PEGI	0.66
80	GSKY	0.66
101	AIMC	0.66
79	GNW	0.66
88	HIG	0.66
316	TRTN	0.67
29	DKL	0.67
151	LCII	0.67
386	BGSF	0.67
260	RYAAY	0.67
181	NATI	0.67
89	HOLI	0.67
135	KREF	0.67
235	PZN	0.67
315	THO	0.67
226	PJT	0.68
272	SEDG	0.68
227	PLT	0.68
273	SGRY	0.68
360	WBS	0.68
182	NBLX	0.68
247	RCMT	0.68
426	CRMT	0.68
274	SCHW	0.68
129	JAZZ	0.68
209	AUDC	0.68
282	SNP	0.68
208	ARNA	0.68
333	BCOR	0.68
375	XPER	0.68
190	NTNX	0.69
261	RYAM	0.69
34	EC	0.69
317	THRM	0.69
248	RBBN	0.69
249	R	0.69
16	DAL	0.69
387	BLBD	0.69
429	CTRL	0.7
376	WLK	0.7
396	CAI	0.7
428	CPLP	0.7
283	SKYW	0.7
416	CIGI	0.7
72	GLRE	0.7
427	CTG	0.7
410	CBT	0.7
334	AVID	0.7
228	PFSI	0.7
43	EQH	0.71
430	CTRN	0.71
335	BC	0.71
198	NVEE	0.71
336	BECN	0.71
303	TCS	0.71
102	AMOT	0.71
318	TRV	0.71
417	CI	0.72
17	DAN	0.72
319	TS	0.72
136	KNL	0.72
137	KCAP	0.72
418	CO	0.72
397	BWB	0.72
124	IIVI	0.72
63	FTI	0.72
49	EVR	0.72
56	FIZZ	0.73
81	GPX	0.73
103	AMTD	0.73
320	TPX	0.73
50	EXPR	0.73
73	GBX	0.73
262	RYB	0.73
159	LTM	0.73
321	TIGO	0.73
175	MPC	0.74
18	DE	0.74
57	FLNT	0.74
263	SAFE	0.74
304	TACT	0.74
104	AMRX	0.74
346	UIS	0.74
250	RDC	0.75
