	Code	PEG
448	AOS	2.01
822	CAKE	2.01
662	TMO	2.01
286	KAMN	2.01
254	INFO	2.01
191	HELE	2.01
773	XAN	2.01
554	RSG	2.02
425	OLED	2.02
287	KNSL	2.02
87	EMR	2.02
774	WIT	2.02
775	WLL	2.02
169	GRUB	2.02
0	ACHC	2.03
127	FFIV	2.03
688	AVLR	2.03
360	MITT	2.03
305	LMNR	2.03
895	CRL	2.03
499	PPG	2.03
426	NUVA	2.04
845	CBSH	2.04
573	SFM	2.04
139	FTV	2.04
192	HNGR	2.04
274	ITGR	2.04
611	SQ	2.04
640	TESS	2.05
805	BLK	2.05
896	CSOD	2.05
1	AER	2.05
897	CRM	2.06
403	NHI	2.06
689	AZZ	2.06
592	SLF	2.06
193	HMST	2.06
219	ALLE	2.06
641	TGE	2.06
612	SRCL	2.06
306	LAKE	2.07
194	HOMB	2.07
738	VC	2.07
378	MTSC	2.07
128	FISV	2.08
823	BZH	2.08
449	ASV	2.08
361	MRVL	2.08
806	BMS	2.08
663	TPR	2.08
690	BANF	2.08
642	TD	2.08
170	GSBC	2.08
288	KAI	2.09
379	MYGN	2.09
555	ROST	2.09
25	DCI	2.09
241	IEX	2.09
427	NWSA	2.1
26	CXW	2.1
535	QTS	2.1
807	BIO	2.1
691	BEL	2.1
107	FDS	2.1
88	ENV	2.11
49	DLPH	2.11
521	PRGX	2.11
898	CULP	2.11
871	CIR	2.11
872	CLDT	2.12
846	CDE	2.12
472	PAA	2.12
522	PTVCB	2.13
752	WBT	2.13
664	TJX	2.13
713	TXRH	2.13
195	HFWA	2.13
27	DGII	2.13
714	TTEC	2.13
536	RECN	2.14
289	KAR	2.14
2	ADI	2.14
330	MAIN	2.14
556	RRGB	2.14
847	CENT	2.14
574	SBUX	2.14
404	NTGR	2.15
523	PRSP	2.15
380	NDSN	2.15
290	KMDA	2.16
171	GPRO	2.16
129	FICO	2.16
739	VLY	2.16
275	JCI	2.16
692	BAX	2.17
66	EGAN	2.17
381	MXL	2.17
575	SFNC	2.18
753	WAT	2.18
3	AFG	2.18
715	UFPI	2.18
643	SWM	2.18
255	IRBT	2.18
524	PRSC	2.18
50	DOX	2.18
331	LTS	2.19
848	CHRW	2.19
776	WM	2.2
256	ILMN	2.2
382	MSCI	2.2
362	MMC	2.2
108	EXPD	2.2
383	MTRX	2.21
257	IOSP	2.21
500	PQG	2.21
537	RCM	2.21
754	WELL	2.21
140	FSLR	2.21
873	CMG	2.22
67	ECL	2.22
307	LB	2.22
332	LXFT	2.22
576	SD	2.22
384	MYRG	2.22
808	BMI	2.22
824	BRKL	2.23
593	SMSI	2.23
809	BR	2.24
405	NOW	2.24
220	ALG	2.24
874	CNMD	2.24
899	COHR	2.24
665	TRMK	2.24
68	EFII	2.24
577	SBH	2.25
308	LLY	2.25
557	RPM	2.25
666	TRTX	2.26
406	NKE	2.26
875	CLGX	2.26
310	KWR	2.27
309	LAZ	2.27
172	HALL	2.27
4	ABMD	2.27
900	CTLT	2.27
311	LIVN	2.28
594	SMP	2.28
901	COTY	2.28
613	SUNS	2.29
501	PLAB	2.29
428	NVO	2.29
644	SYK	2.29
141	FSV	2.29
450	ARD	2.29
902	CROX	2.3
716	UBS	2.3
130	FFNW	2.3
363	MFSF	2.3
825	BWXT	2.3
755	VNO	2.3
538	RCII	2.3
242	ICE	2.3
333	MDT	2.31
797	YMAB	2.31
876	CLUB	2.31
667	TRIP	2.31
89	ENIA	2.32
5	ABT	2.32
502	PPSI	2.33
578	SBAC	2.33
407	NFBK	2.33
28	DGX	2.33
385	MX	2.33
429	NWBI	2.33
473	PCTY	2.33
258	IPG	2.33
173	GTES	2.33
614	SPLK	2.34
539	RHI	2.34
903	CP	2.34
668	THS	2.34
196	HCSG	2.34
849	CCBG	2.35
904	CTBI	2.35
29	CWCO	2.35
826	BSM	2.35
364	MKSI	2.35
334	LW	2.35
6	AGR	2.36
69	ELAN	2.37
595	SLRC	2.37
30	CW	2.38
905	COHU	2.38
596	SLP	2.39
503	PGRE	2.39
850	CBU	2.39
221	ALGN	2.39
222	AME	2.39
31	DDS	2.4
197	HL	2.4
70	EGOV	2.4
504	PKE	2.41
851	CERN	2.41
777	WTS	2.42
312	LIN	2.42
175	HCAP	2.42
174	GPS	2.42
645	SVM	2.42
51	DLTR	2.42
452	ARGO	2.43
451	ARWR	2.43
291	JNJ	2.43
827	BRKR	2.43
198	HOLX	2.44
505	PFE	2.45
223	ANIK	2.45
335	MDU	2.45
386	MTD	2.45
906	COO	2.46
313	LOGM	2.46
52	DSGX	2.46
474	OSUR	2.46
615	SPGI	2.46
828	BXS	2.46
224	AIRG	2.47
430	NVS	2.47
336	MANT	2.48
616	STFC	2.48
7	A	2.48
243	HUBS	2.49
71	EA	2.49
756	WASH	2.49
408	NGS	2.5
200	HSY	2.5
199	HPQ	2.5
798	ZS	2.51
810	BNS	2.51
244	IDXX	2.51
852	CDNS	2.51
387	MTLS	2.52
558	RMD	2.52
907	CSGP	2.52
506	PM	2.52
597	SNPS	2.53
109	FBNC	2.53
90	ENR	2.54
142	FORR	2.54
646	TDG	2.54
388	NAVG	2.54
559	ROLL	2.55
717	UGI	2.55
389	NCR	2.55
259	INT	2.55
617	STZ	2.55
475	OTTR	2.55
131	FFIN	2.56
540	QGEN	2.57
618	SRE	2.58
718	TV	2.58
476	ORA	2.58
829	BTG	2.58
619	STE	2.59
669	TSM	2.59
647	SWCH	2.59
260	ISCA	2.59
757	WEN	2.59
431	ON	2.6
337	LPX	2.61
156	GDI	2.62
477	PCAR	2.62
276	IT	2.62
262	INFY	2.63
261	INTU	2.63
670	TRST	2.63
338	MANH	2.63
720	ULTI	2.65
719	UNIT	2.65
830	BUD	2.65
409	NGL	2.65
8	ACN	2.65
721	TXN	2.66
410	NSA	2.66
831	CBD	2.66
201	HE	2.68
225	AMN	2.68
453	ATGE	2.68
598	SMPL	2.69
245	IFF	2.69
32	DATA	2.69
9	AAON	2.69
157	GMED	2.7
811	BIIB	2.7
390	MTH	2.7
478	PAYC	2.7
877	CME	2.7
599	SMED	2.72
143	FOX	2.72
541	RCI	2.72
560	RY	2.72
812	BKCC	2.73
693	BFAM	2.73
110	EVTC	2.73
411	NRC	2.74
176	GOOS	2.74
292	KIRK	2.74
671	TRHC	2.74
111	FDP	2.76
878	CLS	2.76
365	MMM	2.76
672	TRMB	2.76
366	MMP	2.76
908	COST	2.76
112	EXPO	2.76
758	WBC	2.77
226	AMT	2.77
91	EQM	2.77
722	ULH	2.78
694	BBDC	2.79
293	KALU	2.79
542	RELL	2.79
72	EHC	2.79
454	ATVI	2.8
620	SPG	2.81
203	HPT	2.81
202	HIBB	2.81
525	PRMW	2.81
144	FSK	2.81
92	EV	2.81
145	FUN	2.82
648	TDC	2.82
695	AXAS	2.82
696	AY	2.83
879	CMO	2.83
277	JILL	2.84
853	CGNX	2.84
526	PSTG	2.84
10	AEE	2.84
455	APPS	2.84
339	LRN	2.84
543	RGEN	2.85
73	EIX	2.85
579	SALM	2.85
367	MIC	2.85
53	DSX	2.85
432	NYT	2.86
391	NBTB	2.86
158	GIS	2.86
314	LNT	2.86
433	NXGN	2.87
204	HEI	2.88
854	CHE	2.89
456	ASH	2.89
621	SQM	2.89
600	SIX	2.89
759	VRSK	2.9
340	MDSO	2.9
880	CNDT	2.9
697	BBT	2.9
368	MKC	2.91
740	VMW	2.91
227	AMNB	2.91
11	ADSW	2.91
228	AINV	2.92
74	EBF	2.93
741	UVSP	2.94
479	PAYX	2.94
75	EL	2.94
581	SBRA	2.94
434	OPRX	2.94
760	WCN	2.94
601	SON	2.94
580	SCHL	2.94
12	ACIW	2.95
855	CHKP	2.95
369	MPW	2.97
673	TRI	2.97
544	QUOT	2.97
412	NOV	2.98
856	CHD	2.98
480	PAC	2.98
113	EYE	2.99
742	USPH	3.0
813	BGS	3.0
814	BMO	3.0
909	COLM	3.01
315	LMAT	3.02
159	GHDX	3.03
177	HAE	3.03
316	LBTYA	3.03
857	CHGG	3.03
370	MMI	3.03
561	SABR	3.05
881	CHSP	3.05
114	EW	3.05
76	EHTH	3.05
392	NEE	3.05
13	ABB	3.06
458	ATR	3.07
562	RLI	3.07
457	ARCB	3.07
93	ERIE	3.07
54	DIN	3.07
723	TVPT	3.08
582	SFIX	3.08
832	BRKS	3.09
545	RHT	3.1
778	WWW	3.11
622	STC	3.11
779	WMB	3.11
94	EQIX	3.12
178	GOLF	3.13
115	FCBC	3.14
229	ALRM	3.14
761	WETF	3.14
833	BREW	3.15
882	CNI	3.15
116	EVRG	3.16
858	CCRN	3.16
910	COR	3.17
602	SIRI	3.18
698	AVP	3.18
481	PEG	3.18
859	CHH	3.19
160	GGG	3.2
883	CMS	3.21
146	FOXA	3.21
911	CRY	3.21
246	ICD	3.22
563	RNG	3.22
33	D	3.23
14	ABEV	3.23
649	TER	3.24
459	APH	3.26
317	LEG	3.26
780	XEL	3.26
263	INGN	3.26
413	NEWT	3.27
650	TBNK	3.27
205	HSIC	3.27
161	GIB	3.27
564	SAIC	3.27
724	UBA	3.28
781	XRAY	3.28
460	ARCC	3.29
264	IPAR	3.29
583	SERV	3.3
414	NNN	3.3
782	WRI	3.3
603	SKT	3.31
95	EPR	3.31
341	MDLZ	3.33
884	CNP	3.35
278	JBT	3.35
179	GT	3.36
674	TSN	3.37
117	FDUS	3.38
34	CUTR	3.39
546	RGS	3.39
651	SWX	3.39
507	PLUS	3.4
725	TTD	3.4
415	NLSN	3.41
885	CLW	3.42
371	MKTX	3.42
318	LE	3.42
55	DNKN	3.43
623	SPSC	3.43
118	EXFO	3.43
342	MCD	3.44
527	PRK	3.44
584	SAM	3.44
482	ORN	3.45
279	JKHY	3.46
461	APO	3.47
416	NTN	3.47
119	EVOP	3.48
799	ZBH	3.48
96	ES	3.49
508	PLYA	3.52
132	FLL	3.52
783	WU	3.54
699	AWK	3.54
435	OFIX	3.54
343	MAN	3.55
834	CAE	3.55
35	CVLT	3.56
206	HIVE	3.57
860	CFFN	3.59
15	AEP	3.6
483	PAHC	3.6
372	MHK	3.6
675	TREC	3.61
319	LASR	3.62
676	TKR	3.62
320	LMRK	3.63
344	MASI	3.64
162	GNK	3.64
743	VEEV	3.64
207	HIMX	3.65
762	WDAY	3.67
462	APPF	3.67
294	JYNT	3.69
321	LION	3.69
208	HES	3.7
835	CACI	3.7
624	SSD	3.7
700	AVA	3.71
265	INOV	3.71
484	PBFX	3.71
509	PG	3.71
463	ATO	3.72
726	UFI	3.73
510	PPL	3.75
77	ELP	3.77
744	USAP	3.77
836	BX	3.78
36	DBX	3.78
485	PDFS	3.79
230	AMSWA	3.8
323	LMNX	3.81
78	ELS	3.81
322	KTOS	3.81
861	CCI	3.81
180	GRMN	3.81
837	BSIG	3.83
231	ALE	3.85
181	GRBK	3.87
727	TYL	3.87
763	WDFC	3.87
393	NDLS	3.88
886	CM	3.88
604	SJM	3.88
728	UNVR	3.9
16	ACC	3.9
887	CNS	3.91
17	AA	3.91
436	NVDA	3.92
677	TRP	3.94
37	CWT	3.94
729	UFCS	3.95
97	ERI	3.95
745	VET	3.96
437	OMCL	3.97
464	ASR	3.97
133	FLO	3.97
394	MUSA	3.98
134	FLWS	3.98
652	TECH	3.99
209	HON	4.0
56	DHR	4.0
79	ELLI	4.02
147	FULT	4.03
585	SCL	4.03
57	DUK	4.04
345	LXP	4.05
838	CARS	4.06
417	NI	4.07
18	ADRO	4.07
784	WST	4.07
98	ESI	4.07
653	SWIR	4.08
746	VAR	4.08
182	GPC	4.09
80	EGRX	4.1
232	ANIP	4.1
148	FR	4.11
785	WYND	4.11
295	KO	4.12
373	MMSI	4.13
346	LVS	4.13
418	NJR	4.14
280	IVZ	4.14
764	VSI	4.15
511	POWI	4.15
912	CPK	4.19
347	MFA	4.21
183	GWRE	4.21
419	NNA	4.24
38	CYD	4.24
786	WLKP	4.25
281	ITW	4.26
787	XRX	4.27
39	DAKT	4.28
