	Code	PEG
114	HMI	-57.26
102	HLF	-35.72
9	HCLP	-18.15
167	HROW	-3.09
39	HEP	-3.02
113	HMHC	-2.57
187	HT	-1.78
24	HDSN	-1.76
179	HSII	-1.38
170	HRTX	-1.26
150	HPE	-1.24
5	HCFT	-0.65
29	HEB	-0.03
129	HNP	0.0
112	HMG	0.0
128	HNNA	0.0
125	HNDL	0.0
122	HMTA	0.0
123	HMTV	0.0
116	HMLP$A	0.0
118	HMNF	0.0
119	HMOP	0.0
124	HMY	0.0
0	HCCH	0.0
106	HLM$	0.0
103	HLG	0.0
101	HL$B	0.0
97	HJV	0.0
96	HJPX	0.0
95	HJLIW	0.0
94	HJLI	0.0
93	HIX	0.0
90	HIPS	0.0
89	HIO	0.0
87	HILO	0.0
86	HIL	0.0
83	HIHO	0.0
82	HIG.W	0.0
81	HIG$G	0.0
111	HMC	0.0
130	HNRG	0.0
142	HONE	0.0
134	HOLD	0.0
197	HTFA	0.0
196	HTD	0.0
195	HTBX	0.0
192	HTAB	0.0
191	HTA	0.0
190	HT$E	0.0
189	HT$D	0.0
188	HT$C	0.0
183	HSRT	0.0
182	HSPX	0.0
181	HSON	0.0
177	HSGX	0.0
176	HSDT	0.0
175	HSCZ	0.0
173	HSBC$A	0.0
172	HSBC	0.0
169	HRTG	0.0
160	HQL	0.0
159	HQH	0.0
157	HPS	0.0
153	HPJ	0.0
152	HPI	0.0
151	HPF	0.0
148	HOVNP	0.0
146	HOTH	0.0
143	HONR	0.0
79	HIFS	0.0
140	HOMZ	0.0
139	HOML	0.0
131	HNW	0.0
77	HIE	0.0
99	HK.W	0.0
199	HTGM	0.0
35	HEFA	0.0
14	HCXZ	0.0
16	HDAW	0.0
56	HFBL	0.0
18	HDEF	0.0
37	HEI.A	0.0
55	HFBC	0.0
53	HEZU	0.0
52	HEXO	0.0
27	HE$U	0.0
44	HEWG	0.0
51	HEWY	0.0
50	HEWW	0.0
49	HEWU	0.0
22	HDMV	0.0
21	HDLV	0.0
48	HEWP	0.0
47	HEWL	0.0
46	HEWJ	0.0
45	HEWI	0.0
19	HDG	0.0
20	HDGE	0.0
40	HEQ	0.0
59	HFGIC	0.0
58	HFFG	0.0
6	HCHC	0.0
1	HCCHR	0.0
73	HHHHW	0.0
2	HCCHU	0.0
72	HHHHU	0.0
25	HDV	0.0
71	HHHHR	0.0
70	HHHH	0.0
30	HEBT	0.0
3	HCCHW	0.0
31	HECO	0.0
32	HEDJ	0.0
67	HGSH	0.0
13	HCXY	0.0
43	HEWC	0.0
65	HGH	0.0
33	HEEM	0.0
64	HFXJ	0.0
63	HFXI	0.0
62	HFXE	0.0
10	HCM	0.0
60	HFRO	0.0
66	HGLB	0.0
145	HOS	0.01
74	HHS	0.1
98	HK	0.14
110	HLX	0.31
147	HOV	0.31
165	HRI	0.31
156	HPR	0.33
149	HP	0.36
57	HFC	0.37
7	HCI	0.38
109	HLTH	0.54
132	HOFT	0.55
80	HIG	0.66
135	HOLI	0.67
174	HSC	0.79
28	HEAR	0.79
68	HGV	0.79
184	HST	0.81
115	HMLP	0.92
23	HDS	0.93
42	HESM	0.94
85	HIIQ	0.95
8	HCKT	1.0
69	HHC	1.03
168	HRS	1.16
54	HF	1.18
138	HOME	1.19
34	HEES	1.2
144	HOPE	1.23
108	HLT	1.25
163	HRB	1.25
117	HMN	1.28
121	HMSY	1.35
75	HI	1.36
104	HLI	1.38
133	HOG	1.39
17	HDB	1.45
4	HCCI	1.46
107	HLNE	1.48
84	HII	1.57
194	HTBK	1.57
127	HNI	1.57
15	HD	1.62
105	HLIT	1.62
164	HRC	1.81
198	HTGC	1.86
171	HRZN	1.91
193	HTBI	2.0
38	HELE	2.01
126	HNGR	2.04
120	HMST	2.06
137	HOMB	2.07
61	HFWA	2.13
12	HCSG	2.34
100	HL	2.4
136	HOLX	2.44
155	HPQ	2.5
186	HSY	2.5
26	HE	2.68
76	HIBB	2.81
158	HPT	2.81
36	HEI	2.88
178	HSIC	3.27
91	HIVE	3.57
88	HIMX	3.65
41	HES	3.7
141	HON	4.0
92	HIW	4.35
166	HRL	4.69
161	HQY	5.24
185	HSTM	6.12
154	HPP	8.99
162	HR	12.12
11	HCP	20.9
78	HIFR	235.29
180	HSKA	328.84
