	Code	PEG
99	ADRD	0.0
127	AER	0.0
128	AERI	0.0
129	AES	0.0
130	AETI	0.0
131	AEY	0.0
132	AEYE	0.0
133	AEZS	0.0
134	AFB	0.0
135	AFC	0.0
136	AFG	0.0
137	AFGB	0.0
138	AFGE	0.0
139	AFGH	0.0
140	AFH	0.0
141	AFHBL	0.0
142	AFI	0.0
143	AFIF	0.0
144	AFIN	0.0
145	AFK	0.0
146	AFL	0.0
147	AFMD	0.0
126	AEP	0.0
148	AFT	0.0
125	AEO	0.0
123	AEM	0.0
102	ADRU	0.0
103	ADS	0.0
104	ADSK	0.0
105	ADSW	0.0
106	ADT	0.0
107	ADTN	0.0
108	ADUS	0.0
109	ADVM	0.0
110	ADX	0.0
111	ADXS	0.0
112	AE	0.0
113	AEB	0.0
114	AED	0.0
115	AEE	0.0
116	AEF	0.0
117	AEG	0.0
118	AEGN	0.0
119	AEH	0.0
120	AEHR	0.0
121	AEIS	0.0
122	AEL	0.0
124	AEMD	0.0
101	ADRO	0.0
149	AFTY	0.0
151	AGCO	0.0
177	AGO	0.0
178	AGO$B	0.0
179	AGO$E	0.0
180	AGO$F	0.0
181	AGQ	0.0
182	AGR	0.0
183	AGRO	0.0
184	AGRX	0.0
185	AGS	0.0
186	AGT	0.0
187	AGTC	0.0
188	AGX	0.0
189	AGYS	0.0
190	AGZ	0.0
191	AGZD	0.0
192	AHC	0.0
193	AHH	0.0
194	AHL$C	0.0
195	AHL$D	0.0
196	AHPI	0.0
197	AHT	0.0
176	AGND	0.0
150	AG	0.0
175	AGNCN	0.0
173	AGNCB	0.0
152	AGD	0.0
153	AGE	0.0
154	AGEN	0.0
155	AGF	0.0
156	AGFS	0.0
157	AGFSW	0.0
158	AGG	0.0
159	AGGE	0.0
160	AGGP	0.0
161	AGGY	0.0
162	AGI	0.0
163	AGIO	0.0
164	AGLE	0.0
165	AGM	0.0
166	AGM$A	0.0
167	AGM$B	0.0
168	AGM$C	0.0
169	AGM.A	0.0
170	AGMH	0.0
171	AGN	0.0
172	AGNC	0.0
174	AGNCM	0.0
100	ADRE	0.0
199	AHT$F	0.0
98	ADRA	0.0
27	ABEV	0.0
28	ABG	0.0
29	ABIL	0.0
30	ABIO	0.0
31	ABM	0.0
32	ABMD	0.0
33	ABR	0.0
34	ABR$A	0.0
35	ABR$B	0.0
36	ABR$C	0.0
37	ABT	0.0
38	ABTX	0.0
39	ABUS	0.0
40	AC	0.0
41	ACA	0.0
42	ACAD	0.0
43	ACAMU	0.0
44	ACB	0.0
45	ACBI	0.0
46	ACC	0.0
47	ACCO	0.0
26	ABEOW	0.0
48	ACER	0.0
25	ABEO	0.0
23	ABCB	0.0
2	AAAU	0.0
3	AABA	0.0
4	AAC	0.0
5	AADR	0.0
6	AAL	0.0
7	AAMC	0.0
8	AAME	0.0
9	AAN	0.0
10	AAOI	0.0
11	AAON	0.0
12	AAP	0.0
13	AAPL	0.0
14	AAT	0.0
15	AAU	0.0
16	AAWW	0.0
17	AAXJ	0.0
18	AAXN	0.0
19	AB	0.0
20	ABB	0.0
21	ABBV	0.0
22	ABC	0.0
24	ABDC	0.0
198	AHT$D	0.0
49	ACES	0.0
51	ACGL	0.0
77	ACU	0.0
78	ACV	0.0
79	ACWF	0.0
80	ACWI	0.0
81	ACWV	0.0
82	ACWX	0.0
83	ACY	0.0
84	ADAP	0.0
85	ADBE	0.0
86	ADC	0.0
87	ADES	0.0
88	ADI	0.0
89	ADIL	0.0
90	ADILW	0.0
91	ADM	0.0
92	ADMA	0.0
93	ADMP	0.0
94	ADMS	0.0
95	ADNT	0.0
96	ADOM	0.0
97	ADP	0.0
76	ACTG	0.0
50	ACET	0.0
75	ACT	0.0
73	ACSI	0.0
52	ACGLO	0.0
53	ACGLP	0.0
54	ACH	0.0
55	ACHC	0.0
56	ACHN	0.0
57	ACHV	0.0
58	ACIA	0.0
59	ACIM	0.0
60	ACIU	0.0
74	ACST	0.0
61	ACIW	0.0
63	ACM	0.0
64	ACMR	0.0
65	ACN	0.0
66	ACNB	0.0
67	ACOR	0.0
68	ACP	0.0
69	ACRE	0.0
70	ACRS	0.0
71	ACRX	0.0
72	ACSG	0.0
62	ACLS	0.0
0	A	2.48
1	AA	3.91
0	CUT	0.0
127	DDD	0.0
128	DDE	0.0
129	DDEZ	0.0
130	DDF	0.0
131	DDG	0.0
132	DDIV	0.0
133	DDJP	0.0
134	DDLS	0.0
135	DDM	0.0
136	DDMX	0.0
137	DDMXU	0.0
138	DDMXW	0.0
139	DDP	0.0
140	DDS	0.0
141	DDT	0.0
142	DDWM	0.0
143	DE	0.0
144	DEA	0.0
145	DECK	0.0
146	DEEF	0.0
147	DEF	0.0
126	DD$B	0.0
148	DEFA	0.0
125	DD$A	0.0
123	DCPH	0.0
102	DBJP	0.0
103	DBKO	0.0
104	DBL	0.0
105	DBLV	0.0
106	DBO	0.0
107	DBP	0.0
108	DBS	0.0
109	DBUK	0.0
110	DBV	0.0
111	DBVT	0.0
112	DBX	0.0
113	DCAR	0.0
114	DCF	0.0
115	DCHF	0.0
116	DCI	0.0
117	DCIX	0.0
118	DCO	0.0
119	DCOM	0.0
120	DCP	0.0
121	DCP$B	0.0
122	DCP$C	0.0
124	DCUD	0.0
101	DBGR	0.0
149	DEI	0.0
151	DEM	0.0
177	DFP	0.0
178	DFRG	0.0
179	DFS	0.0
180	DFVL	0.0
181	DFVS	0.0
182	DG	0.0
183	DGAZ	0.0
184	DGBP	0.0
185	DGICA	0.0
186	DGICB	0.0
187	DGII	0.0
188	DGL	0.0
189	DGLD	0.0
190	DGLY	0.0
191	DGP	0.0
192	DGRE	0.0
193	DGRO	0.0
194	DGRS	0.0
195	DGRW	0.0
196	DGS	0.0
197	DGSE	0.0
176	DFNL	0.0
150	DELL	0.0
175	DFND	0.0
173	DFIN	0.0
152	DEMG	0.0
153	DENN	0.0
154	DEO	0.0
155	DERM	0.0
156	DES	0.0
157	DESC	0.0
158	DESP	0.0
159	DEST	0.0
160	DEUR	0.0
161	DEUS	0.0
162	DEW	0.0
163	DEWJ	0.0
164	DEX	0.0
165	DEZU	0.0
166	DF	0.0
167	DFBH	0.0
168	DFBHU	0.0
169	DFBHW	0.0
170	DFE	0.0
171	DFEN	0.0
172	DFFN	0.0
174	DFJ	0.0
100	DBEZ	0.0
99	DBEU	0.0
98	DBEM	0.0
27	CWAI	0.0
28	CWB	0.0
29	CWBC	0.0
30	CWBR	0.0
31	CWCO	0.0
32	CWEB	0.0
33	CWEN	0.0
34	CWEN.A	0.0
35	CWH	0.0
36	CWI	0.0
37	CWK	0.0
38	CWS	0.0
39	CWST	0.0
40	CWT	0.0
41	CX	0.0
42	CXDC	0.0
43	CXE	0.0
44	CXH	0.0
45	CXO	0.0
46	CXP	0.0
47	CXSE	0.0
26	CW	0.0
48	CXW	0.0
25	CVY	0.0
23	CVV	0.0
2	CUZ	0.0
3	CVA	0.0
4	CVBF	0.0
5	CVCO	0.0
6	CVCY	0.0
7	CVE	0.0
8	CVEO	0.0
9	CVET	0.0
10	CVGI	0.0
11	CVGW	0.0
12	CVI	0.0
13	CVIA	0.0
14	CVLT	0.0
15	CVLY	0.0
16	CVM	0.0
17	CVNA	0.0
18	CVR	0.0
19	CVRS	0.0
20	CVS	0.0
21	CVTI	0.0
22	CVU	0.0
24	CVX	0.0
198	DGT	0.0
49	CY	0.0
51	CYAN	0.0
77	DAIO	0.0
78	DAKT	0.0
79	DAL	0.0
80	DALI	0.0
81	DALT	0.0
82	DAN	0.0
83	DAR	0.0
84	DARE	0.0
85	DATA	0.0
86	DAUD	0.0
87	DAVA	0.0
88	DAVE	0.0
89	DAX	0.0
90	DB	0.0
91	DBA	0.0
92	DBAW	0.0
93	DBB	0.0
94	DBC	0.0
95	DBD	0.0
96	DBE	0.0
97	DBEF	0.0
76	DAG	0.0
50	CYAD	0.0
75	DAC	0.0
73	CZZ	0.0
52	CYB	0.0
53	CYBE	0.0
54	CYBR	0.0
55	CYCC	0.0
56	CYCCP	0.0
57	CYCNV	0.0
58	CYD	0.0
59	CYH	0.0
60	CYOU	0.0
74	D	0.0
61	CYRN	0.0
63	CYRXW	0.0
64	CYTK	0.0
65	CYTR	0.0
66	CYTX	0.0
67	CYTXZ	0.0
68	CZA	0.0
69	CZFC	0.0
