Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
UA,Under Armour Inc Cl C,19.27,0.03,+0.16%,19.43,18.89,2711500,01/03/20
UAA,Under Armour,21.85,0.07,+0.32%,21.96,21.4,4596500,01/03/20
UAL,United Continental Holdings,87.9,-1.84,-2.05%,88.16,86.26,3562900,01/03/20
UDR,United Dominion Realty Trust,46.49,0.37,+0.80%,46.58,45.81,1434400,01/03/20
UHS,Universal Health Services,141.97,-0.34,-0.24%,142.17,140.1,262600,01/03/20
ULTA,Ulta Beauty Inc,250.17,-4.38,-1.72%,252.48,249.22,921500,01/03/20
UNH,Unitedhealth Group Inc,289.54,-2.96,-1.01%,291.88,284.36,2712000,01/03/20
UNM,Unumprovident Corp,29.06,-0.58,-1.96%,29.28,28.74,1862500,01/03/20
UNP,Union Pacific Corp,180.98,-1.29,-0.71%,181.19,178.29,2344100,01/03/20
UPS,United Parcel Service,116.72,-0.07,-0.06%,116.86,114.84,2477900,01/03/20
URI,United Rentals,165.71,-2.94,-1.74%,166.56,161.37,1088900,01/03/20
USB,U.S. Bancorp,58.51,-0.69,-1.17%,58.81,58.02,5161800,01/03/20
UTX,United Technologies Corp,153.35,0.21,+0.14%,154.65,150.51,3127600,01/03/20
V,Visa Inc,189.6,-1.52,-0.80%,190.96,187.92,4900800,01/03/20
VAR,Varian Medical Systems,144.93,0.12,+0.08%,145.04,142.38,682300,01/03/20
VFC,V.F. Corp,99.6,-0.63,-0.63%,99.93,98.76,1966200,01/03/20
VIAC,Viacomcbs Inc. Cl B,41.45,-0.64,-1.52%,41.76,41.07,4644800,01/03/20
VLO,Valero Energy Corp,91.52,-3.61,-3.79%,94.65,90.85,5058000,01/03/20
VMC,Vulcan Materials Company,142.1,-0.62,-0.43%,143.6,141,906800,01/03/20
VNO,Vornado Realty Trust,66.01,0.51,+0.78%,66.09,64.79,1110700,01/03/20
VRSK,Verisk Analytics Inc,152.59,1.47,+0.97%,152.73,150,876800,01/03/20
VRSN,Verisign Inc,200.88,4.15,+2.11%,201.46,193.2,912100,01/03/20
VRTX,Vertex Pharmaceutic,217.98,-1.47,-0.67%,219.89,214.55,943500,01/03/20
VTR,Ventas Inc,57.07,0.68,+1.21%,57.11,56.05,2966100,01/03/20
VZ,Verizon Communications Inc,60.4,-0.65,-1.06%,60.79,60.07,13263500,01/03/20
WAB,Wabtec Corp,80.33,-0.62,-0.77%,80.58,79.33,968700,01/03/20
WAT,Waters Corp,231.01,-4.05,-1.72%,233.83,229.93,389700,01/03/20
WBA,Walgreens Boots Alliance,59.08,0,0.00%,59.35,58.18,4895800,01/03/20
WCG,Wellcare Group,324.75,-2.24,-0.69%,327.95,322.85,329500,01/03/20
WDC,Western Digital Cp,64.61,-1.01,-1.54%,65.31,63.55,3958300,01/03/20
WEC,Wisconsin Energy Corp,91.24,0.57,+0.63%,91.71,90.52,1859400,01/03/20
WELL,Welltower Inc,81.55,1.41,+1.76%,81.66,79.55,1687000,01/03/20
WFC,Wells Fargo & Company,53.42,-0.33,-0.61%,53.62,52.9,15609600,01/03/20
WHR,Whirlpool Corp,145.92,-2.53,-1.70%,146.65,145,521100,01/03/20
WLTW,Willis Towers WT,204.33,0.05,+0.02%,204.97,201.73,411300,01/03/20
WM,Waste Management,115.33,1.11,+0.97%,115.47,113.1,1424900,01/03/20
WMB,Williams Companies,23.59,0.1,+0.43%,23.63,23.27,7542700,01/03/20
WMT,Wal-Mart Stores,117.89,-1.05,-0.88%,118.79,117.59,5401100,01/03/20
WRB,W.R. Berkley Corp,69.05,0.09,+0.13%,69.18,68.16,438300,01/03/20
WRK,Westrock Company,42.68,-0.77,-1.77%,43.22,42.66,3544100,01/03/20
WU,Western Union Company,26.1,-0.09,-0.34%,26.3,25.77,4993900,01/03/20
WY,Weyerhaeuser Company,29.44,0.05,+0.17%,29.58,29.15,3110900,01/03/20
WYNN,Wynn Resorts Ltd,141.47,-2.13,-1.48%,142.27,139.94,1760500,01/03/20
XEC,Cimarex Energy Company,53.4,1.18,+2.26%,54.01,52.66,1723100,01/03/20
XEL,XCEL Energy Inc,62.68,0.3,+0.48%,62.92,62.28,2422500,01/03/20
XLNX,Xilinx Inc,99.31,-2.34,-2.30%,101.06,99.1,3522700,01/03/20
XOM,Exxon Mobil Corp,70.33,-0.57,-0.80%,71.37,70.16,17390500,01/03/20
XRAY,Dentsply Sirona Inc,56.3,-0.63,-1.11%,56.77,55.85,909900,01/03/20
XRX,Xerox Corp,36.45,-0.48,-1.30%,36.78,36.03,1042800,01/03/20
XYL,Xylem Inc,80.32,0.47,+0.59%,80.35,78.7,795100,01/03/20
