	Code	PEG
330	NBL	-100.0
19	AGN	-100.0
249	IR	-100.0
405	RTN	-100.0
478	WCG	-100.0
73	BRK.B	-100.0
64	BF.B	-100.0
49	ARNC	-100.0
165	ETFC	-100.0
351	NWS	-28.06
401	ROL	-19.27
1	AAL	-18.57
483	WHR	-18.33
372	PKG	-15.75
447	TWTR	-15.29
451	UAA	-14.86
208	GPS	-14.38
254	IVZ	-12.28
245	IP	-12.19
240	ILMN	-11.99
122	CTVA	-11.82
326	MTD	-11.54
499	XYL	-10.98
253	ITW	-10.66
498	XRX	-10.49
400	ROK	-8.67
310	MKC	-8.59
383	PSA	-8.25
114	CPRI	-7.92
40	ANSS	-7.92
25	ALB	-7.7
215	HBI	-7.67
55	AWK	-7.63
171	EXPD	-7.32
154	ED	-7.06
495	XLNX	-6.96
480	WEC	-6.96
63	BEN	-6.86
230	HRL	-6.86
489	WRK	-6.66
465	VFC	-6.27
206	GPC	-6.15
494	XEL	-5.84
80	CAT	-5.78
308	MGM	-5.46
178	FBHS	-5.31
342	NOW	-5.0
93	CHRW	-4.92
396	RHI	-4.86
309	MHK	-4.81
277	LB	-4.79
296	M	-4.46
354	ODFL	-4.22
386	PWR	-4.14
33	AMD	-3.9
311	MKTX	-3.73
448	TXN	-3.67
473	VTR	-3.58
102	CMG	-3.19
99	CMA	-3.02
103	CMI	-2.89
47	APTV	-2.84
441	TPR	-2.76
229	HRB	-2.69
423	STX	-2.65
347	NUE	-2.52
429	SYY	-2.34
450	UA	-2.31
459	UPS	-2.29
115	CPRT	-2.25
426	SWKS	-2.19
324	MSI	-2.09
371	PHM	-1.84
88	CE	-1.81
476	WAT	-1.72
29	ALLE	-1.69
233	HSY	-1.67
121	CTSH	-1.64
360	PAYX	-1.55
166	ETN	-1.54
279	LEG	-1.42
274	KSS	-1.39
130	DE	-1.32
134	DHI	-1.27
111	COST	-0.96
12	ADP	-0.96
407	SBUX	-0.95
415	SNA	-0.92
109	COO	-0.85
0	A	-0.77
350	NWL	-0.77
173	EXR	-0.73
119	CTAS	-0.65
368	PG	-0.6
500	YUM	-0.5
222	HLT	-0.19
135	DHR	-0.19
211	GWW	-0.13
411	SIVB	-0.09
61	BBY	-0.03
147	DUK	0.03
163	ES	0.03
202	GLW	0.09
268	KLAC	0.18
70	BLL	0.18
26	ALGN	0.2
460	URI	0.37
104	CMS	0.45
153	ECL	0.46
328	MXIM	0.46
56	AXP	0.62
17	AES	0.65
120	CTL	0.65
416	SNPS	0.8
225	HON	0.81
397	RJF	0.82
333	NEE	0.85
92	CHD	0.89
86	CDNS	0.9
247	IPGP	0.97
391	RCL	1.04
251	ISRG	1.11
468	VMC	1.14
346	NTRS	1.16
312	MLM	1.17
428	SYK	1.2
298	MAA	1.32
442	TROW	1.38
256	JBHT	1.43
127	D	1.46
488	WRB	1.55
54	AVY	1.62
97	CL	1.64
417	SO	1.69
243	INTC	1.74
432	TDG	1.78
444	TSCO	1.87
389	QCOM	1.87
98	CLX	2.02
470	VRSK	2.07
131	DFS	2.18
228	HPQ	2.25
46	APH	2.3
11	ADM	2.33
487	WMT	2.39
293	LW	2.4
357	ORCL	2.45
32	AMCR	2.51
377	PNR	2.51
409	SEE	2.58
185	FITB	2.67
96	CINF	2.73
436	TGT	2.74
34	AME	2.74
106	CNP	2.77
439	TMO	3.03
143	DOW	3.04
295	LYV	3.05
176	FAST	3.09
87	CDW	3.14
169	EW	3.15
433	TEL	3.15
78	CAG	3.17
464	VAR	3.2
132	DG	3.25
485	WM	3.27
187	FLS	3.31
42	AON	3.38
252	IT	3.41
15	AEE	3.44
364	PEG	3.52
192	FRC	3.54
369	PGR	3.58
481	WELL	3.58
301	MCD	3.64
234	HUM	3.66
200	GIS	3.67
314	MMM	3.74
408	SCHW	3.77
484	WLTW	4.02
269	KMB	4.07
161	EQIX	4.08
237	IDXX	4.12
412	SJM	4.25
3	AAPL	4.3
379	PPG	4.33
174	F	4.44
425	SWK	4.47
209	GRMN	4.48
158	EMN	4.49
52	AVB	4.49
294	LYB	4.56
72	BR	4.71
404	RSG	4.88
159	EMR	4.93
398	RL	4.94
238	IEX	4.94
16	AEP	5.0
335	NFLX	5.05
201	GL	5.05
501	ZBH	5.06
378	PNW	5.09
289	LOW	5.1
94	CHTR	5.11
382	PRU	5.18
402	ROP	5.25
317	MOS	5.29
502	ZBRA	5.29
53	AVGO	5.34
373	PKI	5.37
399	RMD	5.37
458	UNP	5.38
288	LNT	5.39
196	FTV	5.47
257	JCI	5.58
180	FDX	5.58
348	NVDA	5.58
331	NCLH	5.59
255	J	5.7
107	COF	5.71
474	VZ	5.72
374	PLD	5.78
362	PCAR	5.94
140	DLR	5.95
157	EL	5.97
179	FCX	6.04
422	STT	6.05
477	WBA	6.21
195	FTNT	6.25
349	NVR	6.25
313	MMC	6.26
290	LRCX	6.26
280	LEN	6.27
345	NTAP	6.29
457	UNM	6.38
89	CERN	6.43
84	CCI	6.44
443	TRV	6.52
390	QRVO	6.65
395	RF	6.66
421	STE	6.72
116	CRM	6.77
437	TIF	6.79
145	DRI	6.83
344	NSC	6.9
146	DTE	6.9
172	EXPE	6.9
336	NI	6.93
323	MSFT	6.97
213	HAS	7.08
14	ADSK	7.12
8	ACN	7.12
263	K	7.13
142	DOV	7.19
23	AJG	7.33
118	CSX	7.35
504	ZTS	7.4
275	KSU	7.44
273	KR	7.45
304	MCO	7.46
43	AOS	7.55
36	AMP	7.67
370	PH	7.75
302	MCHP	7.78
113	CPB	7.79
264	KEY	7.82
144	DRE	7.83
466	VIAC	7.87
217	HD	8.01
434	TFC	8.05
83	CBRE	8.08
385	PVH	8.08
299	MAR	8.15
365	PEP	8.17
388	PYPL	8.28
101	CME	8.33
490	WU	8.35
58	BA	8.37
297	MA	8.39
65	BIIB	8.47
91	CFG	8.54
152	EBAY	8.56
380	PPL	8.58
406	SBAC	8.59
214	HBAN	8.64
363	PEAK	8.66
305	MDLZ	8.83
39	ANET	8.88
232	HST	8.89
216	HCA	8.89
410	SHW	9.02
503	ZION	9.04
332	NDAQ	9.08
227	HPE	9.13
69	BLK	9.19
231	HSIC	9.21
167	ETR	9.21
315	MNST	9.34
45	APD	9.39
366	PFE	9.44
376	PNC	9.58
244	INTU	9.64
148	DVA	9.77
286	LMT	9.85
461	USB	9.85
136	DIS	9.89
427	SYF	10.0
272	KO	10.02
100	CMCSA	10.06
403	ROST	10.08
449	TXT	10.1
497	XRAY	10.13
258	JKHY	10.21
168	EVRG	10.25
306	MDT	10.26
85	CCL	10.32
38	AMZN	10.61
355	OKE	10.68
491	WY	10.74
456	UNH	10.83
420	SRE	10.86
7	ABT	10.91
170	EXC	11.03
414	SLG	11.04
35	AMGN	11.11
242	INFO	11.15
260	JNPR	11.16
300	MAS	11.38
438	TJX	11.46
241	INCY	11.52
9	ADBE	11.75
162	EQR	11.85
356	OMC	11.87
235	IBM	12.12
82	CBOE	12.17
322	MSCI	12.27
177	FB	12.36
41	ANTM	12.48
223	HOG	12.72
236	ICE	12.75
10	ADI	12.79
418	SPG	12.87
108	COG	12.94
212	HAL	12.94
361	PBCT	12.99
463	V	12.99
266	KHC	13.0
321	MS	13.01
129	DD	13.02
419	SPGI	13.85
141	DLTR	14.01
358	ORLY	14.02
246	IPG	14.11
18	AFL	14.16
248	IQV	14.2
353	O	14.24
367	PFG	14.29
2	AAP	14.32
191	FOXA	14.43
137	DISCA	14.56
189	FMC	14.61
164	ESS	14.7
190	FOX	14.73
5	ABC	14.75
48	ARE	14.82
21	AIV	14.96
375	PM	15.0
307	MET	15.0
455	ULTA	15.01
204	GOOG	15.18
471	VRSN	15.23
454	UHS	15.34
453	UDR	15.35
259	JNJ	15.45
205	GOOGL	15.53
66	BK	15.53
188	FLT	15.64
446	TTWO	15.77
325	MTB	15.78
337	NKE	15.89
50	ATO	15.93
24	AKAM	16.04
183	FIS	16.06
261	JPM	16.07
394	REGN	16.09
59	BAC	16.18
57	AZO	16.22
62	BDX	16.52
431	TAP	16.7
452	UAL	16.75
393	REG	16.79
193	FRT	16.89
155	EFX	17.03
440	TMUS	17.05
267	KIM	17.06
469	VNO	17.1
291	LUV	17.27
75	BWA	17.41
327	MU	17.42
67	BKNG	17.58
156	EIX	17.96
151	EA	18.01
207	GPN	18.22
224	HOLX	18.25
430	T	18.4
303	MCK	18.42
424	STZ	18.5
210	GS	18.56
79	CAH	18.61
150	DXC	18.87
435	TFX	18.88
123	CTXS	18.88
37	AMT	18.94
262	JWN	18.96
60	BAX	18.97
197	GD	19.02
203	GM	19.27
30	ALXN	19.72
283	LIN	19.74
445	TSN	19.8
281	LH	19.88
285	LLY	19.96
117	CSCO	20.0
319	MRK	20.09
182	FFIV	20.15
475	WAB	20.45
133	DGX	20.5
74	BSX	20.53
265	KEYS	20.65
51	ATVI	20.72
71	BMY	20.96
22	AIZ	21.04
381	PRGO	21.06
128	DAL	21.21
112	COTY	21.4
13	ADS	21.43
486	WMB	21.73
20	AIG	21.81
392	RE	21.9
199	GILD	22.28
81	CB	22.35
482	WFC	22.44
359	OXY	22.53
284	LKQ	22.6
352	NWSA	22.76
250	IRM	22.92
338	NLOK	23.16
239	IFF	23.28
6	ABMD	23.32
198	GE	23.55
181	FE	23.73
184	FISV	23.74
340	NOC	24.07
221	HII	24.23
316	MO	24.24
90	CF	24.75
31	AMAT	26.0
287	LNC	26.36
138	DISCK	26.78
462	UTX	27.31
105	CNC	27.5
76	BXP	27.61
139	DISH	28.39
28	ALL	28.75
4	ABBV	29.06
334	NEM	29.75
492	WYNN	30.0
496	XOM	30.62
226	HP	30.65
270	KMI	30.92
292	LVS	31.15
27	ALK	31.48
278	LDOS	31.52
343	NRG	32.2
339	NLSN	32.81
125	CVX	33.28
186	FLIR	33.33
329	MYL	33.42
271	KMX	33.43
479	WDC	34.18
124	CVS	34.84
384	PSX	35.11
110	COP	35.29
282	LHX	36.05
220	HIG	37.49
387	PXD	38.23
95	CI	39.17
320	MRO	40.68
493	XEC	40.95
77	C	41.25
126	CXO	41.3
472	VRTX	42.57
194	FTI	43.46
218	HES	43.55
341	NOV	44.93
276	L	45.9
413	SLB	46.16
318	MPC	47.3
68	BKR	48.7
467	VLO	49.25
219	HFC	53.3
44	APA	63.77
160	EOG	68.11
149	DVN	70.76
175	FANG	74.72
