	Code	PEG
2	KSS	-2.05
16	KVHI	-0.9
14	KURA	-0.47
0	KSA	0.0
128	LIT	0.0
129	LITB	0.0
130	LITE	0.0
131	LIVE	0.0
132	LIVN	0.0
133	LIVX	0.0
134	LJPC	0.0
135	LKCO	0.0
136	LKFN	0.0
137	LKOR	0.0
138	LKQ	0.0
139	LKSD	0.0
140	LL	0.0
141	LLEX	0.0
142	LLIT	0.0
143	LLL	0.0
144	LLNW	0.0
145	LLQD	0.0
146	LLY	0.0
147	LM	0.0
127	LIQT	0.0
126	LION	0.0
124	LIND	0.0
148	LMAT	0.0
103	LGC.W	0.0
104	LGCY	0.0
105	LGF.A	0.0
106	LGF.B	0.0
107	LGI	0.0
108	LGIH	0.0
109	LGL	0.0
110	LGLV	0.0
111	LGND	0.0
112	LGOV	0.0
113	LH	0.0
114	LHC	0.0
115	LHC.U	0.0
116	LHC.W	0.0
117	LHCG	0.0
118	LIFE	0.0
119	LII	0.0
120	LILA	0.0
121	LILAK	0.0
122	LIN	0.0
123	LINC	0.0
125	LINDW	0.0
149	LMB	0.0
151	LMFA	0.0
102	LGC.U	0.0
177	LOACW	0.0
178	LOAN	0.0
179	LOB	0.0
180	LOCO	0.0
181	LODE	0.0
182	LOGC	0.0
183	LOGI	0.0
184	LOGM	0.0
185	LOMA	0.0
186	LONE	0.0
187	LOOP	0.0
188	LOPE	0.0
189	LOR	0.0
190	LORL	0.0
191	LOUP	0.0
192	LOV	0.0
193	LOVE	0.0
194	LOW	0.0
195	LOWC	0.0
196	LPCN	0.0
197	LPG	0.0
176	LOACU	0.0
150	LMBS	0.0
175	LOACR	0.0
173	LNTH	0.0
152	LMFAW	0.0
153	LMHA	0.0
154	LMHB	0.0
155	LMLP	0.0
156	LMNR	0.0
157	LMNX	0.0
158	LMRK	0.0
159	LMRKN	0.0
160	LMRKO	0.0
161	LMRKP	0.0
162	LMST	0.0
163	LMT	0.0
164	LN	0.0
165	LNC	0.0
166	LNC.W	0.0
167	LND	0.0
168	LNDC	0.0
169	LNG	0.0
170	LNGR	0.0
171	LNN	0.0
172	LNT	0.0
174	LOAC	0.0
101	LGC	0.0
99	LFUS	0.0
198	LPI	0.0
33	LACQW	0.0
34	LAD	0.0
35	LADR	0.0
36	LAIX	0.0
37	LAKE	0.0
38	LAMR	0.0
39	LANC	0.0
40	LAND	0.0
41	LANDP	0.0
42	LARK	0.0
43	LASR	0.0
44	LAUR	0.0
45	LAWS	0.0
46	LAZ	0.0
47	LAZY	0.0
48	LB	0.0
49	LBAI	0.0
50	LBC	0.0
100	LFVN	0.0
32	LACQU	0.0
31	LACQ	0.0
30	LACK	0.0
29	LAC	0.0
1	KSM	0.0
4	KSU$	0.0
5	KT	0.0
6	KTCC	0.0
7	KTF	0.0
8	KTH	0.0
9	KTN	0.0
11	KTOV	0.0
12	KTOVW	0.0
52	LBJ	0.0
13	KTP	0.0
18	KWEB	0.0
20	KXI	0.0
21	KYN	0.0
22	KYN$F	0.0
23	KZIA	0.0
24	KZR	0.0
26	LABD	0.0
27	LABL	0.0
28	LABU	0.0
15	KURE	0.0
53	LBRDA	0.0
51	LBDC	0.0
55	LBRT	0.0
54	LBRDK	0.0
81	LEGH	0.0
82	LEGR	0.0
83	LEJU	0.0
84	LEMB	0.0
85	LEN	0.0
86	LEN.B	0.0
87	LENS	0.0
88	LEO	0.0
89	LEU	0.0
90	LEVB	0.0
91	LEVL	0.0
92	LEXEA	0.0
93	LEXEB	0.0
94	LFAC	0.0
95	LFACU	0.0
96	LFACW	0.0
97	LFC	0.0
98	LFEQ	0.0
79	LEE	0.0
78	LEDS	0.0
80	LEG	0.0
76	LEAF	0.0
56	LBTYA	0.0
57	LBTYB	0.0
58	LBTYK	0.0
59	LBY	0.0
60	LC	0.0
61	LCI	0.0
62	LCII	0.0
63	LCNB	0.0
64	LCUT	0.0
65	LD	0.0
77	LECO	0.0
66	LDL	0.0
67	LDOS	0.0
68	LDP	0.0
69	LDRI	0.0
70	LDRS	0.0
71	LDSF	0.0
72	LDUR	0.0
73	LE	0.0
74	LEA	0.0
75	LEAD	0.0
199	LPL	0.0
25	L	1.23
3	KSU	1.53
19	KWR	2.27
10	KTOS	4.17
17	KW	8.51
