	Code	PEG
22	AIZ	0.0
36	AMP	0.0
40	ANSS	0.0
11	ADM	0.0
30	ALXN	0.83
41	ANTM	1.01
20	AIG	1.14
25	ALB	1.17
28	ALL	1.35
5	ABC	1.47
1	AAL	1.57
39	ANET	1.59
37	AMT	1.64
17	AES	1.65
47	APTV	1.72
2	AAP	1.73
19	AGN	1.89
31	AMAT	1.99
10	ADI	2.0
0	A	2.05
43	AOS	2.1
29	ALLE	2.13
12	ADP	2.14
4	ABBV	2.22
34	AME	2.24
3	AAPL	2.25
35	AMGN	2.26
24	AKAM	2.27
32	AMCR	2.32
7	ABT	2.41
8	ACN	2.57
26	ALGN	2.61
9	ADBE	2.61
23	AJG	2.69
18	AFL	2.8
46	APH	3.08
38	AMZN	3.34
14	ADSK	3.44
15	AEE	3.79
16	AEP	3.99
21	AIV	3.99
33	AMD	4.33
27	ALK	999.0
13	ADS	999.0
42	AON	999.0
44	APA	999.0
45	APD	999.0
48	ARE	999.0
6	ABMD	999.0
49	ARNC	999.0
0	UA	0.0
43	XEC	0.0
41	WY	0.0
48	XRX	0.0
21	VRSN	0.0
16	VIAC	0.0
2	UAL	0.34
7	UNM	0.59
10	URI	0.69
32	WFC	1.08
40	WU	1.21
5	ULTA	1.42
28	WCG	1.45
6	UNH	1.55
49	XYL	1.6
18	VMC	1.62
25	WAB	1.7
34	WLTW	1.73
9	UPS	1.76
4	UHS	1.84
13	V	2.02
47	XRAY	2.02
8	UNP	2.1
22	VRTX	2.1
12	UTX	2.12
1	UAA	2.14
11	USB	2.18
33	WHR	2.38
17	VLO	2.44
45	XLNX	2.47
38	WRB	2.47
15	VFC	2.5
46	XOM	2.95
39	WRK	2.95
35	WM	3.24
14	VAR	3.4
20	VRSK	3.43
42	WYNN	3.46
24	VZ	3.79
3	UDR	3.94
30	WEC	4.27
44	XEL	4.43
37	WMT	4.71
31	WELL	4.84
36	WMB	5.11
19	VNO	6.09
23	VTR	6.29
29	WDC	20.71
27	WBA	999.0
26	WAT	999.0
2	ZBRA	0.0
3	ZION	1.68
0	YUM	2.25
1	ZBH	2.69
4	ZTS	3.25
0	ALK	0.48
6	LB	0.74
9	M	0.87
3	HIG	1.13
4	INTC	1.7
1	GPN	1.81
5	GIS	2.2
2	HAS	2.44
8	JNPR	3.82
7	MAA	5.21
7	TWTR	0.58
9	GM	0.67
4	SHW	2.24
5	ROST	2.52
6	TXN	2.6
8	GRMN	3.16
0	KSS	999.0
1	NSC	999.0
2	PCAR	999.0
3	PM	999.0
4	BR	0.0
7	CNC	1.02
9	FDX	1.2
3	BBY	1.75
8	DLTR	2.04
2	ATVI	2.22
5	CHD	3.25
6	ATO	3.34
0	SEE	999.0
1	WAT	999.0
0	CAG	999.0
1	STX	999.0
4	APA	-31.75
8	ARNC	0.0
9	WBA	1.33
7	ABMD	1.68
5	APD	1.99
0	FLS	2.0
1	ETR	3.24
6	ARE	5.43
2	ADS	999.0
3	AON	999.0
4	ADS	0.54
0	KSS	0.98
6	SEE	1.4
2	PCAR	1.62
5	AON	1.9
1	NSC	1.99
8	CAG	2.13
3	PM	2.22
7	WAT	2.76
9	STX	10.2
46	CINF	0.0
23	BRK.B	0.0
14	BF.B	0.0
49	CMA	0.55
27	C	0.91
45	CI	1.06
15	BIIB	1.07
21	BMY	1.09
35	CCL	1.24
9	BAC	1.34
25	BWA	1.36
13	BEN	1.37
31	CB	1.45
3	AVGO	1.45
33	CBRE	1.46
6	AXP	1.48
7	AZO	1.53
30	CAT	1.54
16	BK	1.54
17	BKNG	1.55
34	CCI	1.61
29	CAH	1.63
41	CFG	1.71
38	CE	1.76
19	BLK	1.76
37	CDW	1.88
44	CHTR	1.93
12	BDX	1.96
43	CHRW	2.01
10	BAX	2.22
39	CERN	2.25
4	AVY	2.38
24	BSX	2.55
26	BXP	2.81
40	CF	3.32
32	CBOE	3.49
18	BKR	3.53
2	AVB	3.63
5	AWK	4.19
36	CDNS	4.6
20	BLL	4.82
48	CLX	4.91
47	CL	5.71
8	BA	42.06
28	CAG	999.0
1	ATVI	999.0
11	BBY	999.0
22	BR	999.0
42	CHD	999.0
0	ATO	999.0
39	DISH	0.0
38	DISCK	0.0
8	COG	0.0
26	CXO	0.0
15	CPRT	0.0
37	DISCA	0.5
28	DAL	0.6
48	DVA	0.62
34	DHI	0.96
7	COF	1.06
0	CMCSA	1.2
31	DFS	1.23
20	CTL	1.34
21	CTSH	1.39
18	CSX	1.42
14	CPRI	1.51
24	CVS	1.55
49	DVN	1.59
42	DOV	1.72
3	CMI	1.78
22	CTVA	1.84
10	COP	1.89
45	DRI	1.98
32	DG	2.02
29	DD	2.07
33	DGX	2.18
12	COTY	2.36
9	COO	2.42
40	DLR	2.62
17	CSCO	2.74
35	DHR	2.86
19	CTAS	3.04
2	CMG	3.13
13	CPB	3.16
6	CNP	3.29
46	DTE	3.47
1	CME	3.71
47	DUK	3.72
4	CMS	3.94
43	DOW	3.99
27	D	4.08
30	DE	4.08
11	COST	4.27
23	CTXS	4.5
25	CVX	4.96
44	DRE	5.4
36	DIS	5.68
16	CRM	7.51
5	CNC	999.0
41	DLTR	999.0
41	FOXA	0.0
40	FOX	0.0
36	FLIR	0.0
29	FCX	0.0
21	EXPD	0.0
24	F	1.02
25	FANG	1.16
44	FTI	1.18
27	FB	1.24
8	EMN	1.48
35	FITB	1.48
2	EBAY	1.49
15	ETFC	1.51
39	FMC	1.62
38	FLT	1.67
0	DXC	1.67
10	EOG	1.7
47	GD	1.75
22	EXPE	1.87
26	FAST	1.88
16	ETN	1.9
28	FBHS	1.97
34	FISV	2.1
11	EQIX	2.16
1	EA	2.22
32	FFIV	2.34
3	ECL	2.59
9	EMR	2.67
7	EL	2.78
19	EW	2.81
48	GE	2.83
33	FIS	2.88
6	EIX	2.94
5	EFX	3.04
31	FE	3.16
18	EVRG	3.4
20	EXC	3.5
14	ESS	3.62
12	EQR	3.79
42	FRC	3.85
49	GILD	4.02
46	FTV	4.04
43	FRT	4.22
13	ES	4.35
23	EXR	4.5
45	FTNT	5.04
4	ED	10.13
30	FDX	999.0
17	ETR	999.0
37	FLS	999.0
37	IDXX	0.0
21	HII	0.0
39	IFF	0.0
18	HES	0.0
45	IP	0.0
19	HFC	0.95
29	HRB	0.97
41	INCY	1.12
8	GPS	1.14
27	HPE	1.24
16	HCA	1.25
23	HOG	1.28
10	GS	1.42
34	HUM	1.48
11	GWW	1.73
4	GOOG	1.75
5	GOOGL	1.75
1	GL	1.91
49	IR	1.91
48	IQV	1.95
17	HD	1.98
32	HST	2.0
2	GLW	2.14
35	IBM	2.14
31	HSIC	2.18
24	HOLX	2.32
25	HON	2.39
40	ILMN	2.48
46	IPG	2.53
15	HBI	2.53
14	HBAN	2.73
44	INTU	2.78
36	ICE	2.92
38	IEX	2.96
42	INFO	3.05
6	GPC	3.3
22	HLT	3.39
33	HSY	3.69
30	HRL	4.21
12	HAL	4.56
28	HPQ	4.67
26	HP	8.24
47	IPGP	11.42
3	GM	999.0
9	GRMN	999.0
7	GPN	999.0
13	HAS	999.0
20	HIG	999.0
43	INTC	999.0
0	GIS	999.0
26	L	0.0
45	LYV	0.0
4	IVZ	0.81
37	LNC	0.98
34	LKQ	1.04
44	LYB	1.07
30	LEN	1.08
21	KMX	1.37
41	LUV	1.4
5	J	1.41
40	LRCX	1.43
6	JBHT	1.47
18	KLAC	1.48
29	LEG	1.49
39	LOW	1.51
25	KSU	1.52
7	JCI	1.67
16	KHC	1.82
31	LH	1.85
11	JPM	1.9
12	JWN	2.03
35	LLY	2.1
33	LIN	2.26
15	KEYS	2.28
9	JNJ	2.45
23	KR	2.46
47	MA	2.54
32	LHX	2.63
14	KEY	2.69
28	LDOS	2.69
36	LMT	2.7
43	LW	2.93
13	K	2.98
3	ITW	3.03
0	IRM	3.04
17	KIM	3.2
8	JKHY	3.28
2	IT	3.53
19	KMB	3.72
49	MAR	3.75
22	KO	4.04
38	LNT	4.36
20	KMI	4.48
1	ISRG	4.62
42	LVS	8.66
27	LB	999.0
48	MAA	999.0
10	JNPR	999.0
46	M	999.0
24	KSS	999.0
11	MKTX	0.0
30	NBL	0.0
34	NEM	0.0
27	MU	0.0
43	NRG	0.2
39	NLSN	0.99
47	NUE	1.03
29	MYL	1.11
7	MET	1.11
21	MS	1.22
18	MPC	1.25
25	MTB	1.35
40	NOC	1.4
45	NTAP	1.42
3	MCK	1.43
31	NCLH	1.51
49	NVR	1.63
9	MHK	1.7
46	NTRS	1.71
16	MO	1.86
19	MRK	1.92
2	MCHP	1.92
13	MMC	1.96
14	MMM	2.1
0	MAS	2.13
15	MNST	2.25
28	MXIM	2.37
32	NDAQ	2.39
20	MRO	2.39
12	MLM	2.5
23	MSFT	2.53
37	NKE	2.55
24	MSI	2.71
26	MTD	2.72
5	MDLZ	2.87
6	MDT	2.88
4	MCO	3.02
1	MCD	3.14
35	NFLX	3.29
33	NEE	3.65
10	MKC	3.82
36	NI	4.12
22	MSCI	4.16
8	MGM	5.13
17	MOS	6.01
48	NVDA	6.05
41	NOV	8.36
38	NLOK	12.89
42	NOW	22.24
44	NSC	999.0
1	NWS	0.0
2	NWSA	0.0
47	RJF	0.0
30	PPL	0.0
32	PRU	0.91
36	PWR	0.95
35	PVH	1.05
37	PXD	1.11
44	REGN	1.16
42	RE	1.25
21	PHM	1.36
41	RCL	1.42
45	RF	1.49
7	ORCL	1.61
8	ORLY	1.72
48	RL	1.83
34	PSX	1.84
39	QCOM	1.86
17	PFG	1.89
26	PNC	1.92
0	NWL	1.92
19	PGR	1.93
23	PKI	1.96
40	QRVO	1.97
20	PH	2.09
29	PPG	2.2
46	RHI	2.28
5	OKE	2.29
