	Code	PEG
12	PVH	1.05
25	BIIB	1.07
0	MYL	1.11
13	PXD	1.11
20	AIG	1.14
14	REGN	1.16
31	CCL	1.24
15	RE	1.25
32	HOG	1.28
26	BAC	1.34
1	PHM	1.36
41	BEN	1.37
21	RCL	1.42
33	MCK	1.43
16	LRCX	1.43
27	AVGO	1.45
42	AXP	1.48
17	RF	1.49
2	NCLH	1.51
43	AZO	1.53
28	BK	1.54
44	BKNG	1.55
45	AAL	1.57
46	ANET	1.59
29	XYL	1.6
34	ORCL	1.61
22	CAH	1.63
3	NVR	1.63
30	AES	1.65
23	ZION	1.68
9	DOV	1.72
35	ORLY	1.72
47	BBY	1.75
36	RL	1.83
4	PSX	1.84
18	QCOM	1.86
37	DLTR	1.87
38	CDW	1.88
24	AGN	1.89
5	PFG	1.89
10	AON	1.9
39	MCHP	1.92
6	NWL	1.92
19	PNC	1.92
7	PGR	1.93
48	BDX	1.96
8	QRVO	1.97
40	DRI	1.98
11	APD	1.99
