	Code	PEG
29	XRAY	2.02
8	PH	2.09
5	AOS	2.1
18	CAG	2.13
46	ADP	2.14
19	PM	2.16
20	PPG	2.2
39	GIS	2.2
47	ATVI	2.22
30	YUM	2.25
9	RHI	2.28
10	OKE	2.29
0	MXIM	2.37
31	AVY	2.38
32	WHR	2.38
1	NDAQ	2.39
21	WRB	2.47
40	VFC	2.5
2	MSFT	2.53
11	OMC	2.63
12	PYPL	2.66
33	ZBH	2.69
22	AJG	2.69
3	MTD	2.72
41	PKG	2.77
34	AFL	2.8
35	BXP	2.81
13	MDLZ	2.87
42	IRM	3.04
6	APH	3.08
14	ODFL	3.13
7	ATO	3.34
43	VAR	3.4
23	PNR	3.4
48	ADSK	3.44
44	CBOE	3.49
49	BKR	3.53
36	AEE	3.79
24	PNW	3.92
45	DOW	3.99
25	AIV	3.99
37	AEP	3.99
38	AWK	4.19
26	PLD	4.41
15	REG	4.61
27	ARE	4.74
50	BLL	4.82
28	PRGO	5.0
4	OXY	5.46
16	PSA	5.61
17	O	6.14
51	BA	42.06
