	Code	PEG
43	ALK	0.48
95	ADS	0.54
96	C	0.91
24	PWR	0.95
25	PVH	1.05
60	BIIB	1.07
0	MYL	1.11
26	PXD	1.11
44	AIG	1.14
27	REGN	1.16
77	CCL	1.24
28	RE	1.25
78	HOG	1.28
61	BAC	1.34
1	PHM	1.36
97	BEN	1.37
45	RCL	1.42
79	MCK	1.43
29	LRCX	1.43
62	AVGO	1.45
98	AXP	1.48
30	RF	1.49
2	NCLH	1.51
99	AZO	1.53
63	BK	1.54
100	BKNG	1.55
101	AAL	1.57
102	ANET	1.59
64	XYL	1.6
80	ORCL	1.61
46	CAH	1.63
3	NVR	1.63
65	AES	1.65
47	ZION	1.68
81	ORLY	1.72
16	DOV	1.72
103	BBY	1.75
82	RL	1.83
4	PSX	1.84
31	QCOM	1.86
83	DLTR	1.87
84	CDW	1.88
5	PFG	1.89
48	AGN	1.89
17	AON	1.9
6	NWL	1.92
32	PNC	1.92
85	MCHP	1.92
7	PGR	1.93
104	BDX	1.96
8	QRVO	1.97
86	DRI	1.98
18	APD	1.99
66	XRAY	2.02
33	PH	2.09
19	AOS	2.1
49	CAG	2.13
105	ADP	2.14
50	PM	2.16
51	PPG	2.2
87	GIS	2.2
106	ATVI	2.22
67	YUM	2.25
34	RHI	2.28
35	OKE	2.29
9	MXIM	2.37
69	WHR	2.38
68	AVY	2.38
10	NDAQ	2.39
52	WRB	2.47
88	VFC	2.5
11	MSFT	2.53
36	OMC	2.63
37	PYPL	2.66
70	ZBH	2.69
53	AJG	2.69
12	MTD	2.72
89	PKG	2.77
71	AFL	2.8
72	BXP	2.81
38	MDLZ	2.87
90	IRM	3.04
20	APH	3.08
39	ODFL	3.13
21	ATO	3.34
54	PNR	3.4
91	VAR	3.4
107	ADSK	3.44
92	CBOE	3.49
108	BKR	3.53
73	AEE	3.79
55	PNW	3.92
93	DOW	3.99
56	AIV	3.99
74	AEP	3.99
75	AWK	4.19
57	PLD	4.41
40	REG	4.61
58	ARE	4.74
109	BLL	4.82
59	PRGO	5.0
13	OXY	5.46
41	PSA	5.61
42	O	6.14
110	BA	42.06
14	NVDA	999.0
94	LMT	999.0
22	ANTM	999.0
23	APTV	999.0
76	AVB	999.0
111	BLK	999.0
15	BAX	999.0
112	BWA	999.0
