	Code	PEG
4	MU	0.0
8	NBL	0.0
14	NWSA	0.0
13	NWS	0.0
6	MYL	1.11
19	PHM	1.36
15	NCLH	1.51
11	NVR	1.63
17	PSX	1.84
1	PFG	1.89
12	NWL	1.92
16	PGR	1.93
18	QRVO	1.97
5	MXIM	2.37
9	NDAQ	2.39
2	MSFT	2.53
3	MTD	2.72
7	OXY	5.46
10	NVDA	999.0
0	BAX	999.0
3	APA	-41.51
8	DOV	1.72
1	AON	1.9
4	APD	1.99
2	AOS	2.1
5	APH	3.08
7	ATO	3.34
0	ANTM	999.0
6	APTV	999.0
8	RJF	0.0
4	PWR	0.95
3	PVH	1.05
5	PXD	1.11
12	REGN	1.16
6	RE	1.25
18	LRCX	1.43
11	RF	1.49
7	QCOM	1.86
0	PNC	1.92
9	PH	2.09
10	RHI	2.28
16	OKE	2.29
17	OMC	2.63
2	PYPL	2.66
19	MDLZ	2.87
15	ODFL	3.13
13	REG	4.61
1	PSA	5.61
14	O	6.14
19	ANSS	0.0
2	PPL	0.0
15	AIZ	0.0
17	ALK	0.48
13	AIG	1.14
6	RCL	1.42
10	CAH	1.63
8	ZION	1.68
12	AGN	1.89
18	CAG	2.13
7	PM	2.16
3	PPG	2.2
0	WRB	2.47
16	AJG	2.69
5	PNR	3.4
4	PNW	3.92
14	AIV	3.99
9	PLD	4.41
11	ARE	4.74
1	PRGO	5.0
19	ZBRA	0.0
6	BF.B	0.0
15	XRX	0.0
7	BIIB	1.07
3	BAC	1.34
2	AVGO	1.45
8	BK	1.54
16	XYL	1.6
11	AES	1.65
14	XRAY	2.02
17	YUM	2.25
1	AVY	2.38
13	WHR	2.38
18	ZBH	2.69
12	AFL	2.8
4	BXP	2.81
9	AEE	3.79
10	AEP	3.99
0	AWK	4.19
5	AVB	999.0
3	LYV	0.0
4	VIAC	0.0
11	CCL	1.24
15	HOG	1.28
1	MCK	1.43
17	ORCL	1.61
18	ORLY	1.72
19	RL	1.83
9	DLTR	1.87
10	CDW	1.88
2	MCHP	1.92
7	DRI	1.98
16	GIS	2.2
5	VFC	2.5
14	PKG	2.77
13	IRM	3.04
6	VAR	3.4
12	CBOE	3.49
8	DOW	3.99
0	LMT	999.0
4	ARNC	0.0
6	ADM	0.0
8	ADS	0.54
16	C	0.91
1	BEN	1.37
19	AXP	1.48
18	AZO	1.53
13	BKNG	1.55
5	AAL	1.57
10	ANET	1.59
14	BBY	1.75
15	BDX	1.96
7	ADP	2.14
3	ATVI	2.22
9	ADSK	3.44
12	BKR	3.53
2	BLL	4.82
17	BA	42.06
11	BLK	999.0
0	BWA	999.0
