	Code	PEG
36	L	0.0
71	MKTX	0.0
5	IP	0.0
37	LB	0.71
14	IVZ	0.81
56	M	0.88
34	KSS	0.97
47	LNC	0.98
44	LKQ	1.04
54	LYB	1.07
40	LEN	1.08
67	MET	1.11
1	INCY	1.12
78	MPC	1.25
31	KMX	1.37
51	LUV	1.4
15	J	1.41
16	JBHT	1.47
28	KLAC	1.48
39	LEG	1.49
49	LOW	1.51
35	KSU	1.52
17	JCI	1.67
69	MHK	1.7
3	INTC	1.7
26	KHC	1.82
41	LH	1.85
76	MO	1.86
21	JPM	1.9
9	IR	1.91
79	MRK	1.92
8	IQV	1.95
73	MMC	1.96
22	JWN	2.03
45	LLY	2.1
74	MMM	2.1
60	MAS	2.13
75	MNST	2.25
43	LIN	2.26
25	KEYS	2.28
19	JNJ	2.45
33	KR	2.46
0	ILMN	2.48
72	MLM	2.5
6	IPG	2.53
57	MA	2.54
42	LHX	2.63
38	LDOS	2.69
24	KEY	2.69
4	INTU	2.78
66	MDT	2.88
53	LW	2.93
23	K	2.98
64	MCO	3.02
13	ITW	3.03
2	INFO	3.05
61	MCD	3.14
27	KIM	3.2
18	JKHY	3.28
12	IT	3.53
29	KMB	3.72
59	MAR	3.75
70	MKC	3.82
20	JNPR	3.82
32	KO	4.04
48	LNT	4.36
30	KMI	4.48
11	ISRG	4.62
68	MGM	5.13
58	MAA	5.21
77	MOS	6.01
52	LVS	8.66
7	IPGP	11.42
10	IRM	999.0
50	LRCX	999.0
65	MDLZ	999.0
46	LMT	999.0
63	MCK	999.0
62	MCHP	999.0
55	LYV	999.0
