	Code	PEG
146	ANTM	1.01
28	F	1.02
7	CNC	1.02
93	NUE	1.03
71	LKQ	1.04
108	PVH	1.05
4	CI	1.06
8	COF	1.06
78	LYB	1.07
157	BIIB	1.07
72	LEN	1.08
144	WFC	1.08
164	BMY	1.09
109	PXD	1.11
89	MYL	1.11
81	MET	1.11
58	INCY	1.12
129	TPR	1.12
53	HIG	1.13
44	GPS	1.14
75	AIG	1.14
115	REGN	1.16
29	FANG	1.16
76	ALB	1.17
42	FTI	1.18
130	TSN	1.19
9	CMCSA	1.2
34	FDX	1.2
150	WU	1.21
90	MS	1.22
18	DFS	1.23
167	CCL	1.24
54	HPE	1.24
30	FB	1.24
85	MPC	1.25
116	RE	1.25
49	HCA	1.25
131	TXT	1.26
55	HOG	1.28
141	WBA	1.33
14	CTL	1.34
153	BAC	1.34
91	MTB	1.35
77	ALL	1.35
105	PHM	1.36
165	BWA	1.36
68	KMX	1.37
158	BEN	1.37
15	CTSH	1.39
94	NOC	1.4
79	LUV	1.4
121	SEE	1.4
132	TMUS	1.4
62	J	1.41
117	RCL	1.42
11	CSX	1.42
50	GS	1.42
136	ULTA	1.42
95	NTAP	1.42
82	MCK	1.43
80	LRCX	1.43
125	SWKS	1.44
142	WCG	1.45
154	AVGO	1.45
168	CB	1.45
169	CBRE	1.46
0	ABC	1.47
63	JBHT	1.47
35	FITB	1.48
65	KLAC	1.48
155	AXP	1.48
56	HUM	1.48
22	EMN	1.48
123	SIVB	1.48
69	LEG	1.49
23	EBAY	1.49
118	RF	1.49
92	NCLH	1.51
73	LOW	1.51
12	CPRI	1.51
25	ETFC	1.51
70	KSU	1.52
156	AZO	1.53
170	CAT	1.54
159	BK	1.54
137	UNH	1.55
133	TRV	1.55
160	BKNG	1.55
16	CVS	1.55
1	AAL	1.57
112	ANET	1.59
19	DVN	1.59
124	SNA	1.6
151	XYL	1.6
171	CCI	1.61
99	ORCL	1.61
102	PCAR	1.62
140	VMC	1.62
36	FMC	1.62
166	CAH	1.63
96	NVR	1.63
113	AMT	1.64
39	AES	1.65
37	FLT	1.67
126	STT	1.67
24	DXC	1.67
64	JCI	1.67
2	ABMD	1.68
152	ZION	1.68
26	EOG	1.7
143	WAB	1.7
83	MHK	1.7
59	INTC	1.7
134	TSCO	1.71
5	CFG	1.71
97	NTRS	1.71
147	APTV	1.72
20	DOV	1.72
100	ORLY	1.72
51	GWW	1.73
145	WLTW	1.73
3	AAP	1.73
46	GOOGL	1.75
45	GOOG	1.75
43	GD	1.75
161	BBY	1.75
162	BLK	1.76
172	CE	1.76
138	UPS	1.76
127	TFC	1.77
10	CMI	1.78
135	TROW	1.78
122	RTN	1.79
128	TEL	1.79
47	GPN	1.81
66	KHC	1.82
119	RL	1.83
139	UHS	1.84
17	CTVA	1.84
110	PSX	1.84
74	LH	1.85
86	MO	1.86
111	QCOM	1.86
31	EXPE	1.87
173	CDW	1.88
32	FAST	1.88
13	COP	1.89
103	PFG	1.89
40	AGN	1.89
27	ETN	1.9
148	AON	1.9
67	JPM	1.9
48	GL	1.91
60	IR	1.91
84	MCHP	1.92
106	PNC	1.92
87	MRK	1.92
101	NWL	1.92
6	CHTR	1.93
104	PGR	1.93
61	IQV	1.95
107	PKI	1.96
163	BDX	1.96
88	MMC	1.96
33	FBHS	1.97
120	QRVO	1.97
52	HD	1.98
21	DRI	1.98
98	NSC	1.99
149	APD	1.99
114	AMAT	1.99
38	FLS	2.0
57	HST	2.0
41	ADI	2.0
