	Code	PEG
6	CHRW	2.01
238	XRAY	2.02
214	V	2.02
26	DG	2.02
98	JWN	2.03
31	DLTR	2.04
0	A	2.05
22	DD	2.07
162	PH	2.09
235	AOS	2.1
221	VRTX	2.1
211	UNP	2.1
109	LLY	2.1
53	FISV	2.1
130	MMM	2.1
215	UTX	2.12
124	MAS	2.13
114	ALLE	2.13
254	CAG	2.13
201	TAP	2.13
202	TMO	2.13
57	ADP	2.14
68	GLW	2.14
212	UAA	2.14
81	IBM	2.14
44	EQIX	2.16
216	USB	2.18
82	HSIC	2.18
27	DGX	2.18
69	GIS	2.2
163	PPG	2.2
252	BAX	2.22
246	ATVI	2.22
1	ABBV	2.22
164	PM	2.22
37	EA	2.22
203	TJX	2.23
172	AME	2.24
187	SHW	2.24
243	YUM	2.25
2	AAPL	2.25
131	MNST	2.25
258	CERN	2.25
110	LIN	2.26
173	AMGN	2.26
115	AKAM	2.27
180	SBUX	2.27
177	RHI	2.28
99	KEYS	2.28
150	OKE	2.29
195	SWK	2.31
174	AMCR	2.32
76	HOLX	2.32
54	FFIV	2.34
16	COTY	2.36
135	MXIM	2.37
204	TDG	2.37
227	WHR	2.38
247	AVY	2.38
196	SYY	2.38
77	HON	2.39
205	TFX	2.39
136	MRO	2.39
141	NDAQ	2.39
3	ABT	2.41
11	COO	2.42
217	VLO	2.44
72	HAS	2.44
206	T	2.45
92	JNJ	2.45
105	KR	2.46
228	WRB	2.47
239	XLNX	2.47
87	ILMN	2.48
218	VFC	2.5
132	MLM	2.5
181	ROST	2.52
88	IPG	2.53
137	MSFT	2.53
73	HBI	2.53
119	MA	2.54
255	BSX	2.55
142	NKE	2.55
197	SYK	2.56
4	ACN	2.57
207	TGT	2.59
38	ECL	2.59
182	ROP	2.59
198	STZ	2.6
209	TXN	2.6
5	ADBE	2.61
116	ALGN	2.61
32	DLR	2.62
208	TIF	2.62
151	OMC	2.63
111	LHX	2.63
169	PYPL	2.66
39	EMR	2.67
100	KEY	2.69
244	ZBH	2.69
117	AJG	2.69
106	LDOS	2.69
112	LMT	2.7
138	MSI	2.71
188	SPG	2.72
139	MTD	2.72
178	RMD	2.73
74	HBAN	2.73
17	CSCO	2.74
222	WAT	2.76
165	PKG	2.77
183	ROK	2.77
89	INTU	2.78
40	EL	2.78
58	AFL	2.8
45	EW	2.81
256	BXP	2.81
62	GE	2.83
28	DHR	2.86
125	MDLZ	2.87
55	FIS	2.88
126	MDT	2.88
83	ICE	2.92
120	LW	2.93
41	EIX	2.94
240	XOM	2.95
229	WRK	2.95
84	IEX	2.96
101	K	2.98
189	SLB	2.99
127	MCO	3.02
184	SCHW	3.02
93	ITW	3.03
42	EFX	3.04
18	CTAS	3.04
94	IRM	3.04
90	INFO	3.05
190	SPGI	3.07
236	APH	3.08
191	SNPS	3.09
185	SBAC	3.13
152	ODFL	3.13
210	TTWO	3.13
12	CMG	3.13
128	MCD	3.14
199	SRE	3.16
19	CPB	3.16
70	GRMN	3.16
56	FE	3.16
102	KIM	3.2
230	WM	3.24
46	ETR	3.24
245	ZTS	3.25
7	CHD	3.25
95	JKHY	3.28
143	NFLX	3.29
13	CNP	3.29
71	GPC	3.3
186	RSG	3.31
8	CF	3.32
175	AMZN	3.34
248	ATO	3.34
155	PG	3.36
192	SLG	3.36
78	HLT	3.39
166	PNR	3.4
47	EVRG	3.4
219	VAR	3.4
223	VRSK	3.43
59	ADSK	3.44
241	WYNN	3.46
33	DTE	3.47
259	CBOE	3.49
156	PEP	3.5
51	EXC	3.5
96	IT	3.53
253	BKR	3.53
48	ESS	3.62
249	AVB	3.63
144	NEE	3.65
157	PFE	3.68
85	HSY	3.69
14	CME	3.71
103	KMB	3.72
34	DUK	3.72
121	MAR	3.75
224	VZ	3.79
60	AEE	3.79
49	EQR	3.79
133	MKC	3.82
104	JNPR	3.82
63	FRC	3.85
158	PAYX	3.92
167	PNW	3.92
213	UDR	3.94
15	CMS	3.94
35	DOW	3.99
61	AEP	3.99
118	AIV	3.99
64	GILD	4.02
65	FTV	4.04
107	KO	4.04
23	D	4.08
29	DE	4.08
145	NI	4.12
140	MSCI	4.16
250	AWK	4.19
86	HRL	4.21
66	FRT	4.22
231	WEC	4.27
20	COST	4.27
176	AMD	4.33
50	ES	4.35
113	LNT	4.36
168	PLD	4.41
242	XEL	4.43
108	KMI	4.48
24	CTXS	4.5
52	EXR	4.5
75	HAL	4.56
193	SO	4.58
260	CDNS	4.6
179	REG	4.61
97	ISRG	4.62
79	HPQ	4.67
232	WMT	4.71
257	BLL	4.82
233	WELL	4.84
159	PEG	4.88
9	CLX	4.91
25	CVX	4.96
170	PRGO	5.0
67	FTNT	5.04
234	WMB	5.11
194	SJM	5.12
129	MGM	5.13
122	MAA	5.21
36	DRE	5.4
237	ARE	5.43
153	OXY	5.46
171	PSA	5.61
30	DIS	5.68
10	CL	5.71
134	MOS	6.01
160	PBCT	6.04
147	NVDA	6.05
220	VNO	6.09
154	O	6.14
225	VTR	6.29
21	CRM	7.51
161	PEAK	7.81
80	HP	8.24
148	NOV	8.36
123	LVS	8.66
43	ED	10.13
200	STX	10.2
91	IPGP	11.42
146	NLOK	12.89
226	WDC	20.71
149	NOW	22.24
251	BA	42.06
