	Code	PEG
256	NRG	0.2
369	UAL	0.34
202	ALK	0.48
46	DISCA	0.5
101	ADS	0.54
10	CMA	0.55
359	TWTR	0.58
370	UNM	0.59
37	DAL	0.6
54	DVA	0.62
118	GM	0.67
378	URI	0.69
183	LB	0.74
163	IVZ	0.81
303	ALXN	0.83
211	M	0.87
340	SYF	0.87
443	C	0.91
294	PRU	0.91
295	PWR	0.95
128	HFC	0.95
47	DHI	0.96
137	HRB	0.97
192	LNC	0.98
184	KSS	0.98
248	NLSN	0.99
406	ANTM	1.01
19	CNC	1.02
84	F	1.02
257	NUE	1.03
193	LKQ	1.04
296	PVH	1.05
20	COF	1.06
11	CI	1.06
434	BIIB	1.07
212	LYB	1.07
396	WFC	1.08
194	LEN	1.08
444	BMY	1.09
220	MET	1.11
297	PXD	1.11
239	MYL	1.11
360	TPR	1.12
154	INCY	1.12
138	HIG	1.13
119	GPS	1.14
203	AIG	1.14
312	REGN	1.16
85	FANG	1.16
204	ALB	1.17
110	FTI	1.18
361	TSN	1.19
92	FDX	1.2
21	CMCSA	1.2
413	WU	1.21
240	MS	1.22
48	DFS	1.23
451	CCL	1.24
139	HPE	1.24
86	FB	1.24
129	HCA	1.25
313	RE	1.25
230	MPC	1.25
362	TXT	1.26
140	HOG	1.28
387	WBA	1.33
38	CTL	1.34
424	BAC	1.34
205	ALL	1.35
241	MTB	1.35
445	BWA	1.36
284	PHM	1.36
185	KMX	1.37
435	BEN	1.37
39	CTSH	1.39
213	LUV	1.4
258	NOC	1.4
363	TMUS	1.4
321	SEE	1.4
164	J	1.41
130	GS	1.42
259	NTAP	1.42
28	CSX	1.42
314	RCL	1.42
371	ULTA	1.42
214	LRCX	1.43
221	MCK	1.43
341	SWKS	1.44
425	AVGO	1.45
452	CB	1.45
388	WCG	1.45
453	CBRE	1.46
165	JBHT	1.47
0	ABC	1.47
330	SIVB	1.48
173	KLAC	1.48
426	AXP	1.48
64	EMN	1.48
146	HUM	1.48
93	FITB	1.48
65	EBAY	1.49
186	LEG	1.49
315	RF	1.49
249	NCLH	1.51
29	CPRI	1.51
74	ETFC	1.51
195	LOW	1.51
187	KSU	1.52
427	AZO	1.53
454	CAT	1.54
436	BK	1.54
372	UNH	1.55
437	BKNG	1.55
40	CVS	1.55
364	TRV	1.55
1	AAL	1.57
55	DVN	1.59
304	ANET	1.59
331	SNA	1.6
414	XYL	1.6
266	ORCL	1.61
455	CCI	1.61
94	FMC	1.62
274	PCAR	1.62
379	VMC	1.62
260	NVR	1.63
446	CAH	1.63
305	AMT	1.64
102	AES	1.65
342	STT	1.67
166	JCI	1.67
95	FLT	1.67
66	DXC	1.67
420	ZION	1.68
2	ABMD	1.68
155	INTC	1.7
75	EOG	1.7
389	WAB	1.7
222	MHK	1.7
261	NTRS	1.71
12	CFG	1.71
365	TSCO	1.71
267	ORLY	1.72
407	APTV	1.72
56	DOV	1.72
397	WLTW	1.73
131	GWW	1.73
3	AAP	1.73
120	GOOG	1.75
121	GOOGL	1.75
111	GD	1.75
438	BBY	1.75
373	UPS	1.76
439	BLK	1.76
456	CE	1.76
349	TFC	1.77
366	TROW	1.78
22	CMI	1.78
322	RTN	1.79
350	TEL	1.79
122	GPN	1.81
174	KHC	1.82
316	RL	1.83
298	PSX	1.84
41	CTVA	1.84
374	UHS	1.84
196	LH	1.85
231	MO	1.86
299	QCOM	1.86
87	EXPE	1.87
88	FAST	1.88
457	CDW	1.88
30	COP	1.89
103	AGN	1.89
275	PFG	1.89
175	JPM	1.9
408	AON	1.9
76	ETN	1.9
123	GL	1.91
156	IR	1.91
223	MCHP	1.92
232	MRK	1.92
285	PNC	1.92
268	NWL	1.92
