	Code	PEG
79	IFF	0.0
30	FOX	0.0
31	FOXA	0.0
19	FCX	0.0
11	EXPD	0.0
58	HES	0.0
26	FLIR	0.0
77	IDXX	0.0
61	HII	0.0
43	GM	0.67
59	HFC	0.95
69	HRB	0.97
14	F	1.02
60	HIG	1.13
48	GPS	1.14
15	FANG	1.16
34	FTI	1.18
20	FDX	1.2
67	HPE	1.24
17	FB	1.24
56	HCA	1.25
50	GS	1.42
74	HUM	1.48
25	FITB	1.48
5	ETFC	1.51
29	FMC	1.62
28	FLT	1.67
0	EOG	1.7
51	GWW	1.73
37	GD	1.75
44	GOOG	1.75
45	GOOGL	1.75
47	GPN	1.81
12	EXPE	1.87
16	FAST	1.88
6	ETN	1.9
18	FBHS	1.97
57	HD	1.98
27	FLS	2.0
72	HST	2.0
24	FISV	2.1
75	IBM	2.14
42	GLW	2.14
1	EQIX	2.16
71	HSIC	2.18
22	FFIV	2.34
65	HON	2.39
53	HAS	2.44
55	HBI	2.53
54	HBAN	2.73
9	EW	2.81
38	GE	2.83
23	FIS	2.88
76	ICE	2.92
49	GRMN	3.16
21	FE	3.16
7	ETR	3.24
46	GPC	3.3
8	EVRG	3.4
10	EXC	3.5
4	ESS	3.62
73	HSY	3.69
2	EQR	3.79
32	FRC	3.85
39	GILD	4.02
36	FTV	4.04
70	HRL	4.21
33	FRT	4.22
3	ES	4.35
13	EXR	4.5
52	HAL	4.56
68	HPQ	4.67
35	FTNT	5.04
66	HP	8.24
64	HOLX	999.0
62	HLT	999.0
78	IEX	999.0
40	GIS	999.0
41	GL	999.0
63	HOG	999.0
